milliseconds,C,I
0,0.9941321698596661,100.00313509549918
100,0.9897048303617263,100.00403399626035
200,1.0162930923076414,100.00197469902957
300,1.0725987849091534,100.00421941648139
400,1.042624685179783,100.01097248539419
500,1.115904025676905,100.00975005856952
600,1.0814164334374987,100.0120325887786
700,1.1311499905207276,100.01666681629305
800,1.1217469354872032,100.01371090651413
900,1.1681647817723024,100.01905205906914
1000,1.1785495922505798,100.0211606767965
1100,1.2259640350010332,100.02410321878858
1200,1.2584207224900825,100.02436369830114
1300,1.2987044213160703,100.02820206803717
1400,1.2731047091486534,100.02909797005178
1500,1.3247645953108635,100.03111780115402
1600,1.3693124675322383,100.03403937992647
1700,1.4073669821859813,100.03316142194068
1800,1.3878851625931523,100.03839455717855
1900,1.476329045602317,100.03784929232499
2000,1.478316514089288,100.0430653806433
2100,1.4651708608819867,100.0456773420669
2200,1.5568402080601953,100.04281027226358
2300,1.516809181902152,100.04779469657154
2400,1.5881035297273949,100.04889204679887
2500,1.6360096466680556,100.05257648342024
2600,1.6035183850353878,100.05336430025382
2700,1.6439212510410002,100.05246465763261
2800,1.6832167099086204,100.05959266443882
2900,1.7099142260909872,100.05911989980389
3000,1.754396383180264,100.06328216966924
3100,1.8375693119077812,100.06271857530261
3200,1.8784352900131467,100.0695009014472
3300,1.8945221469526379,100.06996696498703
3400,1.8779692603635667,100.07436619496012
3500,1.951026545786343,100.07332730849001
3600,1.9347898192697544,100.07436089593533
3700,2.050158230172149,100.0807259588505
3800,2.0763409120578293,100.08179390648843
3900,2.0741100401574952,100.08479425073905
4000,2.1468183152090345,100.08467380826872
4100,2.1484087650513968,100.0911357589912
4200,2.2356576730428936,100.09253322079971
4300,2.2719430975365094,100.09187886781187
4400,2.266902931656136,100.09906416351623
4500,2.3473586830357482,100.10020683740015
4600,2.4061371891155536,100.10363923398742
4700,2.4691220534656173,100.10242359355448
4800,2.444009523285436,100.10619819445235
4900,2.573962051574802,100.11014773879282
5000,2.571661794464879,100.11501884106654
