milliseconds,Susceptible,Infected,Recovered
0,0.9990205858963879,0.0009919456563750215,-1.4927187736395207e-05
100,0.9989238297100702,0.0009830619585022788,2.6312141180349527e-05
200,0.9989544395196573,0.0010021408360553056,3.7206571603657625e-05
300,0.9989454482129544,0.0010579069914115125,2.5374390323690844e-05
400,0.9989216187325274,0.0010675440084656855,4.8431978469789795e-05
500,0.998874412530629,0.001045818129700098,4.653713973157545e-05
600,0.9987940040042773,0.0010751639565456125,7.884902547482467e-05
700,0.998805739138759,0.0011230883015422195,6.340362359835399e-05
800,0.998770007769667,0.001150410402888277,7.4943465699614e-05
900,0.9987428171430472,0.0011412455636957816,7.849671794195282e-05
1000,0.9987306567571497,0.0011534207553347505,0.00012247394451569472
1100,0.998727285698492,0.0012006328209342833,0.00010151575945609124
1200,0.9986604376889611,0.0011812792549941364,0.0001226607804769649
1300,0.9986247845659348,0.001196103669385276,0.00012296822092366095
1400,0.9986528179530858,0.001226944695431415,0.0001703758404319161
1500,0.9985370155139314,0.0012840657179529914,0.0001559262424538089
1600,0.9985875902380031,0.0012606667767013089,0.00018596711495869246
1700,0.9984927233914894,0.001267790973556543,0.0001929272843324629
1800,0.9984733996037647,0.0013305749307336741,0.00020271468631135204
1900,0.9984089085469339,0.001344081617279692,0.0002417624720803501
2000,0.9983994068608655,0.0013416331482388464,0.0002389225747911213
2100,0.9984197911568737,0.0013813073120048519,0.00023723322418693813
2200,0.9983273107777123,0.0014054679837649424,0.000282562207598096
2300,0.998351635068684,0.0014180671731381764,0.0002689152801682502
2400,0.9982669030676531,0.001445270243782164,0.00028173109040887506
2500,0.9982347555035473,0.0014626472752538523,0.00030264921648103676
2600,0.998225765809533,0.0014661397808439917,0.0003049510506389179
2700,0.998139556506597,0.001478918040102697,0.0003207865569693374
2800,0.9980776921924491,0.0015139795376499811,0.00034779610454049615
2900,0.9980646852114929,0.0015159804846376424,0.00038465522321134483
3000,0.998099918103344,0.001588634772614213,0.0003585840528941291
3100,0.9980671295861502,0.0015615342326887104,0.00040365284696850374
3200,0.9979901419983305,0.0016094160909202462,0.0004143636843261738
3300,0.9979692364528713,0.001646951305028088,0.0004418722213822018
3400,0.997917607644789,0.0016343264721783248,0.0004256830344011117
3500,0.9978879527085861,0.0016644400536787788,0.00048140608712275213
3600,0.9977952413885427,0.0017322334759282102,0.0004919301412951108
3700,0.9978070259197876,0.001744810723372753,0.0004902117618607912
3800,0.997674285863829,0.001738911849655496,0.0005231034665591196
3900,0.99768296816515,0.0017629527581002362,0.000551583338971222
4000,0.9976204439329067,0.0017968002572102822,0.000539706314051623
4100,0.9976006634706409,0.001823503458851114,0.000552315611246348
4200,0.9974948828957502,0.001853111935216994,0.0005718718974534412
4300,0.9974783828985863,0.00189606592322981,0.0006060384636915992
4400,0.9973972791961543,0.001911334644464723,0.0006369529858174718
4500,0.9973757486515997,0.0019868667750958355,0.0006259230150578425
4600,0.9973780296555697,0.001968784971173124,0.0006811483988266263
4700,0.9972630462949192,0.0020208690162847767,0.000695061331119163
4800,0.9972869255422885,0.002065187939357578,0.0007055514480921684
4900,0.9972445348323292,0.0021109902740835923,0.0007087742227205711
5000,0.9971592896436011,0.0021319766460694656,0.0007377076753199147
