milliseconds,Susceptible,Infected,Diagnosed,Ailing,Recognized,Threatened,Healed,Extinct
0,0.9999964638046115,3.382419143240147e-06,3.4936037325349433e-07,2.2806419784147385e-08,3.068953137193558e-08,3.866084786450208e-10,-1.8009032781590437e-08,-3.562563356769276e-11
100,0.9999960018923036,3.3927716230293057e-06,3.9699942121099505e-07,4.6726475214041044e-08,6.588964615318152e-08,-7.122287890817427e-10,1.3362037811042298e-08,-1.0403693782966137e-11
200,0.9999960449226304,3.3837862783115253e-06,4.1901521876013935e-07,1.1010032477737596e-07,1.9649402391425487e-08,2.632202347095413e-09,2.226637409960429e-08,-1.9098698132155204e-11
300,0.9999959217645109,3.3853901305006983e-06,4.695359590894841e-07,1.462506031753733e-07,4.203868140893465e-08,-4.0793422135672493e-10,5.0513311206671215e-08,1.3769870359060909e-12
400,0.9999958723072071,3.4880522496637363e-06,5.090862003764598e-07,1.6910793761049372e-07,6.521254255770924e-08,1.0957661550402078e-09,6.897772479406324e-08,9.578183918013608e-12
500,0.9999957198181716,3.4669844414390597e-06,5.553002135876264e-07,2.097111462163197e-07,5.394722385708481e-08,1.158987224471518e-09,5.552720676667816e-08,2.7126867904431212e-11
600,0.999995358755971,3.5495842131290443e-06,6.588109714550067e-07,2.2831841425145784e-07,1.1629634084579051e-07,3.743955024434299e-09,7.192438942818325e-08,3.6097911026813615e-11
700,0.9999952262136574,3.605996871604614e-06,6.671987451399189e-07,2.93892370932347e-07,8.545104844176686e-08,4.0087847858594605e-09,8.190260267141397e-08,7.073585305550383e-13
800,0.9999949512984007,3.633951790327255e-06,7.283969563726216e-07,3.0971509305025535e-07,1.1105401324865071e-07,3.0730813607723126e-09,1.1296658577517741e-07,1.6064177225908197e-11
900,0.9999949996878741,3.71151403426093e-06,7.565068301497917e-07,3.3431787544765756e-07,1.683163160875831e-07,5.019889772702591e-09,1.1585191535722226e-07,8.91906032332884e-12
1000,0.9999947891942292,3.7210501312501346e-06,8.072777386985978e-07,3.728412276395176e-07,1.8650400959019648e-07,7.3158329591742615e-09,1.58344146324882e-07,4.913700072585179e-11
1100,0.9999944612997164,3.808114186845749e-06,9.154153576697695e-07,4.235239795521812e-07,1.8480836851351916e-07,8.026349389978056e-09,1.605879093756188e-07,4.154331226189269e-11
1200,0.9999944325544808,3.804378366357066e-06,9.153946572103734e-07,4.4111466172109654e-07,2.3220168445278715e-07,7.791723161175817e-09,1.707610865242661e-07,7.160932546588936e-11
1300,0.9999940980866925,3.896050139099035e-06,9.554881843269868e-07,4.671568802562223e-07,2.8379992502515606e-07,8.569462167049069e-09,1.975068784556738e-07,2.435076367069765e-11
1400,0.9999939709008336,3.945596093458164e-06,1.069124259307435e-06,4.842115185169543e-07,3.121930943631613e-07,1.0704637785849364e-08,2.195988688029406e-07,7.125978933828445e-11
1500,0.9999937566308534,3.932621181951276e-06,1.0850756709028885e-06,5.215387125129469e-07,3.0338252399551714e-07,1.196759344479604e-08,2.3603503708506912e-07,8.071723780036593e-11
1600,0.9999936042272073,3.987190172513313e-06,1.1289220483508047e-06,5.694639943162728e-07,3.254587974802316e-07,1.4117604284847671e-08,2.3969571094105796e-07,6.113448522564373e-11
1700,0.9999935929870096,4.0957687164229535e-06,1.1618301255060015e-06,5.876489862284089e-07,4.0232859419562063e-07,1.4075590407864027e-08,2.532548876389566e-07,1.333972030075104e-10
1800,0.9999934348538294,4.138078082938801e-06,1.2779662087246135e-06,5.938802391187978e-07,3.92206991172835e-07,1.850397466898323e-08,3.061007345652617e-07,8.455351036644435e-11
1900,0.9999931881678445,4.136680991515406e-06,1.3145361693082085e-06,6.438487117765024e-07,4.5004333346329726e-07,2.0747957053195725e-08,3.0130148872968186e-07,1.4129545880082268e-10
2000,0.9999928408690644,4.255062678903866e-06,1.3807047372539266e-06,6.61762444750265e-07,4.665953671783439e-07,2.2386995503833278e-08,3.170562260281881e-07,1.5622866089506344e-10
2100,0.9999925966634648,4.288604562285492e-06,1.376942136348945e-06,6.91221669373325e-07,5.152295940749484e-07,2.7497539707303025e-08,3.4376086492987765e-07,2.1165646476993545e-10
2200,0.9999924699844764,4.399022787095829e-06,1.4305320168510098e-06,7.00473261059805e-07,5.835606613821558e-07,2.562148497395019e-08,3.681394619597571e-07,2.2631557325521e-10
2300,0.9999923571398703,4.420671456501257e-06,1.4866299883575845e-06,7.292304339786071e-07,5.907448364663644e-07,3.34758743773749e-08,3.815826690394842e-07,2.0199066885460942e-10
2400,0.9999921370333721,4.483167042913092e-06,1.5415976110846422e-06,7.619180891199814e-07,6.663170883231345e-07,3.418236710888873e-08,4.0516203092426977e-07,2.854052008168079e-10
2500,0.9999919416358666,4.574835922910802e-06,1.5853871673546214e-06,7.787736518063549e-07,7.365059778447339e-07,3.596526826093724e-08,4.375458625209826e-07,3.0299059790397565e-10
2600,0.9999917190118516,4.666379277302687e-06,1.640617940899803e-06,8.11546958599676e-07,7.399008385262852e-07,3.7949099078861275e-08,4.550206629950344e-07,3.226355890015125e-10
2700,0.999991540903843,4.66849548205835e-06,1.7133398177957052e-06,8.265123163785136e-07,7.854560895435962e-07,4.417840099386659e-08,4.821859060860806e-07,4.139987411431806e-10
2800,0.9999913046382031,4.706813955069905e-06,1.77034640693734e-06,8.644593526004741e-07,8.444259877024707e-07,4.738830095064341e-08,5.050167304442514e-07,4.6291836392394286e-10
2900,0.9999909166142502,4.83074189073654e-06,1.793473722014162e-06,8.722537175370847e-07,9.006061050523594e-07,5.1660061394930955e-08,5.290583235773417e-07,4.711034502582477e-10
3000,0.9999907052987612,4.935982624982966e-06,1.8654696153624776e-06,9.126211274144466e-07,9.347405428810171e-07,5.5663506876806125e-08,5.775715082920997e-07,5.360987838720335e-10
3100,0.9999904458002505,4.993509393690655e-06,1.8989440570075015e-06,9.41391085281541e-07,1.0001152643644925e-06,5.882843574027305e-08,5.88184867593921e-07,5.639348927398164e-10
3200,0.9999903913276779,4.99998812361662e-06,1.976057005974051e-06,9.664020952914603e-07,1.0814264399885777e-06,6.257787802222719e-08,6.066919466900227e-07,6.582762384988894e-10
3300,0.9999898833176641,5.123974725971796e-06,2.059036633882534e-06,9.65257034180496e-07,1.1405686219555173e-06,6.863456565777314e-08,6.509877660768324e-07,7.017027051490481e-10
3400,0.999989720481366,5.208256710199081e-06,2.1213523059749775e-06,1.0046653056079633e-06,1.145324983408786e-06,7.392496569025162e-08,6.687842104764898e-07,7.806506833604604e-10
3500,0.9999895563843798,5.3187261240727516e-06,2.126543572862764e-06,1.0352343677789992e-06,1.2375048273555817e-06,7.531433170440072e-08,7.212607121792989e-07,8.671226552165446e-10
3600,0.9999893300402793,5.314204565057145e-06,2.2020756976561607e-06,1.050851500348098e-06,1.262459188241293e-06,8.407003411257255e-08,7.425509038759349e-07,9.262672278048714e-10
3700,0.9999890576602043,5.440527558465793e-06,2.2239187318000958e-06,1.0950697016044683e-06,1.380475278511496e-06,8.695238985409619e-08,7.533787582275366e-07,1.0323113545562443e-09
3800,0.9999887893525014,5.475165189012048e-06,2.2974358369475336e-06,1.0992256463895575e-06,1.4253949033970935e-06,9.149412038022793e-08,7.854403337913013e-07,1.0864292994602e-09
3900,0.9999884198515392,5.578180727183415e-06,2.4022640710802336e-06,1.1475154490792129e-06,1.5006825863302366e-06,9.670154142826778e-08,8.208729897350223e-07,1.2020752356361298e-09
4000,0.999988189239672,5.656205122527069e-06,2.4228254937659316e-06,1.1485074005368576e-06,1.5678842445500751e-06,1.0320475135957486e-07,8.439279670227657e-07,1.3013308392636886e-09
4100,0.999987919128426,5.827570638541605e-06,2.4646108685095235e-06,1.1949605394547075e-06,1.625311687029799e-06,1.0721399357407339e-07,8.922336440437726e-07,1.4425004419482662e-09
4200,0.9999878079644906,5.834659504689289e-06,2.5214224872068997e-06,1.2030272887181408e-06,1.6622075558057112e-06,1.1766691398939457e-07,9.294424648471785e-07,1.5512489684500577e-09
4300,0.999987464774502,5.934788321649832e-06,2.642270418941407e-06,1.2282141158903754e-06,1.7609931176066336e-06,1.2089399393751462e-07,9.420224210494719e-07,1.6705985049785748e-09
4400,0.9999871385746352,6.012843885536884e-06,2.681029880320495e-06,1.2469052275741593e-06,1.7958339026403717e-06,1.3049451591019523e-07,9.96233241195806e-07,1.7398719140254736e-09
4500,0.9999867808796579,6.1338947054804595e-06,2.7125786517246297e-06,1.266991839645019e-06,1.883655886387101e-06,1.3348159003094206e-07,1.0270130745940313e-06,1.8968688750580233e-09
4600,0.999986438044624,6.215144008766785e-06,2.8255731703319077e-06,1.3113424339353329e-06,1.949439844166844e-06,1.4151589741464976e-07,1.0599778969041593e-06,2.0308789346330257e-09
4700,0.9999860862753599,6.370749606096192e-06,2.878904125124291e-06,1.3125870088630508e-06,2.0190908546575978e-06,1.5060554986594036e-07,1.0968892605712621e-06,2.2009988258100482e-09
4800,0.9999857940652724,6.445219836297363e-06,2.9085475346925575e-06,1.349212915791153e-06,2.1309629584911297e-06,1.5800237080675042e-07,1.1522052878688012e-06,2.3753906607407022e-09
4900,0.999985537188981,6.513046519980538e-06,2.9933484037974046e-06,1.3696823267931583e-06,2.1816026146447436e-06,1.6320162577056556e-07,1.1645080009116762e-06,2.5072813033806996e-09
5000,0.9999852862256486,6.613994547740391e-06,3.081249232991058e-06,1.4016791326547801e-06,2.3087384650615718e-06,1.7428224883788377e-07,1.2289094265919724e-06,2.7029643342398544e-09
