miliseconds,Susceptible,Infected,Diagnosed,Ailing,Recognized,Threatened,Healed,Extinct
0,0.999996374266333,3.3574901720233103e-06,3.1525141716279843e-07,1.6353479812526305e-08,8.14214020942964e-09,-5.813931615581332e-11,1.7030260741219415e-08,1.0717191373139087e-11
100,0.9999962373338281,3.3662792869104396e-06,4.1692681716089053e-07,7.141062925714468e-08,6.174145937543914e-08,1.8796660099499806e-09,2.3803329449495676e-08,2.5460845682615774e-11
200,0.9999958785856985,3.430131733252856e-06,4.647279290833023e-07,1.1595391706912826e-07,7.06691553667028e-08,-9.203726900356316e-10,2.2636664903907003e-08,2.1890896510197653e-11
300,0.9999959905713196,3.3850643265643878e-06,4.878625682921373e-07,1.4820578917180893e-07,8.763491259723663e-08,-1.096757689802153e-10,3.6798349619775515e-08,3.7021640375767946e-11
400,0.9999957745239146,3.4514613197974462e-06,5.289039521405818e-07,1.618077598938624e-07,4.0924819378495835e-08,3.764521458583708e-09,6.896710684100989e-08,-9.201750316245617e-12
500,0.9999955215708742,3.552897210585798e-06,5.935513176631257e-07,2.2426039618783438e-07,9.394841081724108e-08,1.0912646542667151e-09,7.725346223236646e-08,4.1171875559510816e-11
600,0.9999952787827718,3.5456605942794427e-06,6.097079732929881e-07,2.3274684653211278e-07,8.128961573880526e-08,4.8927787233409625e-09,9.784190124023941e-08,2.228421330461208e-11
700,0.9999953642264559,3.582629894441351e-06,6.986094205977461e-07,2.6162780568202847e-07,1.4292021717608537e-07,5.173238892492121e-09,8.625104256022099e-08,-9.455601193910682e-12
800,0.9999949533975329,3.6572798357784677e-06,7.10879665747507e-07,3.0116940169271883e-07,1.1161590366870057e-07,3.932503452661097e-09,9.907401964838824e-08,1.1712928107190823e-11
900,0.9999950378549796,3.6587644042315492e-06,8.295223604513722e-07,3.2249227571672515e-07,1.750164114572959e-07,2.764147511981535e-09,1.1982509759754883e-07,-2.2353060154764867e-11
1000,0.99999468162952,3.6727948034916388e-06,8.726438276101664e-07,3.8223698994928745e-07,1.9410119480312047e-07,8.194842508374255e-09,1.5336542755778288e-07,3.352498894975727e-11
1100,0.999994720164874,3.7547190105748516e-06,9.128685502666732e-07,4.055702261919397e-07,2.301760344568277e-07,5.081886404004144e-09,1.4760501052601724e-07,2.1666317205679242e-11
1200,0.99999439273796,3.7693265385339416e-06,9.284770585305003e-07,4.518371764633577e-07,2.3892509646894204e-07,8.748765906898428e-09,1.6149581410770275e-07,6.35153558651333e-11
1300,0.9999943630458995,3.868738446130226e-06,1.0131873003965308e-06,4.810973459883209e-07,2.3410614519322607e-07,1.0588635192660257e-08,1.8140347930940434e-07,6.576263180163916e-11
1400,0.9999941661888654,3.910484007391487e-06,1.0268050593669784e-06,4.887709002303132e-07,2.9644045516234285e-07,9.622164753713165e-09,2.0918283022985583e-07,2.4115131562595846e-11
1500,0.9999939888943231,3.991330349367617e-06,1.1102322370344278e-06,5.236254846216608e-07,2.8312546648677966e-07,1.3184585319189449e-08,2.2292857080904249e-07,7.950088948906301e-11
1600,0.9999936649070993,4.056941532366918e-06,1.154075904075916e-06,5.597601129572451e-07,3.211949632466853e-07,1.6673128682214127e-08,2.615988844011972e-07,9.773775010760075e-11
1700,0.9999935914041346,4.081885431985352e-06,1.1840750893466673e-06,5.736311792526685e-07,3.9003633452218227e-07,1.528790747622736e-08,2.593275924377829e-07,1.2721145274788416e-10
1800,0.9999934062644485,4.133605961289004e-06,1.2824973947847708e-06,6.110669892696562e-07,4.4839210783599063e-07,1.6086337003938062e-08,2.826532945605611e-07,1.0685331220921153e-10
1900,0.999993026869007,4.143634327777098e-06,1.2684932909192216e-06,6.216578819945919e-07,4.6221789344791785e-07,1.9944330060346828e-08,2.9604972260722416e-07,1.1274813844401728e-10
2000,0.9999928139564186,4.262947349958763e-06,1.3840402064648506e-06,6.459929335556888e-07,5.038172462550756e-07,2.1860270566480576e-08,3.3579109207867063e-07,1.8623334545843277e-10
2100,0.9999928091032797,4.288265841389317e-06,1.3988613841937026e-06,6.838551643170837e-07,5.45455871243563e-07,2.398863544091735e-08,3.52777013436233e-07,1.5671267692332065e-10
2200,0.9999926665084601,4.375105335277674e-06,1.4243236666036411e-06,7.076127136846818e-07,5.882075610829572e-07,3.0138010097271614e-08,3.727839533324043e-07,1.898437590418888e-10
2300,0.9999924581282846,4.400335159912844e-06,1.4662620118895311e-06,7.322546917448022e-07,6.502226987075546e-07,3.303100554261151e-08,4.019306566777132e-07,2.46953877096662e-10
2400,0.9999919580094,4.5233903207081486e-06,1.5508360760111366e-06,7.784547113213691e-07,6.515818953475042e-07,3.517853107799971e-08,4.174672662700995e-07,2.695752360067661e-10
2500,0.9999919261078674,4.506975990225501e-06,1.6148109307417805e-06,8.059103621838564e-07,7.411173290643714e-07,3.773650997913089e-08,4.2976296582315203e-07,3.25153478589869e-10
2600,0.9999915754898113,4.583183130632214e-06,1.6540537846145131e-06,7.930515861539085e-07,7.445399661944321e-07,3.8655489882903944e-08,4.661171793539686e-07,3.166814554900018e-10
2700,0.9999914691669503,4.7166289209660484e-06,1.718613559288866e-06,8.436057100030093e-07,8.088374496851994e-07,4.4351614525419436e-08,5.075428859065962e-07,3.558576015606999e-10
2800,0.9999913003941134,4.710468282515714e-06,1.7751934697449476e-06,8.788245596522937e-07,8.235133628366506e-07,4.4475990668824174e-08,5.30298127647054e-07,4.3543762001045876e-10
2900,0.999991064411026,4.82608238022642e-06,1.8187377587635767e-06,8.671727811550099e-07,8.877232361824677e-07,5.222072763815285e-08,5.369954890042385e-07,4.666493367531945e-10
3000,0.9999906378273256,4.93821356599202e-06,1.8823992486856886e-06,9.208537187305494e-07,9.640100359802817e-07,5.385191095365079e-08,5.64097306922952e-07,5.039071097721793e-10
3100,0.9999903906900351,4.98636578469111e-06,1.9015980752036759e-06,9.450802801306124e-07,1.0307643285532478e-06,5.617691894655698e-08,6.000603650907289e-07,5.827170967414621e-10
3200,0.999990405638138,5.05044210748773e-06,1.9686232008294633e-06,9.677500341629853e-07,1.0696529800227617e-06,6.303431929191954e-08,6.209498154624861e-07,6.713576782898373e-10
3300,0.9999901300034274,5.080561459288457e-06,2.04708274756549e-06,9.844250897334262e-07,1.1170922935104997e-06,6.915456040597636e-08,6.368006003319529e-07,7.022122512794971e-10
3400,0.999989798511319,5.185472164083529e-06,2.0610760288685975e-06,1.0184098918621877e-06,1.1758026340656508e-06,6.977599140955982e-08,6.67982176352666e-07,7.446231242087018e-10
3500,0.999989631745219,5.259753195522178e-06,2.1201657466252663e-06,1.0457150900339903e-06,1.20920515455398e-06,7.676291488435218e-08,7.230841605734467e-07,8.86046288546348e-10
3600,0.9999893850703591,5.317389701989329e-06,2.174785315897466e-06,1.0410629791580044e-06,1.2980008983657526e-06,7.968528615809632e-08,7.189564195682865e-07,8.97470290155176e-10
3700,0.9999890843609489,5.439257098823317e-06,2.221765470352654e-06,1.091200100450303e-06,1.3611162290604996e-06,8.616788183399219e-08,7.669086248235274e-07,1.0219134153459944e-09
3800,0.9999889254952061,5.562955451023795e-06,2.281353697254087e-06,1.098806954452766e-06,1.4542273738854131e-06,9.077532743200632e-08,8.001334329172488e-07,1.1359502117399954e-09
3900,0.9999885586072523,5.589267177731224e-06,2.3788538251974805e-06,1.127903428165174e-06,1.4700362663526335e-06,9.642675017102298e-08,8.31847063090921e-07,1.2246012934394613e-09
4000,0.9999880860741229,5.7380084449843815e-06,2.421012060793544e-06,1.1359865925366835e-06,1.5615056742753628e-06,1.0276834286676289e-07,8.492263265283813e-07,1.335707347000676e-09
4100,0.9999878937008045,5.768646335771657e-06,2.517702774757562e-06,1.176220334761521e-06,1.6122021720318872e-06,1.1163212270842437e-07,8.905813821140311e-07,1.4106077624057248e-09
4200,0.999987685497479,5.855054563511863e-06,2.547220320582028e-06,1.2015581919044725e-06,1.6883861013775068e-06,1.1416335528720079e-07,9.326360035213302e-07,1.5178580132198032e-09
4300,0.9999873361831704,5.921998674048499e-06,2.603494605505259e-06,1.2108573500887748e-06,1.7299023047889934e-06,1.2256742626980654e-07,9.55788554039415e-07,1.6251558179506369e-09
4400,0.999986991212624,6.067785852719097e-06,2.645963670275857e-06,1.2323817479728106e-06,1.8093732917411945e-06,1.3096806103345692e-07,9.821871181450347e-07,1.7731649484458439e-09
4500,0.9999869229349682,6.135904910648183e-06,2.755205649551745e-06,1.2804466284136153e-06,1.9124371135508767e-06,1.3517731625114924e-07,1.0138366550562794e-06,1.870998827638702e-09
4600,0.9999865649029144,6.208126403702574e-06,2.815179484773963e-06,1.2854268884572624e-06,1.999367301445277e-06,1.4274731464859613e-07,1.0806887063976824e-06,2.0188432485763186e-09
4700,0.9999860758767448,6.3269489326346585e-06,2.8961794768652513e-06,1.3088390954105146e-06,2.07176508740412e-06,1.487472323014314e-07,1.0923957289639712e-06,2.149404905332448e-09
4800,0.9999857574045434,6.456387120254974e-06,2.8954633435547517e-06,1.3429375765294719e-06,2.0941736471815835e-06,1.5634855154448954e-07,1.1260577210925955e-06,2.3051226175908126e-09
4900,0.9999857111698786,6.572572009872789e-06,2.981656188081438e-06,1.363608294083061e-06,2.1774767012149147e-06,1.6678294206686546e-07,1.1867220347298765e-06,2.5340808248605322e-09
5000,0.9999853208328618,6.614800159289216e-06,3.073350688888636e-06,1.3942814821335272e-06,2.2859917752798446e-06,1.7223218515633665e-07,1.2184960737201933e-06,2.6465755659744963e-09
