milliseconds,Susceptible,Infected,Diagnosed,Ailing,Recognized,Threatened,Healed,Extinct
0,0.9999962927171928,3.3676146153343984e-06,3.568303906233711e-07,3.2022424459112434e-08,2.294175708267866e-08,4.4887987179467225e-10,-9.855291397411525e-09,-1.8775400195286437e-11
100,0.9999960533889851,3.3791179410380133e-06,3.9945299062255216e-07,4.475595456239807e-08,5.852745276424674e-08,-1.9311855824319126e-09,-4.356652469140589e-09,-9.107840563760447e-12
200,0.9999961610214118,3.3987975438405727e-06,4.04859020354608e-07,1.1080285675409134e-07,6.192183041549643e-08,8.124897776407188e-10,3.4898019425606285e-08,6.18039682981434e-12
300,0.9999959675874771,3.450985999012119e-06,4.6593049985179465e-07,1.4361669322977977e-07,4.1606363930141056e-08,-6.847456470333099e-10,3.206235302442868e-08,-4.63153213636059e-12
400,0.9999956509343948,3.4667929039591943e-06,5.770732925809665e-07,1.686756422098106e-07,9.459091088088791e-08,3.0199076459514524e-09,4.092835591188263e-08,-3.652790296692195e-11
500,0.9999954002082645,3.545679506800129e-06,5.544918492741139e-07,2.2656662129550224e-07,1.0234490693576413e-07,2.4729973693259203e-09,8.222977771802598e-08,-6.0516083036067455e-12
600,0.9999953698920431,3.58313427367897e-06,6.426446511937364e-07,2.3030866589251645e-07,1.0453531435589363e-07,1.7169173422123876e-09,9.618030786385553e-08,-1.9487326411858077e-11
700,0.9999952508483756,3.5917755054881913e-06,7.061611590203665e-07,2.7547114783698756e-07,8.732697838960928e-08,2.9836900727362876e-09,1.150160434721261e-07,3.232711268973629e-11
800,0.999995102443181,3.6121328112089014e-06,7.666259571301719e-07,3.06386679990015e-07,1.6890681794873253e-07,6.115887762865327e-09,1.1850560586675227e-07,-1.8547040352128367e-11
900,0.9999950114775067,3.6445534179653475e-06,7.917275441541244e-07,3.2751529929637556e-07,1.403686652140979e-07,2.95083364081897e-09,1.1099998396404774e-07,-9.564641439822143e-15
1000,0.9999946103506584,3.7212977268930546e-06,8.364296733603326e-07,3.6460658718191874e-07,1.5036930069831296e-07,6.470932739710784e-09,1.414041773434183e-07,2.9609668067662926e-11
1100,0.9999944290151728,3.8012537577089782e-06,8.832047570150758e-07,4.120645739960114e-07,1.83291548631368e-07,8.352712642705637e-09,1.6674296051717533e-07,-3.523172484598728e-12
1200,0.999994445058849,3.814731489769545e-06,9.270955520568253e-07,4.370105320153738e-07,2.395704540121514e-07,9.856778017723508e-09,1.9374977459261329e-07,2.2290587976770137e-11
1300,0.9999943622876488,3.819732769317801e-06,1.0222819534863375e-06,4.80544459400217e-07,2.2963388470261513e-07,1.0393904945082511e-08,1.9569525041257054e-07,4.998496832230435e-11
1400,0.9999940319526642,3.922202083444433e-06,1.0103343506871781e-06,4.740414270753566e-07,2.588373646714849e-07,9.795581181283668e-09,2.2827024783804345e-07,6.517363236509124e-11
