miliseconds,Susceptible,Infected,Diagnosed,Ailing,Recognized,Threatened,Healed,Extinct
0,0.9999964015928352,3.3106467757819737e-06,2.867362166175075e-07,5.099117978663285e-08,4.9529389627828974e-08,-8.009530572099715e-10,4.2718056452045215e-09,-8.339405633856667e-12
100,0.9999959842802586,3.3045022806774257e-06,3.4657772110109673e-07,3.4523256778729924e-08,3.745151277488221e-08,2.3047561022092756e-09,-5.7633815215812126e-09,-1.5685843485796935e-11
200,0.9999960524284448,3.4050879186266356e-06,4.570742989819384e-07,1.2886659483307003e-07,6.981645978243625e-08,7.587246536167398e-10,1.2709482714357332e-10,-4.4145356536605054e-12
300,0.9999961171436825,3.2887695028775895e-06,5.016390525457499e-07,1.6293528331514037e-07,7.404200867231668e-08,1.5174858665345185e-09,4.501967728238296e-08,2.9025812997854153e-11
400,0.9999958325087767,3.3261209193597594e-06,5.682155193947483e-07,1.7587144036947843e-07,1.108535662493432e-07,3.03134187346815e-10,5.9159955799805173e-08,3.491054940084986e-11
500,0.9999954666954646,3.4181712268664916e-06,5.329746570171338e-07,1.8671388252841762e-07,7.067142138002204e-08,4.6851753867768114e-09,9.168676274856949e-08,-2.1043231755280946e-11
600,0.9999953364162697,3.681770208091856e-06,6.703747797674856e-07,2.37984739470927e-07,1.3095603454600608e-07,2.722747768277455e-10,5.625560359943651e-08,2.1005015490275738e-11
700,0.9999954241064808,3.5152301770449265e-06,7.208231540122053e-07,2.47049805048959e-07,1.302834243017663e-07,4.774310281156231e-09,1.0191069473314716e-07,5.074877800987872e-12
800,0.99999527994028,3.694894973523713e-06,7.289873282940686e-07,3.248249529783896e-07,1.3985102056836672e-07,2.9645473759195557e-09,1.0778488860101077e-07,-2.253355273288295e-11
900,0.9999951512429237,3.7720620429134357e-06,8.27743138366974e-07,3.391428859537202e-07,1.1090302875867124e-07,2.6934560551263446e-09,1.3211182984671748e-07,3.887558968713579e-11
1000,0.9999945560670617,3.761349171910649e-06,8.678614754758139e-07,3.823198839287234e-07,1.5561189864034434e-07,8.792052359640859e-09,1.6893693110767468e-07,2.2950519121693013e-11
1100,0.9999943318814398,3.862028744150408e-06,8.817484715169586e-07,4.3177243048923705e-07,1.6842905252335697e-07,4.450855712846375e-09,1.647585211940032e-07,7.807108100175099e-12
1200,0.9999941749539245,3.807571446079073e-06,9.006848487288081e-07,4.121775489947901e-07,2.3177294500075617e-07,6.47229317924489e-09,1.9458004072905709e-07,4.163783553408154e-11
1300,0.9999939677897928,3.72667611798295e-06,1.036713034808071e-06,4.448575891826224e-07,2.1172113167871934e-07,8.471774874585553e-09,2.027273479335758e-07,2.7667063629169485e-11
1400,0.9999942025726358,3.878894808912629e-06,9.921169876000806e-07,4.6320751206789695e-07,2.9284374780061793e-07,1.0643304238027282e-08,1.939931045595685e-07,5.7456513888066067e-11
