miliseconds,Susceptible,Infected,Diagnosed,Ailing,Recognized,Threatened,Healed,Extinct
0,0.9999962695153011,3.3237996056867616e-06,3.3520341566791315e-07,1.0835242600282883e-08,5.007602109691245e-08,-1.4472059928022842e-09,-1.3649709515157853e-08,3.0221863258365e-11
100,0.9999960953146944,3.3925771063047033e-06,3.667071046989407e-07,7.430234081809323e-08,6.052474993911364e-08,-6.798318057939269e-10,2.277089352866023e-08,-2.1968443607005108e-11
200,0.9999961334412096,3.4244934607986076e-06,4.2548232844398804e-07,7.86329834645478e-08,4.8287969495245886e-08,-1.4323756838916176e-09,3.310372099294762e-08,1.7091533332675023e-11
300,0.9999957716721767,3.4036416950647278e-06,5.096688196740393e-07,1.222154897569092e-07,3.126984329707006e-08,1.076172758324699e-09,3.3575352769320177e-08,-3.7723628428602485e-11
400,0.9999956330438136,3.4705404832969876e-06,5.538898241752526e-07,1.7852474690662232e-07,4.9024677629410685e-08,1.886828028904469e-09,5.899186827956156e-08,-2.9666362313114254e-11
500,0.9999957158645629,3.4993344441388072e-06,5.895519416124443e-07,2.1619300308510145e-07,9.900911238661553e-08,8.244785676879638e-10,6.786725190649702e-08,1.105956425845075e-11
600,0.9999955472891275,3.59221525886796e-06,6.787952928513459e-07,2.4841334246510186e-07,1.1909727168279861e-07,3.8777302373643456e-09,9.838626734390612e-08,3.585156672423023e-11
700,0.9999951538556732,3.622172891182782e-06,7.140861354141818e-07,2.648063352713327e-07,1.2006836683290176e-07,5.297753357126691e-09,1.1224003456724048e-07,2.5119079212288813e-11
800,0.9999951531679417,3.5928188183371695e-06,7.52703891510814e-07,3.026672506592435e-07,1.1515307214345682e-07,2.022718467168446e-09,1.2525686290960269e-07,2.174895514457278e-12
900,0.9999948782136362,3.6442110282332106e-06,8.103650306947893e-07,3.565664261046509e-07,1.5405777014430668e-07,5.42548168736584e-09,1.2125675801063964e-07,2.604487110841382e-11
1000,0.999994812783247,3.726079916442783e-06,8.515666929885177e-07,3.919857573481333e-07,1.817840408677038e-07,7.704659407222108e-09,1.4348664737131887e-07,4.662453707918086e-11
1100,0.999994633548555,3.7822510745400644e-06,8.660013567662977e-07,3.8543441414668647e-07,1.8081344867886787e-07,4.954620672391274e-09,1.6545016193631863e-07,2.719999881049521e-11
1200,0.9999943269169437,3.7896296463762883e-06,9.30512723743264e-07,4.1956909149938355e-07,2.628832781092645e-07,7.585448805350201e-09,1.8636736102733344e-07,5.545562727115897e-11
1300,0.9999942876565405,3.848410159387334e-06,9.639444801286967e-07,4.6268901509379804e-07,2.3338309881919278e-07,7.527375138111222e-09,2.0540984459796865e-07,2.2175500834729652e-11
1400,0.9999942067164087,3.9377950544199995e-06,1.0780568611590366e-06,4.849119738771915e-07,2.5258417209709835e-07,1.3405532146687479e-08,2.2129411560935377e-07,6.608370074621789e-11
1500,0.9999939651785582,3.943171581513095e-06,1.085818890745869e-06,5.400348880884394e-07,3.105702865691968e-07,1.1204970660727758e-08,2.1693688772288028e-07,7.11839301267706e-11
1600,0.9999937265928994,4.014861049363868e-06,1.1805520844634613e-06,5.410219205217048e-07,3.228724652247529e-07,1.6676597957450738e-08,2.5441291691825556e-07,7.223124622042567e-11
1700,0.9999935671347295,4.022255305182039e-06,1.1833066148517338e-06,5.760742869170899e-07,4.065764802935618e-07,1.8112776039793634e-08,2.610962309825772e-07,1.1175383867576288e-10
1800,0.9999931680567984,4.108811706572993e-06,1.2746173205340132e-06,6.001929135574615e-07,3.8794780027664984e-07,1.6265488969360718e-08,2.7519110958614766e-07,1.0028497177596551e-10
1900,0.9999929851286694,4.204399152924234e-06,1.300708212223391e-06,6.166452298765655e-07,4.579054191487769e-07,2.3266578053844538e-08,3.2702350563170657e-07,1.0216240590928547e-10
2000,0.9999930396202282,4.270859417957462e-06,1.3730433172379186e-06,6.635141923122361e-07,4.846086000793773e-07,2.316213468812635e-08,3.2870792589498774e-07,1.510734844554638e-10
2100,0.9999926329018486,4.3439482636033054e-06,1.3737993134264718e-06,6.850161929983066e-07,5.094370274629739e-07,2.4031128223163552e-08,3.675275229371226e-07,1.759267078840079e-10
2200,0.9999923873315981,4.323224431260704e-06,1.420133147039504e-06,6.997350687098332e-07,5.809383526602186e-07,2.8573303375773082e-08,3.8205120456063246e-07,1.8980098788514117e-10
2300,0.9999924756462558,4.425918235553256e-06,1.5000434546213022e-06,7.316528732404644e-07,6.338832923715974e-07,2.962250715338006e-08,3.871135588317488e-07,2.4545706459165547e-10
2400,0.9999920251527755,4.4439954801652306e-06,1.5274901852288423e-06,7.543113961085582e-07,6.425458736379179e-07,3.5701607443924046e-08,4.370724675644276e-07,2.3183782187586694e-10
2500,0.9999918116137337,4.591037359596891e-06,1.570760176638048e-06,7.895723642367489e-07,7.308626673812715e-07,3.496932959346843e-08,4.5143492028155684e-07,2.925271061751715e-10
2600,0.9999916222420672,4.651009861890095e-06,1.6333113458631756e-06,8.213479241594787e-07,7.674122978201324e-07,4.157313448556854e-08,4.594987097468992e-07,3.233829019424417e-10
2700,0.999991286302701,4.699611081321182e-06,1.6928458066866153e-06,8.470391894597133e-07,7.980995733605441e-07,4.386644092230031e-08,5.015214953588897e-07,3.566186912355938e-10
2800,0.9999910786436835,4.753006351329902e-06,1.797283503204935e-06,8.548986136172429e-07,8.405823039374975e-07,4.788558799442892e-08,5.190163570061342e-07,4.591316923191953e-10
