milliseconds,CDK2cycA,CyclinA,Cdk2,CDK2cycA_star_
0,-6.335427451544837e-10,4.0131204510261655e-07,9.964018012046398e-08,9.71078523321615e-10
100,1.4314104953375323e-08,3.847145074767001e-07,8.468104549833675e-08,5.87202558349424e-10
200,1.9778091074617203e-08,3.7550903257140794e-07,7.734098619082074e-08,1.7310100932360445e-09
300,2.5699959580094318e-08,3.689369042236032e-07,6.894769393453712e-08,4.860929288577311e-09
400,2.905897745061119e-08,3.649923571113474e-07,6.588274275772807e-08,6.021676959258944e-09
500,2.9599684389407998e-08,3.6265185692990045e-07,6.316784271544209e-08,7.649071967816898e-09
600,3.0421183735698375e-08,3.631538660066104e-07,6.119088837268935e-08,1.1116832001538578e-08
700,2.947766513584553e-08,3.6068526999213866e-07,6.013043756750124e-08,1.2358499456786613e-08
800,3.038525290594134e-08,3.5832340865764996e-07,6.048612116128617e-08,1.0919376429865693e-08
900,3.2678917131698814e-08,3.5895134464890694e-07,5.667011866079819e-08,1.3714288050998532e-08
1000,3.2745226673135706e-08,3.582608514347321e-07,5.645972205109396e-08,1.5255386752403277e-08
1100,3.4627210349817855e-08,3.54751023485052e-07,5.515748063505943e-08,1.5913942526193573e-08
1200,3.4318263702637485e-08,3.554886844669417e-07,5.46909423160222e-08,1.8578062987828917e-08
1300,3.4743685879044737e-08,3.5334723167778246e-07,5.4243825259493586e-08,1.8143786604705144e-08
1400,3.656779109813131e-08,3.5243525917535806e-07,5.213177565585942e-08,1.918210311264844e-08
1500,3.645439818535116e-08,3.502951173187674e-07,5.127883355227493e-08,2.4074377273539757e-08
1600,3.650247077428159e-08,3.4836026111813444e-07,4.9681677681139765e-08,2.4666818608699402e-08
1700,3.735797260130655e-08,3.4864869610334207e-07,4.9105330359139946e-08,2.3954284260926364e-08
1800,3.858000380801425e-08,3.4631941865507633e-07,4.574303129332044e-08,2.5239855010742723e-08
1900,4.077493458460597e-08,3.4433853362352445e-07,4.553321197500115e-08,2.8941742157330542e-08
2000,4.0823484459034765e-08,3.4301500834574276e-07,4.525297113593796e-08,3.083877968588447e-08
2100,4.065061638492359e-08,3.448703662816786e-07,4.419611133193386e-08,3.258108869405184e-08
2200,4.365880897809276e-08,3.416133019892953e-07,4.271354503194493e-08,3.403352445732738e-08
2300,4.211645001122768e-08,3.3939401496026815e-07,4.2014664402300953e-08,3.5803511724421964e-08
2400,4.454026283565781e-08,3.395946506140806e-07,3.924143364882203e-08,3.5709808455813706e-08
2500,4.352247995712558e-08,3.38332183963163e-07,3.7729908062106234e-08,3.54376312640588e-08
2600,4.496157733006736e-08,3.3756321229359e-07,3.6327009757392236e-08,3.909721597314086e-08
2700,4.754346308793997e-08,3.3421489778912554e-07,3.429997795234161e-08,3.900185751876314e-08
2800,4.6735246268181795e-08,3.3384166967687705e-07,3.618052161411402e-08,4.088624975018943e-08
2900,4.8793261429870934e-08,3.3327225638883344e-07,3.465647667799478e-08,4.2660374790067175e-08
3000,4.7205102823491557e-08,3.3213629597937953e-07,3.147780441325907e-08,4.214116557057586e-08
3100,4.841794517052496e-08,3.2950732888241064e-07,3.045550953686762e-08,4.3385653917699365e-08
3200,5.0295335520506655e-08,3.294115000917015e-07,3.0083051925778654e-08,4.47598469549561e-08
3300,5.216461488620708e-08,3.286420839396521e-07,2.7357388839387875e-08,4.873317236239217e-08
3400,5.2088472913885024e-08,3.255678538813544e-07,2.794343427660729e-08,4.7744311087503034e-08
3500,5.297329592388743e-08,3.269327386540801e-07,2.5421092824421845e-08,5.1636381606656834e-08
3600,5.231036559829266e-08,3.255709695621024e-07,2.5366321294382284e-08,5.0386841656217136e-08
3700,5.408642896301186e-08,3.2435886417120853e-07,2.3760154090157964e-08,5.4464201741228075e-08
3800,5.48951905456417e-08,3.218748601572481e-07,2.0689150752619028e-08,5.529520544730109e-08
3900,5.634056559419133e-08,3.221921514151246e-07,2.317028411396191e-08,5.7499465102153e-08
4000,5.740683371213568e-08,3.248202276809514e-07,2.374114454259312e-08,5.5853752687961456e-08
4100,5.863493218022898e-08,3.256497359508681e-07,2.391875817697471e-08,6.056657028898082e-08
4200,5.7950409281655046e-08,3.2648905715528134e-07,2.7333622698415918e-08,6.065382913483306e-08
4300,5.814997992259468e-08,3.275583661086544e-07,2.639816279432009e-08,6.291658362289693e-08
4400,6.038257692597179e-08,3.293134974356094e-07,2.7942403273816363e-08,6.276789542515305e-08
4500,6.178350585805877e-08,3.2865151542310896e-07,3.043606302267293e-08,6.14312217530783e-08
4600,6.062121486382082e-08,3.3105872396838754e-07,3.060184045608864e-08,6.293645180683628e-08
4700,6.277031759411368e-08,3.3058590716259393e-07,3.258106388193941e-08,6.570080895659738e-08
4800,6.432889652995896e-08,3.321635085149449e-07,3.327369707654723e-08,6.63995766292976e-08
4900,6.368377130499375e-08,3.3372173978353725e-07,3.43745317892848e-08,6.963139046129461e-08
5000,6.556730134570861e-08,3.353165591845391e-07,3.717251502110201e-08,7.151187104772915e-08
