milliseconds,CDK2cycA,CyclinA,Cdk2,CDK2cycA_star_
0,1.402048873942314e-11,3.9939098507538117e-07,9.860333761292677e-08,1.3787760183142476e-09
100,1.6067003153472846e-08,3.8312283459117983e-07,8.236415100728001e-08,2.0589709859485414e-09
200,1.9502045012153992e-08,3.764941661405301e-07,7.684261750026529e-08,2.4003697411690193e-09
300,2.4272711855027935e-08,3.70540152487392e-07,7.042044797422715e-08,7.060201568835163e-09
400,2.7365958002087253e-08,3.637893578116183e-07,6.506093283771788e-08,7.306869025414308e-09
500,2.7847891032110543e-08,3.6458347033263184e-07,6.448270276479309e-08,9.782820702259543e-09
600,2.9351714720681977e-08,3.627669682131224e-07,6.130134018488965e-08,1.0748264140856516e-08
700,3.050331016899641e-08,3.606270374066433e-07,5.992778548329628e-08,1.209841341566676e-08
800,3.0199320876017436e-08,3.594850107873484e-07,5.8204282228702496e-08,1.3140691172359862e-08
900,3.144260206227908e-08,3.594224519177682e-07,5.678012266254454e-08,1.2348836541696875e-08
1000,3.3833236717254144e-08,3.566847164690929e-07,5.834239567832741e-08,1.5873099657497918e-08
1100,3.414228177222566e-08,3.5413443327515214e-07,5.568159519128429e-08,1.7764845717046683e-08
1200,3.386159861911543e-08,3.5360444815836433e-07,5.496918152749055e-08,1.887956289535587e-08
1300,3.45517532962073e-08,3.5190785829586304e-07,5.175112188625299e-08,1.9892579410603714e-08
1400,3.740354140188333e-08,3.5312340868859533e-07,5.0160995905422624e-08,2.2310821102116462e-08
1500,3.737115728933985e-08,3.493451132199431e-07,4.924664914858608e-08,2.2282712085673898e-08
1600,3.659855166248317e-08,3.479844698427054e-07,4.9362443297666966e-08,2.460876094314386e-08
1700,3.855017064288664e-08,3.4723095509360666e-07,4.976201141013728e-08,2.4037212407038308e-08
1800,3.875484064140497e-08,3.4568048255974617e-07,4.759862666161075e-08,2.5236125581394593e-08
1900,4.131424498732889e-08,3.4622830066633395e-07,4.717743805378699e-08,2.903441867449335e-08
2000,3.996258282896744e-08,3.445092611410937e-07,4.5733041216067034e-08,2.829968396818809e-08
2100,4.285000369884525e-08,3.434320332754942e-07,4.3682162346710165e-08,2.895508969050196e-08
2200,4.147968199717598e-08,3.416881188887257e-07,4.0277517906400295e-08,3.0724131751740586e-08
2300,4.2467704906501197e-08,3.397623513758906e-07,4.217210793728425e-08,3.5478232092594104e-08
2400,4.269164921999619e-08,3.3925804441337064e-07,3.994376059855129e-08,3.4559514771072935e-08
2500,4.390741077897162e-08,3.398425335382154e-07,3.718828676457606e-08,3.756788188238476e-08
2600,4.454985172095332e-08,3.378437420615372e-07,3.754821740465182e-08,3.922000145532943e-08
2700,4.5006076956094875e-08,3.3613047644860846e-07,3.564927589396183e-08,3.856070188200743e-08
2800,4.637054904902386e-08,3.337727932938672e-07,3.438500050323707e-08,4.255423750406981e-08
2900,4.779591133074143e-08,3.3203011145898245e-07,3.17117810876772e-08,4.1330295323020784e-08
3000,4.855724602367998e-08,3.318775549652902e-07,3.196071191174126e-08,4.245487205398969e-08
3100,4.9727444711059226e-08,3.300567958041622e-07,3.2341081463694126e-08,4.6239321157780216e-08
3200,5.1190580395151177e-08,3.293603907310869e-07,3.1232917784195506e-08,4.684206103691421e-08
3300,5.190730928145292e-08,3.274597869367905e-07,2.809683622788485e-08,4.938362454814558e-08
3400,5.225905419991761e-08,3.2661783658864765e-07,2.764753793002496e-08,5.019523392033106e-08
3500,5.381400654167138e-08,3.2699283075773676e-07,2.565914509286807e-08,5.077432360642338e-08
3600,5.33874532086176e-08,3.2385228336837426e-07,2.5022459954239235e-08,5.3558932747999504e-08
3700,5.37235532580116e-08,3.247672182832738e-07,2.204784652368328e-08,5.369544625785099e-08
3800,5.367515571330506e-08,3.2258669419593217e-07,2.0959747457114988e-08,5.532102146761635e-08
3900,5.603552881134564e-08,3.2244568296278676e-07,2.1644149665424666e-08,5.7378562234637245e-08
4000,5.653664278967995e-08,3.2545215200015677e-07,2.2686757395367923e-08,5.615052306011643e-08
4100,5.657400211133743e-08,3.2370922916364405e-07,2.4642750074288936e-08,5.705464213791809e-08
4200,5.727237203820277e-08,3.256313585428518e-07,2.5370377628888842e-08,5.911671116148551e-08
4300,5.8520545802830026e-08,3.2865916217880374e-07,2.85708508396024e-08,5.919054617391637e-08
4400,6.009196462386766e-08,3.286216897113347e-07,2.873538104829803e-08,6.08272544985868e-08
4500,6.028604426312311e-08,3.288505184264801e-07,2.9093337451961692e-08,6.191055092942105e-08
4600,6.045041846840506e-08,3.3169330082645823e-07,2.997447061107143e-08,6.461039573778129e-08
4700,6.2266151608298e-08,3.3157716561605463e-07,3.145302234418743e-08,6.547099079875134e-08
4800,6.231836437958254e-08,3.3253510451877254e-07,3.472629562729119e-08,6.705527256257585e-08
4900,6.432800302939452e-08,3.3332023638774715e-07,3.546209451506307e-08,6.665811217726071e-08
5000,6.463982003112893e-08,3.371606664985885e-07,3.545760680580125e-08,7.015480504769949e-08
