miliseconds,EpoRJAK2,EpoRpJAK2,p1EpoRpJAK2,p2EpoRpJAK2,p12EpoRpJAK2,EpoRJAK2_CIS,SHP1,SHP1Act,STAT5,pSTAT5,npSTAT5,CISnRNA1,CISnRNA2,CISnRNA3,CISnRNA4,CISnRNA5,CISRNA,CIS,SOCS3nRNA1,SOCS3nRNA2,SOCS3nRNA3,SOCS3nRNA4,SOCS3nRNA5,SOCS3RNA,SOCS3,Epo
0,3.9860234239450882,-0.0011779422826061856,0.00028781167401244624,-0.004384240069692085,0.006175854412810373,0.0,26.72506054848133,-0.00018381672988028474,79.75813814059184,-0.3146716303530186,-0.010425904305873689,0.1692898313458751,0.01405092829031236,0.00012670701123157222,0.00011056667532678179,5.815322704772043e-06,-1.4090378794577103e-09,-1.3034518025068524e-09,-3.5323022668018585e-07,7.742186594598962e-07,1.9415641491677536e-07,-6.957346616768543e-08,-5.808966676643261e-08,1.549733699552158e-08,-2.573037429613007e-06,1.24997e-07
100,3.948051801600925,0.02774131357218406,0.0012191203113229617,0.004599274177066106,0.004735291452144852,0.0,26.7249026295803,5.119252306482702e-05,79.1410568210274,0.3030114521537368,-0.0020616202823714913,-0.26139788881828496,-0.015359021126646919,-0.0009233674339495794,-0.0001066739866363046,-4.408003664704682e-06,-1.1371472078625818e-09,-1.567376737780003e-09,-7.141671249217236e-07,-4.7625893332878113e-07,-1.938883317852349e-07,1.326426995760568e-07,-6.281094158226932e-08,-1.154158142236351e-08,-2.7527686591288024e-06,1.24997e-07
200,3.9218171760768556,0.05682253769175793,0.002446749217009591,-0.0005772901873277196,-0.004264745997327136,0.0,26.72513999691996,0.00010919480506998099,79.32153589812134,0.5862228343732117,0.028402575725614086,0.06359319332748493,-0.023770926167487785,0.0028228761868527553,4.78305815016675e-05,-1.1440843880661995e-05,2.705812322337787e-11,2.019085664306809e-09,-9.346815610653288e-07,2.8287214920732185e-07,-1.1665789326313881e-07,-5.3992205384013074e-08,3.725750514732106e-09,-1.548985790592278e-08,3.263862229062566e-07,1.24997e-07
300,3.898693312256504,0.0818255224848809,0.0023069507911089313,0.011912231512888866,0.006575859323765488,0.0,26.725184378139048,-2.4684286508217415e-05,80.12670803136103,-0.3067713960831165,-0.028484403025834007,0.12702020122671018,0.011133470916050183,0.001897738558198246,-0.00022165891773834705,-4.6284110930477675e-06,3.835638660159865e-10,8.583841683037656e-10,-1.468224685502991e-06,-2.0125072500720406e-07,-2.0771869263465466e-07,1.1221002173378759e-07,5.57714745159583e-08,-2.1557877889777632e-08,-2.505105590438539e-06,1.24997e-07
400,3.8418416332617302,0.10290809560895096,0.006204535220120147,0.010257366098479433,0.006350926598930915,0.0,26.725071771589114,6.953938558818039e-06,80.34345819034569,-0.34775718374317094,-0.018705877967831942,-0.15685567418762345,-0.02506543130317962,-0.0011933503274205398,0.000113719531692337,1.5519762693316464e-05,-1.1220882948066378e-09,-1.829550713181863e-12,7.868845079993864e-08,7.498391399124454e-07,-1.160082986281866e-07,1.1304183549862647e-07,-1.625535333524424e-11,-1.0354749238240385e-08,8.869858693032634e-08,1.24997e-07
500,3.818075351111815,0.12160684417027644,0.007222658229815195,0.0244860829714667,-0.0016079684998404672,0.0,26.72504256457151,0.00020591937158510304,80.38265026820794,0.1309649103946047,0.01772753713837979,-0.3145458513788082,-0.020704300565966394,0.000721117659309238,0.00012488067248342928,1.607721596192387e-05,9.735699589518987e-10,1.6883351688920989e-09,7.03658325384263e-07,-2.7057951835151097e-08,1.0897113119590325e-07,1.3274541242659226e-07,-3.9445708100135826e-08,-5.224606452016251e-11,-2.378925102311152e-06,1.24997e-07
600,3.7925134068617554,0.13378241098318322,0.011242739336437367,0.031797358405087406,0.00902760053943966,0.0,26.725052156170552,0.00045354571781906165,79.87511799103297,0.415583889842276,0.008563014813972574,0.2049763189175386,0.008229287136645473,-0.0018125017981691419,-5.481843037027413e-06,5.59352863607976e-06,9.736351621940595e-10,3.7252193984390857e-10,-3.7233926941872587e-07,1.598807396159343e-07,4.476562272854216e-08,2.818711196177671e-08,-1.135646047779026e-08,-1.49034544236531e-08,-3.230020903473318e-06,1.24997e-07
700,3.7479867452012385,0.1499459580298889,0.0136572042709372,0.04710072984046767,0.002333060934234994,0.0,26.72484676922626,0.0005896020889330183,79.20283324558518,-0.21552975113160489,-0.004893748397828204,-0.10480477497036271,0.02498047515930329,-0.0028631831090460366,7.350518620706196e-05,-2.067414777961801e-06,3.0414599239054486e-11,-2.813024937701994e-09,1.0842495780661862e-07,-7.791728048118725e-07,2.765506615734166e-07,2.4356529077525965e-09,-3.493005221736319e-08,-2.387310296276639e-09,7.485578173070988e-07,1.24997e-07
800,3.739239585150417,0.1620756416924801,0.015168034475827721,0.05887684413055638,0.00660939595995859,0.0,26.724648376710036,0.0009312653638301898,79.50312890629218,0.6159176431222751,-0.011091888440768432,-0.26215508227830187,0.02839721306803886,0.0006446937852009142,-3.024712921233386e-05,-1.5910586813311324e-05,8.500958054817194e-10,-4.676715433022081e-10,1.1418580537650078e-06,-6.858444255134875e-07,-1.2147772734524937e-07,-3.250440957950411e-08,3.236205158335342e-08,-1.1630151732448163e-09,-2.615986829747749e-07,1.24997e-07
900,3.6960202287413577,0.17192879699773606,0.018633594964744846,0.06515016289570168,0.006304191204005783,0.0,26.724097120567663,0.0008359279132762694,80.14347276723109,0.22876745651512653,-0.017447181848619785,-0.24706489778310298,0.02038678290890401,0.0016305989395323638,-3.207540040787703e-05,4.918146893440118e-06,5.813994324188091e-10,-8.360657692169655e-10,-3.5663557911351374e-07,4.1711513679969614e-07,-6.944392143308954e-08,-5.8773813497684476e-08,-4.2719138225786905e-09,8.592822190919234e-09,-2.173450025227568e-06,1.24997e-07
