milliseconds,ERKc,pERKc,ppERKc,ERK_ppMEKc,pERK_ppMEKc,DUSPc,pERK_DUSPc,ppERK_DUSPc,ERKn,pERKn,ppERKn,pERK_DUSPn,ppERK_DUSPn,STYXn,ERK_STYXn,pERK_STYXn,ppERK_STYXn,duspn,DUSPn,u_ppMEKc_tot,ppMEKc_tot,ERKc_obs,pERKc_obs,ppERKc_obs,ERK_ppMEKc_obs
0,572.5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1630.9,0.0,0.0,0.0,0.0,3000.0,0.0,0.0,0.0,1.0,10.0,1.0,100.0,572.5,0.0,0.0,0.0
100,446.02429151407546,42.71065994303581,1.4279511000971488,51.136010555519256,4.427184767886903,78.64053539089309,19.971342389277126,1.3881222198309582,67.41771374257614,0.07118012631481094,0.008050241938958782,0.0032332702631749774,0.0006338779127721505,1413.4663964425795,1585.1431597290532,1.2635219087874365,0.12692191955786922,1.0244850612782859,10.051550409590282,1.0,100.0,446.02429151407546,42.71065994303581,1.4279511000971488,51.136010555519256
200,385.1110005376333,80.07265640217673,5.874720235405447,45.324226550407076,8.793980101575722,63.44932361987223,31.1930224496524,5.35765393047588,69.11590687446785,0.24253616086703125,0.05497373908734777,0.011526653073682584,0.0048725277574354475,1392.5008368412891,1601.6258471279175,4.855324773503561,1.0179912572634446,1.0488010282326632,10.096069594374905,1.0,100.0,385.1110005376333,80.07265640217673,5.874720235405447,45.324226550407076
300,332.17464820687945,110.62312010047634,13.625138808992848,40.05811316092843,12.69546615596153,52.83332828916464,36.249582972822054,10.917088738000821,70.71648267139322,0.5020698224200888,0.17943375004787482,0.024302103522812264,0.01666690203407184,1371.5051764106945,1614.5780589262827,10.410160942644318,3.5066037204013103,1.0729490758010864,10.130186222777995,1.0,100.0,332.17464820687945,110.62312010047634,13.625138808992848,40.05811316092843
400,286.0989792863423,133.85659586836368,24.517214188429417,35.378418820068575,15.98530032387876,45.11943774611069,37.63768390563906,17.242878348236985,72.27791633911815,0.8359101210007963,0.4216366877300101,0.04086006200251351,0.0401770662657726,1349.6439843513485,1624.422081374096,17.512937855870355,8.420996418729512,1.0969304032148803,10.150446771152788,1.0,100.0,286.0989792863423,133.85659586836368,24.517214188429417,35.378418820068575
500,245.94625550475172,150.10016494574046,38.09034981744639,31.251462330915757,18.630569737623187,39.347399705697384,36.90322021873219,23.74938007556041,73.8544979837264,1.2312807548755065,0.8197680055019286,0.060494483411921166,0.07931229975117055,1326.2413465861682,1631.5120625850657,25.765276230166283,16.48131459864568,1.1207462981521752,10.153660224530809,1.0,100.0,245.94625550475172,150.10016494574046,38.09034981744639,31.251462330915757
600,210.93958103650675,160.07421179964095,53.723870390142245,27.61575502053263,20.653616647715427,34.93606723614843,34.99970027319412,30.064232490647562,75.49513588275754,1.6779214093708839,1.4082283520233179,0.08256982420331828,0.13743630388128342,1300.795426312728,1636.1464138553724,34.818434044748045,28.239725787196925,1.1443982541753859,10.137115307214732,1.0,100.0,210.93958103650675,160.07421179964095,53.723870390142245,27.61575502053263
700,180.43602523525973,164.6578503756454,70.73828039123008,24.405445278765498,22.100394935182386,31.51405383007462,32.50948108891668,35.9764650809989,77.24285779205317,2.168607790186869,2.217114985638779,0.10655607304967554,0.21720444138260725,1272.9819130953558,1638.5783978490986,44.385802092606106,44.05388696298415,1.167888148920813,10.098707386255832,1.0,100.0,180.43602523525973,164.6578503756454,70.73828039123008,24.405445278765498
800,153.89973687870224,164.76455091837434,88.4626258197914,21.56055863752757,23.024758204287277,28.832044065855513,29.78312305383218,41.38483288030248,79.13482641792473,2.699186199768957,3.272413278653916,0.1320397946902139,0.32049379214485274,1242.6470286162696,1639.0246470740938,54.24464966810857,64.08367464157253,1.191218483976934,10.036996420043014,1.0,100.0,153.89973687870224,164.76455091837434,88.4626258197914,21.56055863752757
900,130.87822850028974,161.27757344305786,106.27607364146984,19.030596039090472,23.481830223925897,26.71660895531359,27.027333622337363,46.25605742233925,81.2026128330386,3.2683756702723916,4.596487897464311,0.15872168023998479,0.44839157264412094,1209.7929138308893,1637.6718481741586,64.2323429758786,88.30289501911818,1.2143926827359337,9.95122000449157,1.0,100.0,130.87822850028974,161.27757344305786,106.27607364146984,19.030596039090472
