milliseconds,Tumor_Cell_Population__T,Effector_immune_cell_population__N,Circulating_lymphocyte_population__C,Chemotherapeutic_drug_concentration__M
0,10000000.0,300000.0,62500000000.0,0.45
100,10069955.082439566,292395.36570801586,60830765000.01217,0.4529164861697978
200,10138155.718694836,284965.5947710313,59198135875.31573,0.45556507964745946
300,10204762.417496134,277712.62204511743,57602586532.65679,0.45796883377379927
400,10269920.455795389,270637.1264498379,56044320316.74192,0.4601483349234165
500,10333777.281776497,263739.1676384502,54523412576.84522,0.46212420724314934
600,10396467.92032569,257018.17500215833,53039802287.92158,0.46391509568025485
700,10458113.479084227,250472.93419497137,51593288487.46724,0.4655374650796085
800,10518827.06801448,244101.8756141237,50183592835.89805,0.46700654859565943
900,10578712.661603784,237903.03234010466,48810350377.931076,0.4683361868624512
1000,10637865.517781168,231874.0720430363,47473116161.20916,0.4695388910707068
1100,10696373.120497232,226012.3811279313,46171383230.675644,0.4706260206922992
1200,10754316.643291518,220315.1767546767,44904606538.447334,0.4716080347862656
1300,10811768.906901537,214779.35642018166,43672170769.83536,0.47249414180476607
1400,10868799.358306332,209401.84192750146,42473463861.87575,0.4732931222549189
1500,10925468.945187004,204179.22258742867,41307800764.65913,0.47401248044581906
1600,10981836.671936922,199108.19985053453,40174518362.91247,0.47465950689607045
1700,11037954.678083414,194185.25712105728,39072905010.863785,0.47524048744864067
1800,11093872.687102119,189406.97715230728,38002268479.77105,0.4757614437690143
1900,11149635.270678775,184769.83937651623,36961892492.637924,0.47622766778358355
2000,11205284.545416338,180270.3717945128,35951069376.14462,0.47664413149887
2100,11260858.449550854,175905.07020873242,34969082667.8008,0.4770152419314382
2200,11316392.683054846,171670.4738050235,34015223525.60795,0.4773451080743702
2300,11371919.436902262,167563.11947580017,33088780767.835087,0.47763736802176665
2400,11427469.02848322,163579.602823592,32189054231.972897,0.4778954189669888
2500,11483068.81953784,159716.53713701124,31315345778.515537,0.47812226307121153
2600,11538744.616454972,155970.60529522286,30466970712.33915,0.4783207084177098
2700,11594519.78572093,152338.52728328793,29643250624.326344,0.47849324169150237
2800,11650416.363771262,148817.09452286415,28843521031.56013,0.47864218358387023
2900,11706454.404072009,145403.15136694975,28067127235.112446,0.4787695984726253
3000,11762652.799916675,142093.61216668118,27313428242.138973,0.47887740431291353
3100,11819028.835910711,138885.45382696638,26581795013.636806,0.4789673138879685
3200,11875598.787381494,135775.72252935445,25871612151.256626,0.4790409122622851
3300,11932377.61802664,132761.53162427025,25182277308.70112,0.479099618242941
3400,11989379.423875134,129840.06375329677,24513201869.47531,0.4791447414356835
3500,12046617.229079448,127008.57066403795,23863810793.708996,0.47917745610511275
3600,12104103.318064924,124264.37298841248,23233542765.206573,0.4791988438679926
3700,12161849.102115227,121604.86101789387,22621850269.883987,0.4792098766149378
3800,12219865.363371568,119027.49269202951,22028199329.15313,0.4792114474064772
3900,12278162.176726956,116529.79507503638,21452069753.86429,0.4792043607874663
4000,12336749.082149737,114109.36109476667,20892954581.394836,0.4791893539914491
4100,12395635.049432637,111763.85127237326,20350360406.562775,0.47916709291974563
4200,12454828.684452193,109490.9877527276,19823806276.28363,0.4791381960213909
4300,12514338.124431882,107288.55793759912,19312824375.502125,0.47910322252517623
4400,12574170.807919417,105154.41812276184,18816960638.919395,0.4790626443443941
4500,12634334.213609159,103086.47802528794,18335772096.056774,0.47901694058311434
4600,12694835.337132277,101082.71198147091,17868828791.167137,0.47896653006225687
4700,12755680.515171146,99141.1627398016,17415714433.37287,0.4789117485720107
4800,12816876.323021233,97259.91522264322,16976021513.738926,0.47885295159475655
4900,12878429.09191733,95437.11148103797,16549354134.890152,0.47879046149376625
5000,12940344.636133146,93670.95987773627,16135329781.840689,0.4787245394392276
