milliseconds,IL1b,IL1Ra,Anakinra,Proinsulin,Insulin,TigB,B,f,Anakinrasc,Glucose,a1c1,rbc1,a1c2,rbc2,a1c3,rbc3,a1c4,rbc4,a1c5,rbc5,a1c6,rbc6,a1c7,rbc7,a1c8,rbc8,a1c9,rbc9,a1c10,rbc10,a1c11,rbc11,a1c12,rbc12
0,5.0386308510035915,40.0,0.0,43.000109152067914,99.99012448568443,0.185818008619373,39.99984551583725,0.042753381998070404,0.0,10.799999686317841,0.12299604780982451,8.627003803811352,0.24426332828122663,8.50573601369736,0.36382612622489163,8.386172557972227,0.48170852066918846,8.268289862262652,0.5979341125841757,8.152064458783638,0.7125261151763223,8.037472834170744,0.8255074641883959,7.924491927617557,0.9369007464282746,7.81309932722746,1.0467281481750899,7.703272765004894,1.155011803190439,7.594989610318137,1.2617736626188303,7.488227747448444,1.367035041739098,7.382965960830898
100,4.922773613822771,40.0,0.0,42.99943483502877,99.97592427128085,0.18680913531826218,39.99922079032601,0.042761821120129585,0.0,10.799990647115505,0.12299607181085423,8.627003786188999,0.24426334424562252,8.505736019187527,0.36382612919949475,8.386172555646102,0.481708520533165,8.268289859055141,0.5979341227352775,8.15206446087454,0.712526119976877,8.037472817304161,0.8255074538916283,7.924491922967725,0.9369007356921389,7.813099316668642,1.046728146112966,7.703272749638375,1.1550117854532749,7.5949896036402285,1.2617736288879053,7.488227728045975,1.3670350641319458,7.38296598471949
200,4.808368094163407,40.0,0.0,42.99912153362887,100.0109608783224,0.18566981904037824,39.99777333072471,0.04274925935493559,0.0,10.799996982739557,0.12299609059581178,8.62700376531723,0.2442633597945111,8.505736001649788,0.3638261494812728,8.38617254781375,0.4817085334733214,8.268289856782154,0.597934122854458,8.152064456699035,0.7125261118320916,8.037472816227748,0.8255074567035632,7.924491907474399,0.9369007408937138,7.813099319081346,1.0467281526745205,7.703272732461849,1.1550117976630856,7.594989595965945,1.2617736549700254,7.488227708587851,1.3670350181532414,7.382965986400837
300,4.771750060034903,40.0,0.0,43.00005704983332,100.04632124653693,0.185429743830237,39.99762620179109,0.04272979676596681,0.0,10.80000258523204,0.12299610118889792,8.627003755547172,0.2442633607643905,8.505736000268437,0.3638261564094911,8.38617255122857,0.48170853731869784,8.268289863965135,0.5979341307402691,8.152064450582097,0.7125261142780782,8.037472814777702,0.8255074667380619,7.924491908689067,0.9369007369588142,7.8130993081460325,1.0467281314044454,7.703272728879842,1.1550117877833865,7.594989598635272,1.2617736609020416,7.488227740925629,1.3670350326698062,7.3829660007477385
400,4.545273840445716,40.0,0.0,43.000212464310174,100.02874009936103,0.18657729256354474,39.99622400803727,0.04271801558902917,0.0,10.799999162625548,0.12299611671637867,8.627003754031207,0.24426338750006746,8.50573600219838,0.3638261624026543,8.386172540041459,0.4817085439865779,8.268289853608831,0.5979341226325351,8.152064435893523,0.7125261168960083,8.037472805951026,0.8255074424822335,7.924491903634762,0.9369007400259238,7.813099294345821,1.0467281318416983,7.703272726483435,1.1550117906955637,7.594989593447936,1.2617736255115009,7.488227757256378,1.3670350404480112,7.382966003913823
500,4.4782550471194735,40.0,0.0,43.00079031162251,99.9935324691698,0.18618810549872714,39.995964956426306,0.042721228919710745,0.0,10.800008244076116,0.12299611455829362,8.62700374258594,0.24426338641014103,8.505735991197081,0.3638261844539175,8.386172533588011,0.4817085510861239,8.268289838691606,0.5979341400675566,8.152064436224927,0.7125261285419426,8.037472802079117,0.8255074595680882,7.924491890974085,0.936900725187324,7.813099295207558,1.0467281398583126,7.703272703406066,1.15501177446247,7.594989579942002,1.2617736163553015,7.488227726018515,1.367035000250996,7.382966010861235
600,4.518559507940972,40.0,0.0,43.00052772248968,100.02089459231433,0.1872305013191408,39.994525816746126,0.042718894567381205,0.0,10.80000017738764,0.12299613276461381,8.627003719300092,0.24426340229089658,8.505735978014055,0.36382618230458685,8.386172546638496,0.4817085545933073,8.268289844257419,0.5979341386104557,8.15206442793247,0.7125261373910711,8.037472793129872,0.8255074622595933,7.924491894033107,0.9369007340191039,7.81309927856798,1.0467281278302083,7.703272700427671,1.1550117880869784,7.594989590077473,1.2617736340253491,7.488227760752094,1.3670350126882205,7.382966023440029
700,4.348049904348182,40.0,0.0,42.999760272449564,100.00346809666655,0.187318463585852,39.99364099077017,0.04276385405017864,0.0,10.799989249434423,0.12299615588777711,8.627003720125288,0.24426341794974693,8.505735972267704,0.3638261991340846,8.386172532372424,0.48170857080791357,8.26828984102465,0.5979341352558892,8.15206441662711,0.7125261371139466,8.037472785204345,0.825507461416469,7.924491886659573,0.9369007481632595,7.813099274867459,1.0467281484285405,7.703272690308705,1.1550117826320854,7.5949895840846295,1.2617736135776263,7.4882277498836665,1.3670349694557629,7.382966052037246
800,4.27718147395082,40.0,0.0,43.000822345889,100.022381793917,0.18636657525803502,39.99306075407532,0.04271358268561252,0.0,10.79999169878769,0.12299616165545103,8.627003693180333,0.24426342769313322,8.505735960107133,0.3638262070830265,8.386172543907916,0.48170856681459656,8.268289832898104,0.5979341447289066,8.152064409257779,0.7125261333138001,8.037472772690176,0.8255074553417713,7.924491885312739,0.9369007228769656,7.813099262042676,1.0467281309806609,7.703272674811502,1.1550117828885251,7.594989577153234,1.2617736054673523,7.488227737161832,1.3670349834921691,7.382966091116942
900,4.122977434945366,40.0,0.0,43.00114028694511,100.02845381310041,0.18789982493384863,39.99240989401062,0.042743234022565746,0.0,10.800000215565808,0.12299616770927094,8.627003693864598,0.24426344540087525,8.50573596368135,0.36382621373669916,8.38617252097203,0.4817085778628928,8.268289843780378,0.5979341418922414,8.152064406307472,0.7125261314845911,8.037472766653563,0.8255074668931549,7.924491876212415,0.9369007262294352,7.81309925915814,1.0467281438459783,7.703272666930138,1.1550117887505924,7.594989573087646,1.2617736252372656,7.488227765217322,1.3670349644862672,7.382966064538987
1000,4.193314198523996,40.0,0.0,42.99960977483101,100.07338470559301,0.18660371416100013,39.99151811632085,0.042720414784836055,0.0,10.799993841741966,0.12299618035047288,8.627003676276358,0.24426344848643186,8.50573594569999,0.3638262300324658,8.386172533708171,0.48170859349595313,8.268289826541704,0.5979341568106933,8.152064396176996,0.7125261431091208,8.03747276006456,0.8255074452769209,7.924491869589883,0.9369007216470511,7.813099251689524,1.0467281501132382,7.703272658226939,1.155011777379219,7.594989560361279,1.261773621805487,7.488227767422136,1.3670349857942572,7.382966091029016
1100,4.027661671994177,40.0,0.0,42.99976961590418,100.00652193400066,0.1869145475061461,39.9913074209874,0.042675859765028884,0.0,10.800003018896291,0.12299619498347703,8.627003673351606,0.24426347543701102,8.505735949379176,0.36382624592920626,8.386172524685872,0.4817085955070044,8.268289830915295,0.5979341671864258,8.152064402663893,0.7125261392739587,8.03747276597978,0.82550744671205,7.9244918685492,0.9369007458279922,7.8130992554510765,1.0467281498727679,7.703272643893002,1.155011768540239,7.594989561684923,1.2617735879584955,7.48822779047882,1.3670349530352977,7.382966064187392
1200,3.884522271596927,40.0,0.0,43.00005665706968,100.07149929199349,0.18840942283347603,39.9903241568798,0.042653958227718336,0.0,10.799997078058382,0.12299620848906924,8.627003664371351,0.2442634722847444,8.505735937305023,0.36382625247651196,8.38617253552633,0.4817086051069732,8.268289833483507,0.597934162472178,8.152064389333468,0.7125261406480508,8.03747275351287,0.8255074716475506,7.92449185686254,0.9369007208028303,7.813099244691148,1.0467281345806883,7.703272638656051,1.1550117795974157,7.594989541233343,1.2617736153463086,7.488227800185746,1.3670349434322504,7.382966121458955
1300,3.8686991398852397,40.0,0.0,43.00108654530578,100.05481501984352,0.18886284812020818,39.990205702964204,0.04265285885038184,0.0,10.80000173221643,0.12299623135369854,8.627003644209816,0.24426348220470728,8.505735929576813,0.36382626330162976,8.386172529184602,0.4817086145665662,8.268289813247348,0.5979341617212792,8.152064390082655,0.7125261534414086,8.037472742220016,0.8255074592433927,7.924491855051202,0.9369007272746989,7.81309922838092,1.046728127166338,7.7032726331375985,1.155011768252196,7.594989537368126,1.2617735801502559,7.488227807474651,1.3670349500781753,7.382966112538072
