miliseconds,T,H1,H2,M1,M2
0,104628.06212971933,2203686.0205044392,-0.2611324306783497,2268.609777027845,-240.15090256229797
100,99800.4252798516,709266.3873557135,0.2208999670269689,1778.5529493954193,8.882229967697041
200,111184.02846226984,109249.14148287474,0.006693421527585564,-2578.692749518563,327.9680427272916
300,121618.54727916332,-353339.57951447845,-0.2518623955856325,-3251.36317772827,21.755869971930352
400,129493.27158603042,724180.0031078018,0.15792661955284598,-658.2207862401939,158.58590884807657
500,132562.36215970584,2357616.5067922296,-0.2025908226736282,1734.7848163767135,239.21361726278786
600,149113.34185658972,-909396.4128940246,-0.14114132243263985,-3208.724433381308,-103.3287524158286
700,161471.7069902283,-1845271.184998425,-0.2598486687018063,888.8589528671059,-66.87326767946459
800,181225.50837861907,-1083020.3650713586,0.05315678160169861,-2539.830891228697,-335.0098241919641
900,186248.5093195093,169124.24030870423,-0.19492167618713466,3801.4932657796708,91.30392651862613
1000,200952.67701988653,2440171.89035472,0.26046792026209015,2961.604412465734,-169.15265658607655
1100,215499.30300467886,2134819.4588890327,0.25989963196631516,1002.4813779286612,24.229452112568453
1200,230064.32545496465,1279518.133395418,0.0687279062275559,-4119.323889740565,211.08006106193855
1300,245454.5623624631,2233295.0435924,-0.07084548759069921,-2309.7623711688693,-17.33365455615954
1400,262702.40617348306,-452864.4314357358,0.12587228367450526,-4425.814453596006,-205.69232703275696
1500,280147.4029819101,1554599.6158840915,0.1616826275865643,380.6712972536316,113.76892886377942
1600,304613.2412878715,1517824.468131707,0.21285150314320972,-3205.530143397395,-74.20825897303465
1700,317587.28611195437,-1332971.9317909842,-0.17963948983837089,-452.16453759755836,-117.780287878939
1800,339658.04239038617,593515.9907703379,-0.007085288476825843,2195.3040981604754,-105.86177095948723
1900,363345.10853553476,3813854.96832899,-0.07949330259380707,-2368.726442769109,-254.09841020599703
2000,380110.0030975116,99871812.07323334,-0.038386616729473626,4384.433800208342,-47.83887693037339
2100,400028.49622540444,100878946.59807795,-0.16615743543040862,10457.396213831895,-118.30268049969685
2200,399640.07728935557,97649308.21736337,-0.13140127978426233,21725.685300784946,219.50723113097905
2300,421562.6257550899,101568979.88053757,-0.0796233296860068,35125.73957389112,166.18331019706278
2400,417744.5482137776,101120665.5759838,-0.027882643652796385,42176.85128904779,367.9272707377552
2500,423306.2160371166,101552953.65388466,0.046135284229754034,55274.165109188834,839.2019298474635
2600,443211.4111968089,98771050.37725012,0.5056027291611446,58426.13083091278,1217.2071792233583
2700,449211.5866543759,101082156.62811907,0.4551200317096644,70512.2540938764,1152.4930647229853
2800,451367.06910954294,102095349.81775017,0.37661287234511587,85458.10356115655,1585.1054467781569
2900,464390.4066879442,100707121.37349667,0.43018931647025654,94502.64677369279,2144.469403847022
3000,478819.0414219862,98673252.39550392,0.9641495322571036,95582.98891985592,2892.4568035253983
3100,487377.08822038374,98617363.11458863,1.4866888909334333,113214.40701908313,3336.7325393471638
3200,491719.3316253563,101939965.92580876,1.5172258779150898,118935.75654345137,3505.9516121472607
3300,510733.00049382314,98686698.92467871,1.9751078408983314,124204.1475776894,4343.111614343382
3400,517723.1782846999,100469708.36494653,2.3200004645022516,136796.82993792556,5022.282745133014
3500,526796.007755398,98098999.3268455,2.6630851897863597,143901.08468788958,5897.102460249066
3600,538603.6271134947,101157512.85410412,3.5687452173843797,148562.04471180274,6258.813578946515
3700,554118.8546594217,99564799.31295858,3.8124525365832866,157161.95071599085,7487.287924060984
3800,568977.0216344151,102212080.038395,4.702452367357154,166694.9992865824,8263.322209350725
3900,576315.4762841299,100203603.87109186,5.532126976256487,178755.38411560678,9136.721098833828
4000,599319.7633932187,102236644.32173221,6.704642836793197,189021.97151409625,10175.955337025318
4100,597332.5036652405,99409928.75599639,7.588067668588808,189049.01715927295,10747.080572735136
4200,607854.8783903221,100094033.54425995,8.68401494444027,204346.54005911178,11719.405924054101
4300,619852.3030906005,100910736.18441465,9.870458681961797,213354.26291540923,13574.045524648116
4400,646556.7539132241,100667951.73094267,11.01717158364888,216701.16500641571,14737.310575836284
4500,648252.7396041511,98097901.63695593,12.733598572744501,221318.58816844915,15830.279671183907
4600,667335.2802577567,99665095.38758609,14.086353690527389,228454.08309539556,17314.11276067023
4700,691178.1499939391,102140935.42220673,15.793936180595994,240136.86420662527,18969.77495564247
4800,695371.0954420856,97606494.85312778,17.741270451202443,245173.51860308435,20932.21284756666
4900,706085.2852250419,97873503.88723074,19.623963803772437,249832.1608829606,22732.918899691496
5000,719501.3903617852,99741308.69367358,21.894395541564098,262197.81916177407,25222.715178733808
