milliseconds,T,N,D,L
0,100.0,1.0,1.0,1.0
100,104.38043819603837,1298.318747727164,49.077226447149116,3.5710148003229465
200,108.90334225320673,2590.289553645083,97.27203315934347,11.376688603243256
300,113.57089963897012,3876.921885458891,145.53949424481084,24.861081368393176
400,118.3852165803505,5158.225229827875,193.8349885619788,44.479926036305834
500,123.34831227042712,6434.209111962472,242.11428760925432,70.69425745507188
600,128.462112615669,7704.88311907438,290.33364652639483,103.95982849665029
700,133.72844445471065,8970.256921072512,338.44988504716827,144.7124899189084
800,139.14902978316118,10230.340290911496,386.42046584331183,193.34845819031193
900,144.725479803594,11485.143124849319,434.2035731460906,250.19886862515813
1000,150.45928920655737,12734.675461362845,481.75818561764515,315.4989153443638
1100,156.35183055074614,13978.947499324666,529.0441459815519,389.3522049775126
1200,162.40434879685523,15217.969615249196,576.022226873513,471.69210913574886
1300,168.61795606448115,16451.75237951564,622.6541923602975,562.2434078350202
1400,174.9936263809989,17680.306572651665,668.9028598093023,660.4873785672753
1500,181.5321910566804,18903.64319894726,714.7321504728902,765.637569952096
1600,188.23433421296374,20121.77349959603,760.1071381649548,876.6320427291607
1700,195.10058844941733,21334.70896532775,804.9940958420284,992.1469765023594
1800,202.1313306825753,22542.461348186567,849.3605385970636,1110.6316795371913
1900,209.32677839032368,23745.042671482974,893.1752590148645,1230.3856673088555
2000,216.6869858771621,24942.465239041263,936.408359485694,1349.6453442228933
2100,224.21184053932083,26134.74164355047,979.0312806618947,1466.683081813482
2200,231.90105918385206,27321.884773741098,1021.0168249178131,1579.9144001241127
2300,239.75418434917552,28503.90782051756,1062.3391753303524,1687.9947766725966
2400,247.77058056460527,29680.824282096673,1102.9739103635413,1789.8895191475485
2500,255.949430592414,30852.647968192512,1142.8980144634959,1884.9102868722118
2600,264.289731486146,32019.393003328016,1182.08988443871,1972.7159102304972
2700,272.79029166580597,33181.073828763096,1220.5293318193415,2053.293683759287
2800,281.44972744977775,34337.70520383951,1258.1975813054653,2126.902034332175
2900,290.26645925436276,35489.30220673925,1295.0772655552198,2193.9963662333666
3000,299.2387095652342,36635.88023380519,1331.1524170318553,2255.1722666871246
3100,308.3645006268349,37777.45499822141,1366.408455929407,2311.0980029110474
3200,317.64165246466905,38914.042527898746,1400.832174739437,2362.4564675118027
3300,327.0677815362712,40045.65916273607,1434.4117210247148,2409.9054379020045
3400,336.6402996767048,41172.32155088446,1467.1365757051572,2454.046792617429
3500,346.3564135698551,42294.046644565475,1498.9975302248838,2495.411154835643
3600,356.2131245530561,43410.85169512693,1529.9866605304821,2534.450619396765
3700,366.2072289486927,44522.754245651464,1560.097289533715,2571.5401803497234
3800,376.33531845200395,45629.77212835915,1589.3239745827832,2606.981631388792
3900,386.59378092277734,46731.92345773432,1617.6624737212774,2641.0106560496715
4000,396.9788021338513,47829.22661969112,1645.109693717153,2673.811172262684
4100,407.4863659418252,48921.70027327481,1671.6636993102538,2705.5150558867035
4200,418.112258569251,50009.363327103594,1697.3236011206377,2736.22990430023
4300,428.8520696206423,51092.23494027606,1722.0895622095327,2766.0321385822244
4400,439.70119613874743,52170.334509742686,1745.9627413701949,2794.977595111576
4500,450.6548408797214,53243.68167525421,1768.9453151598204,2823.0978693868487
4600,461.7080203309985,54312.29629518125,1791.040370443751,2850.41988437582
4700,472.85556733207966,55376.19844011393,1812.251876698102,2876.9646323847387
4800,484.0921350110039,56435.40838339985,1832.5846448027785,2902.7425595441355
4900,495.4122006957603,57489.946592842265,1852.0442920245546,2927.764109664589
5000,506.8100702030452,58539.833721601775,1870.6372036023936,2952.0329937679203
