miliseconds,UbE,UbE2,Wee1,Cdc25,G2K,R,G1K,IE,PG2,G1R,G2R,PG2R,SPF,MPF,Rum1Total,Cdc13Total,Cig2Total,Mass
0,0.11093658511641441,-1.1916911069518875e-06,-0.014504327895957549,-2.04296395391952e-06,-1.112970000878046e-06,0.39982326705822846,-1.0666525848457067e-05,-2.530257153775683e-07,1.4369338229300563e-07,8.49937760877877e-05,-0.0003555241732065408,-7.782434594424752e-06,2.3496345641074613e-07,6.194598451008286e-06,0.40003029092923087,-0.0006626063096660025,0.00010914010631364662,0.4905154501073385
100,0.10226484707289742,2.032122592548123e-05,0.015001666717110238,2.6879302106551823e-05,0.00037992872524306344,0.40035628803127266,0.00013939909075853622,7.952942982225168e-06,3.505877590185389e-07,5.964320415534904e-06,0.0015372959114622327,3.3464025473641232e-06,0.0004013591362170287,0.0003733397794921507,0.40209114540511237,0.0011476022545998444,0.00016826357210309272,0.48989358134386435
200,0.09141224089774504,3.824199120516776e-05,0.03582556061341716,4.563843332268012e-05,0.0003883251544968852,0.40028206262214316,0.00025291422622531514,1.281365719998667e-05,4.411179425970407e-07,7.950632142655878e-05,0.0017902296702716342,-6.757226468434008e-06,0.0004551075368645959,0.0003903572326913585,0.4030305796159371,0.0029950061715948426,0.000287845681318857,0.24512255236448977
300,0.08301770959929508,5.036245042422928e-05,0.07087417744921062,7.298507531954266e-05,0.0003974426822853731,0.39975469470985625,0.00030102847140997963,1.4185545870963935e-05,3.982907038188031e-07,0.0002541820520698427,0.0036749232455701485,-1.1106357259701228e-06,0.00048556338457376893,0.0003954869056319676,0.40443752853835646,0.00522109130561395,0.0005107329428841495,0.24440776090222327
400,0.07256203648849535,5.519607486187675e-05,0.07602639995926283,8.91908169317293e-05,0.0004153344601713099,0.39925025371327305,0.0003659028845231807,1.5817373119972644e-05,7.821608496204342e-07,0.0002866611280906851,0.006029685613926918,8.80917840124422e-06,0.0004965475987883958,0.0004068302724233367,0.4046436688640927,0.00497378562027303,0.0006713698453682908,0.24380308388366406
500,0.06476618047642627,6.243965363410946e-05,0.10569445845556813,0.00010212804347898942,0.0004164688349898,0.3992024232465214,0.000394268338968659,1.6428175352356824e-05,9.417910914960374e-07,0.00045730726881810716,0.007690453706921641,1.6217875811026706e-05,0.0005247682686984003,0.00041601438106216005,0.40617689163881626,0.00807955725456018,0.0007594002674297057,0.24324446674513162
600,0.05523722223372276,6.518205651934583e-05,0.14163764768871626,0.00011616375797454083,0.0004335631330577354,0.3983461442326336,0.0004142478577800221,1.649123110950034e-05,9.992172771922614e-07,0.0006556883477498115,0.0085629536927156,1.488960863344609e-05,0.0005333127680643265,0.00043300860932483405,0.40719046828040145,0.008231535086239227,0.0011291620737587857,0.2476301453459689
700,0.049114325535461,6.527629315346692e-05,0.16591232354846294,0.00012408565075317643,0.00043681473939279015,0.39803196779349215,0.00044724510113964156,1.697936924391404e-05,1.1982010524283063e-06,0.0007167124384308426,0.010046522367042182,2.2789015584405255e-05,0.000556590847887609,0.0004508804126205092,0.4087955116311819,0.010788644144181386,0.0011745112483579523,0.24678730698468743
800,0.041223745811437805,6.960813652216409e-05,0.16816604844415084,0.00013477031319420477,0.00045933232498459204,0.39678764844984005,0.00045750503117320603,1.7366287829854527e-05,1.2755896351878657e-06,0.0009341960303473319,0.011831193699248198,2.1823144878137937e-05,0.0005606641952126494,0.0004571849048895799,0.4096356162035889,0.011524891870189333,0.0014760398409728232,0.24612880525392886
900,0.0310216691827076,7.01797524173813e-05,0.19794629766974245,0.00014141089971306747,0.0004651367744067128,0.396984417214176,0.0004662677920952726,1.8273720952378458e-05,1.4676366559469392e-06,0.0010117843865757614,0.012670925093006543,1.6372757801560067e-05,0.0005811803137792163,0.00046691329426142323,0.4097183136943799,0.013593250224167871,0.0014845582615394491,0.24427008760555258
1000,0.02590979332550263,7.281168906764041e-05,0.21762482493818633,0.00014929776633695462,0.0004785706008547879,0.3955065290104169,0.00048577404163450033,1.8618444633127544e-05,1.5059078751704522e-06,0.0011477014878038371,0.014848618311374438,3.3672035613149927e-05,0.0005995860291459576,0.00047160597611032326,0.41085245119082064,0.01495707005440589,0.0018543982760469268,0.24460641185391357
1100,0.019076362003351624,7.335735677125968e-05,0.25265082214557955,0.00015537823076969024,0.0004879307400594676,0.3948395336704946,0.0005165124853588815,1.86893172567193e-05,1.593558105115637e-06,0.001484438540321836,0.015154125129354566,3.978113608603584e-05,0.0006050473067325187,0.0004921597575341139,0.4123035936896421,0.015576247121624679,0.001846317203593479,0.24853118293228105
1200,0.010664341966449605,7.731777270994886e-05,0.26775757996435523,0.00016053424792423606,0.0005027920048687474,0.3941957008776954,0.0005226884734022909,1.94720389216482e-05,1.6853733699398352e-06,0.001515818916950966,0.017464278385139358,3.055169987931227e-05,0.0006193032480959396,0.0004948475604542959,0.41351891301085825,0.018204831967953968,0.0020471330919155754,0.24671146715199124
1300,0.006632094904700366,7.928866779030496e-05,0.29501958342815127,0.00016312810468375763,0.000500371618529327,0.394074831404851,0.0005316135746612472,1.9456003465996687e-05,2.0645954305307575e-06,0.0018349297228907099,0.017216078252385462,4.4006646226620825e-05,0.0006364094827252922,0.0005135080293304151,0.41329849026527504,0.01862133319197701,0.0022039971172717445,0.2485819660636926
1400,0.0046339108952718954,7.973831442563715e-05,0.3200411475623423,0.00017041575346483324,0.0005145117187758352,0.39291463516652053,0.0005481674489610569,1.9846282576375455e-05,1.9230126737255534e-06,0.001991420018781336,0.01939154476543545,5.757329160123527e-05,0.0006539549684973647,0.0005277207997412097,0.41517144777953363,0.019888180110575214,0.002319223445460895,0.24703192451392122
1500,0.0008718271101455286,8.29192335728123e-05,0.3287771032556345,0.00017703589496104172,0.0005280450068880212,0.39234986019835205,0.0005583797852348782,2.0451558065747444e-05,2.3766721655834136e-06,0.0019655476814852617,0.02033098373770431,6.272544879699195e-05,0.0006740193270949159,0.0005252582216092579,0.4155113790850254,0.021497215604287145,0.0027252227238226847,0.2477671050665002
1600,0.0011332961639720688,8.32786406004334e-05,0.3600208476985008,0.00017621298101854813,0.0005329641680250133,0.3918986905382385,0.0005769209284725667,2.13923811047601e-05,2.6350563703084135e-06,0.0021012822935509105,0.02177744327463618,6.449702759073076e-05,0.0006841490308429312,0.0005437593372530466,0.4157315368122189,0.0236294543731929,0.0027826002112872304,0.24555161830260652
1700,0.00013141800229286147,8.631945194712532e-05,0.3677053663896383,0.0001823916621263827,0.0005579268729203968,0.39066296007855356,0.000572780401339404,2.1321266619437307e-05,2.714520432782237e-06,0.0022888407148403214,0.023968707729268474,7.385501970155544e-05,0.0006918005527122098,0.0005468367160521893,0.4166668097560972,0.02505816479019373,0.0028785069451216067,0.24925604917809008
1800,0.0014407026081816716,8.782639693369263e-05,0.39811550976109994,0.0001879527213794677,0.0005575477195378073,0.38992977385153776,0.0006063321979766985,2.198840567158716e-05,2.7992997172441384e-06,0.0025396925321722816,0.024273924383463628,8.23026675417319e-05,0.000708392486698887,0.0005679475545150882,0.4169032125627455,0.025273569662620166,0.0032293193463948954,0.246474310823138
1900,0.00019016443716447353,8.818759273201037e-05,0.4343334114303332,0.0001941378412566637,0.0005769701497391555,0.38895535502110545,0.0006011135010477405,2.2451423947949692e-05,2.943400429490361e-06,0.0025696077955497778,0.025957060095314552,9.546001091423597e-05,0.0007193573177805131,0.0005832610189307472,0.4173515354745646,0.025984578701393615,0.0032469386960593378,0.2475923041939064
2000,0.0014656878819197063,8.999353523084058e-05,0.43897337825732136,0.00019342136226870878,0.0005938398386140764,0.38756525909815104,0.0006217447501724959,2.2728099040976294e-05,3.1739573929208367e-06,0.0028494368591636945,0.02755795816965438,0.00010478811619345782,0.00074751397327078,0.0005896727087568145,0.4183554495074041,0.02857071431311447,0.0033418824055622435,0.2460507209870697
2100,0.0011180122799083498,9.29480445849555e-05,0.4565346362843382,0.00020031446714500884,0.0005984684289817376,0.3869769592720807,0.0006355455189767734,2.2961850706882362e-05,3.3702002275264255e-06,0.0030932903969164236,0.028878748552103723,0.00011048502860506807,0.0007525321491483095,0.0005886888405703114,0.4194496194720665,0.030197801252174424,0.0036788001359378633,0.24770875842615211
2200,0.0004909164833947643,9.422185236446203e-05,0.48403729779116655,0.00020256294604795584,0.0006143202181218836,0.38614393651326456,0.0006542785278387314,2.375218927447177e-05,3.6275901534333746e-06,0.003072800289495969,0.029744785061146667,0.00012242770896249417,0.0007657796622822847,0.0006115855863099372,0.4192779990643846,0.030588918122352524,0.003848206807861025,0.24572795741708003
2300,0.00088412885972749,9.620767707503172e-05,0.5109304045599007,0.0002087147196299288,0.0006157085220693516,0.38484669217802264,0.0006516251053981959,2.4279506347632588e-05,4.150765783462841e-06,0.0033755314258445517,0.03222651574604728,0.0001188811414597991,0.0007776609367688928,0.0006233657623131098,0.4199565373502788,0.03167908184035528,0.004058579625950343,0.24640060792587884
