milliseconds,Susceptible,Infected,Removed
0,32679997.59861656,727.797880761558,61.19447860233164
100,32679993.849947568,736.6630577162917,67.18138887086144
200,32679969.938157372,738.3635346828172,67.1202296836553
300,32679972.136931308,748.190528253457,71.36426527384579
400,32679959.9745715,764.0235444131504,79.44146165638564
500,32679940.16702859,764.2805304971436,84.14038974755037
600,32679925.4737116,774.5186213655365,83.86757886177658
700,32679919.597641043,785.2025214051677,87.3799802472309
800,32679903.879722986,790.3495646868545,90.73134421268085
900,32679886.36427782,811.1479537001652,94.28439045018015
1000,32679875.926825617,819.8635801721547,101.53754831702405
1100,32679870.423218682,826.6703243312162,107.57744327313094
1200,32679849.873493634,835.2569649455903,106.61703373162109
1300,32679827.69927912,841.7179964657189,111.82636655732396
1400,32679820.308158915,843.6553270608108,119.27352208674996
1500,32679810.27187565,858.570075206508,123.4044507610478
1600,32679806.030483942,862.6011484483143,124.5569122188274
1700,32679792.53781674,882.6161098232357,131.60956341113967
1800,32679779.16734934,879.9296631572957,135.43043870924666
1900,32679752.68234049,889.3141777779085,138.12562786438676
2000,32679744.180256598,904.6020362206359,145.9649081438153
2100,32679727.74455738,916.657357147205,147.23286597434097
2200,32679709.23760259,918.7601215784335,150.30952895268393
2300,32679698.710111134,929.9818837561592,157.00615024926762
2400,32679677.469032332,941.3695502687226,164.5023198908673
2500,32679673.900186002,946.8077139058013,166.94445233804964
2600,32679655.897801027,955.2529391102005,173.08087904043063
2700,32679641.163793012,973.9184624757454,172.94519251022427
2800,32679636.28200222,977.1940026627079,184.6774616990848
2900,32679614.727205012,983.7123284069621,182.70817171478797
3000,32679606.607477665,994.0933984753713,190.14937660884064
3100,32679583.023083728,1006.7775383164303,196.11984763293106
3200,32679563.562786303,1014.2646726499161,202.34293835927318
3300,32679557.149742402,1030.5719007919279,209.07950128925222
3400,32679545.639737345,1034.737693135746,210.59421789613464
3500,32679534.1105415,1041.940717021895,219.44213818930015
3600,32679512.218883794,1048.057932443092,225.3198018112286
3700,32679507.810129903,1068.0250983691265,227.14157689281328
3800,32679480.96936399,1075.7419466962556,233.76176132897442
3900,32679471.751715392,1080.9489504830563,235.30643678314655
4000,32679455.787777178,1098.8696324530042,242.72273957825698
4100,32679438.352828003,1101.278177804839,248.8242421146887
4200,32679428.1338043,1109.047853340792,253.81564504281368
4300,32679400.506156128,1128.1763858025397,261.7243830310323
4400,32679393.50288266,1134.3868094977367,266.68571696963744
4500,32679374.48737227,1138.3497751229627,270.7476381866884
4600,32679365.093471278,1145.5851224471464,274.37385568762284
4700,32679340.55511646,1153.555647190277,282.87605437524235
4800,32679333.64429637,1168.2370083471806,290.4402547242962
4900,32679322.87472733,1178.3726014473207,295.20793857811844
5000,32679307.01066441,1191.6035819293606,302.44647664982807
