milliseconds,Susceptible,Infected,Removed
0,32679993.56219706,732.1640261938264,64.87451708081657
100,32679994.869742863,736.9571620531639,64.90380631630478
200,32679971.70404333,739.5262445973425,67.9238440121612
300,32679953.689630304,755.4909765030994,75.85444973191107
400,32679953.761146758,760.9095439744739,77.56636300786212
500,32679929.75433572,776.9562277105065,82.39062933524286
600,32679932.86823842,783.6630339188051,82.89086410221526
700,32679919.87828939,781.4788542732442,87.15272891132442
800,32679896.565706126,803.3625148926135,95.76763285289553
900,32679891.87741109,806.8738804332351,99.5144735967104
1000,32679867.858772468,816.534594140045,98.07615948187251
1100,32679867.420886915,828.6034994673664,104.47019998796343
1200,32679846.318126705,836.4840754600272,109.67934200693985
1300,32679827.846736625,839.3272398323846,112.21059971779472
1400,32679820.158165086,847.5045509957502,116.95635919089912
1500,32679803.225649647,865.0146845900215,118.20598545170168
1600,32679793.152541958,874.415535978025,127.65438583553531
1700,32679779.42994607,880.3117245251808,127.09900860144273
1800,32679766.26913089,881.9874364100872,137.699339426584
1900,32679762.382292777,899.1404655498949,140.28677062329905
2000,32679744.53640654,906.7941284401934,142.11778186733284
2100,32679728.28202369,916.1611973707666,150.27292470868906
2200,32679704.271030672,923.6106796136023,150.35783578300195
2300,32679700.58403215,937.4779114848723,155.6283660606859
2400,32679676.924881585,946.8606009877458,160.85984813617873
2500,32679666.01193679,955.9881406940242,169.5597753406906
2600,32679658.405021485,967.2258457341125,174.8941907484878
2700,32679645.900811795,970.5924289934215,178.954486586582
2800,32679638.411852486,979.8869749257191,178.39113824758408
2900,32679615.056226432,986.0425928964405,188.8406023234059
3000,32679605.07344841,1003.3690507938392,190.0234615950255
3100,32679579.91225668,1005.4648497493545,193.0094291510087
3200,32679569.48724602,1014.7097227217121,199.81727774615817
3300,32679551.049437158,1021.9776732006276,203.54503374518168
3400,32679549.163638253,1041.3655924767095,211.5022913193823
3500,32679526.85378681,1043.4623625430913,213.76464628509999
3600,32679505.915564246,1051.5726526711846,219.76305146977165
3700,32679498.14643817,1059.4803082770443,226.83538587315752
3800,32679480.266875662,1077.744521403835,234.60944773594935
3900,32679459.54370552,1082.1760171647684,234.80607581651353
4000,32679454.16482727,1095.373127654573,244.64284790760186
4100,32679440.69950949,1106.0647921679354,247.36583480577465
4200,32679414.45321769,1112.8494317601373,257.1600333334391
4300,32679409.83735502,1121.1496806381049,262.1748055952618
4400,32679399.539549094,1124.3975325642657,265.23188915561764
4500,32679382.08224962,1147.6790966729052,272.1606782220637
4600,32679353.668501962,1147.2488254855914,274.21548118593205
4700,32679355.372155063,1155.6526182261348,282.8224119872373
4800,32679336.38184249,1176.500922471911,291.79307205671216
4900,32679308.8509309,1176.2013399907114,295.2858679909715
5000,32679290.742734764,1190.5918326259682,303.8214512619027
