miliseconds,Susceptible,Infected,Removed
0,32680002.511667203,732.399871108089,62.946516921801084
100,32679981.44528058,741.0572729265195,63.43138618415834
200,32679979.231715687,744.7932356091644,69.61717930658958
300,32679967.845144853,748.6578495227612,69.60339357430108
400,32679956.412389252,766.1944264629766,74.18320883078813
500,32679947.453492228,771.190035667862,83.34323988071114
600,32679926.4095994,777.252283526797,87.14730310165378
700,32679905.797199752,786.8222422206633,87.2420118094993
800,32679900.74583276,802.7392685214503,89.70421083067897
900,32679887.59928505,808.5157898606191,97.5216295944553
1000,32679864.334089193,815.2186820427324,98.89297459154544
1100,32679865.709438898,821.7729364696356,107.81444626964779
1200,32679844.01690883,832.5665926253628,107.06090547547434
1300,32679835.474650584,841.7377562871567,112.54376800835765
1400,32679825.959135886,856.4907412325834,116.41141484276969
1500,32679814.568722732,865.0699462916879,124.99669331687006
1600,32679792.7341524,875.0750391805318,124.68615895745171
1700,32679787.269245837,874.1573996895601,127.72503589028527
1800,32679765.782709837,892.0045825990147,132.61481867128018
1900,32679748.587014746,901.7495772497939,136.85818520865405
2000,32679746.57067408,905.9105497913716,144.74915200597397
2100,32679729.853005957,916.0792025304966,146.98534420847548
2200,32679712.731890123,927.1375572738995,154.11162563931146
2300,32679692.543497033,929.7283753847673,159.98674583650734
2400,32679690.577927202,945.8282698398255,161.38921380275136
2500,32679670.6803799,956.5744994736541,166.3278214810195
2600,32679652.316345077,956.8019897782629,174.2370315895427
2700,32679649.27340802,972.6137605015853,179.3081642988002
2800,32679639.239131827,977.9756107800836,184.5718310890647
2900,32679608.31638162,986.0534756416087,186.3056165361474
3000,32679599.302645013,1002.8341356760926,191.39677715307712
3100,32679577.17537748,1011.9726133222335,193.7629267971685
3200,32679569.322975606,1009.9034257328019,199.26177023282818
3300,32679564.93522754,1031.4778275583806,206.66757062218917
3400,32679546.568099648,1029.3102776794328,212.85144221488295
3500,32679532.735269908,1042.2822097143298,219.70440287200645
3600,32679510.845869213,1048.8909682763624,224.5949384738314
3700,32679490.37829115,1064.202591289468,229.48691168125978
3800,32679475.618960056,1068.1534164291438,230.73757203292638
3900,32679459.304864522,1077.4187686452617,235.3977950577889
4000,32679448.405141227,1089.9519354803294,242.94672245331813
4100,32679442.66969122,1096.7962826237601,250.10195532572266
4200,32679416.265723597,1109.7340201715483,253.06280780170528
4300,32679416.637019612,1123.7105017863576,257.37522790104254
4400,32679385.75761301,1132.056385254292,268.23699697015434
4500,32679375.470247976,1134.8697739350832,271.12305261294233
4600,32679352.660750933,1149.575005725387,280.22360601120323
4700,32679343.65993008,1154.645731798279,284.3243259444643
4800,32679340.882141482,1173.1505720359173,285.8705306125714
4900,32679323.12389019,1173.0417716726586,292.5503252317679
5000,32679306.781728122,1193.1096178162152,303.7603181735726
