miliseconds,Susceptible,Infected,Removed
0,32679991.904135477,728.8572261647016,63.1350121301822
100,32679978.33452588,734.0717129712953,65.09339482541019
200,32679972.883431744,744.1868133471756,66.5260676979968
300,32679969.61132432,752.7523525484552,75.20990790497952
400,32679941.49150436,757.7840130886069,76.94423915236018
500,32679932.222725034,767.1962141208207,80.47387601650262
600,32679922.667972244,786.3505751439496,82.2649685091129
700,32679921.370088052,784.996845508254,90.26776252137378
800,32679891.644862305,801.5488470054238,94.15877014966216
900,32679881.25140098,806.4952638595016,94.86161051710948
1000,32679872.08137949,815.233083523074,101.01342780229636
1100,32679855.280635644,825.0181849242958,105.31454764317911
1200,32679854.309123453,830.9678316001199,110.26672802612872
1300,32679833.690544084,835.1594456474969,111.3424567575958
1400,32679829.71560531,852.7760369401896,117.73881920110445
1500,32679812.637189355,860.027060625975,119.8566169515845
1600,32679805.722107213,873.2359327475101,123.373382895613
1700,32679777.86264821,875.5024342997289,133.35860723471936
1800,32679777.425455384,883.164182881823,135.00267986610186
1900,32679753.71717984,890.6600882778208,139.97828806361173
2000,32679737.82235337,904.2776163734515,144.42845615465612
2100,32679736.17816641,912.7726542272056,145.65446068638641
2200,32679708.926082984,920.6227284529249,149.64778287271866
2300,32679701.65086035,933.1830020618213,158.2753577361538
2400,32679694.918835413,935.9755222957374,165.00457184476673
2500,32679664.16803208,953.8672124512916,165.13046609653242
2600,32679651.53399656,960.708346664587,171.12283628271106
2700,32679648.48228012,966.980492597497,177.93342451263908
2800,32679625.52862189,984.6771792355948,177.766573651653
2900,32679615.542672757,983.501177057515,187.95814146942087
3000,32679598.218344666,1000.524653628243,189.4340919588057
3100,32679586.411533985,1006.1351719137481,196.1692451865639
3200,32679568.59200019,1022.3978486305605,201.2713207262482
3300,32679555.014117494,1020.9922909788872,204.88184629147244
3400,32679540.594587505,1032.991155763764,208.33672211443073
3500,32679537.427372456,1050.6618255639587,215.68095319135608
3600,32679520.34058311,1049.183019521847,222.92940494818183
3700,32679495.482493665,1064.8588845164413,227.38982576751704
3800,32679492.164274644,1075.3610428632844,235.4643471052324
3900,32679476.916154142,1082.0712858816078,239.01316497298515
4000,32679463.096450433,1097.0551931330704,245.12785205720726
4100,32679431.761968553,1097.6796134520648,246.0535721900971
4200,32679430.57129179,1107.735868404847,250.9835927538084
4300,32679401.9274158,1125.3722781856159,262.104811082003
4400,32679384.90403715,1137.7918157902482,266.92369324297215
4500,32679377.775822934,1144.7983119992093,269.075010975031
4600,32679360.603883397,1146.855693404307,278.5455707499152
4700,32679348.259448763,1163.5399999632905,281.6562106681284
4800,32679323.870466854,1164.852530944874,289.24737850458496
4900,32679321.822134238,1183.1609954526034,296.70832973625915
5000,32679293.017147012,1187.34284253613,296.86285688937
