miliseconds,TGFb_R1_surface,TGFb_R2_surface,TGFb_R1_endo,TGFb_R2_endo,TGFb,TGFb_In,Active_R2,Active_Rec,Active_Rec_endo,Inactive_Rec,pS2_c,S2_c,S4_c,pS2_pS2_S4_c,pS2_pS2_pS2_c,Smad7mRNA,Smad7mRNA1,S7,pS2_n,pS2_pS2_S4_n,pS2_pS2_pS2_n,S2_n,S4_n
0,7.3975009749264276,2.8302960472780647,17.136857002613453,21.631655237032586,99.99991862789547,0.0002122576346619694,0.0039879494795265645,0.009293854822407436,0.0013354634425229918,0.011087847761792237,0.0025408789719487926,985.1065197473546,322.1119028748698,0.4324915619248581,-0.006112300220533464,0.02998445456528821,0.19508636765665818,5.612869479527931,-0.0038477846022216887,0.02984619748438877,-0.006292708277058942,331.2628290328716,67.7921175071785
100,5.078382731557228,0.06753851444785801,17.08965016421201,21.385660859849818,99.99524308958362,0.0005030071260803941,0.7445891392085665,1.6366540395521396,0.05147298786321114,0.5806477174174061,0.03516313776050208,983.4411324658433,321.2055646093134,0.5664612305238398,0.00441853169539382,0.029984470244446882,0.19508669965567965,5.014281045785144,-0.0016838009462019452,0.2114703780000363,0.00986776014753572,331.0831098923858,67.79153258515956
200,4.772782781639537,0.047144017075574536,17.207905728078313,21.231112065456575,99.99157762622383,0.0006981219228747301,0.6379517834890083,1.394809729435024,0.09944866567156335,1.0611256694272992,0.05147479191885446,982.7704177663807,321.3490461137577,0.19700998874795952,0.0059745022697756155,0.029984425304155394,0.19508907735880307,4.543363431008166,0.007309372683746635,0.19728149698573733,-0.005723088150593191,331.04677230274086,67.78662894522952
300,4.538710521520568,0.05094053450264192,17.287075678332915,21.159188398198314,99.98927698581488,0.0017966783694429464,0.5854941993749857,1.2065088046101864,0.13629353759567442,1.3261716373305508,0.05977789789446862,982.4558819152392,320.5223900875534,0.31247122281657347,0.0050123420404389815,0.02998442929324222,0.19508449932376568,4.2717463845165,0.01165235540024219,0.07877671837996054,-0.013869255229325077,331.0892440364685,67.77153388040158
400,4.323047010556023,0.06568028491915494,17.530685899002833,21.13741963281233,99.98736855622744,0.0026773816896431516,0.5714010444772548,1.0805092024189635,0.16769461613928896,1.4739602341899014,0.07063479055213066,980.5035586927007,320.21892536063626,0.8396879608698957,0.0029886344785010057,0.029984454350413567,0.19508735222359908,4.132440385296722,0.018613394775937656,0.0023574498520029658,0.006369722334929521,331.0374796192656,67.77178709822465
500,4.097118551370675,0.03501803620722054,17.69490704602705,21.126715921720045,99.97948286321193,0.003033235740970507,0.5500381289700833,0.9997798747807142,0.19339292317066953,1.5532602250810377,0.07565327936298165,980.2297459083218,319.83253953374196,1.761629650161784,0.00048193876759219,0.029984467801865533,0.19508849778528367,4.0431620284518335,0.018466797756074984,-0.19796702891136275,0.006661289815075552,330.9763091905448,67.77120391205963
600,3.928465705937048,0.0678825373018684,17.87234361381174,21.151936990801822,99.9805008642139,0.004092521891481087,0.5445797654084227,0.9414234265275332,0.21502371394130207,1.5818262261929115,0.08802550025507518,977.79799650778,319.31106926278045,2.5520924613555995,0.006851715226811557,0.02998447670428393,0.19508865610140033,4.020236876365825,0.02312969408657507,-0.09022080475153765,0.006631832435583121,330.2767000221362,67.75845743682187
700,3.771286146155399,0.05574171316549842,18.008426666006216,21.156242841268146,99.97430985107256,0.005548344328107918,0.5585583284926673,0.8934666531099961,0.22650377119145862,1.6022251808492067,0.09144904084225876,977.6743851715461,318.04894285425115,3.4974098327786187,0.0052332074712481864,0.029984458532936926,0.1950880772692027,3.9986559961576353,0.031953152961137744,0.4134689909135543,0.009752409975806058,329.9935476811615,67.7609518299122
800,3.591156731906005,0.06916825020586659,18.161294910606202,21.173771252166375,99.97229407252766,0.006605296246068339,0.5659818350931757,0.8578241661826803,0.2461050721201373,1.5908990287751799,0.098287558931166,976.9051474424991,317.22570861990886,3.818704684815978,0.006722407624270269,0.02998448220908641,0.1950821104855124,4.007260066547815,0.036202013414779736,0.5775045325418569,0.015429225340505693,329.96811417220897,67.74655779404381
900,3.4351601372151066,0.0637462166132548,18.380051665663924,21.185807733691234,99.97005442684538,0.007701263916864011,0.5758153085958962,0.8256608608195195,0.2527768979631213,1.575236190645967,0.10479407483190979,974.7031786418255,316.7240462903069,4.533901703689781,0.008421122145565613,0.029984461558326837,0.19508346543861377,4.024204222317109,0.04928156610158087,0.608464753047866,0.00026733613640706226,329.4376141020304,67.73433314816283
