miliseconds,Enz,Ts,Tt
0,-0.0008809453627919178,6.58698889024654e-05,13.461751163053872
100,0.0023212924011128382,0.0002804906711429922,13.461988121018296
200,0.003975747916142962,0.0007330990095494763,13.46222077816647
300,0.004551904464342944,0.0008182761708368987,13.46263720218161
400,0.006314378784082965,0.001021224240820541,13.462565900620909
500,0.008635988496065216,0.0015493494148827967,13.463068620339985
600,0.010040650611963166,0.001960527376350476,13.463117291626013
700,0.010099850119923981,0.002238543314631871,13.463568777298452
800,0.01200603577566146,0.002492175705425444,13.46408369135608
900,0.012897278603655386,0.00250524912971662,13.464153094944724
1000,0.014112479314158488,0.003154478988327594,13.464612499244662
1100,0.01685732364622218,0.0031834899406982474,13.465024297768531
1200,0.018818450204246696,0.0035763135753602115,13.464910122215837
1300,0.019117319829387237,0.0038145934344414644,13.465295072952996
1400,0.020569945865107103,0.004425661387492523,13.465529068648811
1500,0.021897738506459492,0.00473271050693042,13.466226997427672
1600,0.024043836989843095,0.004671635352139492,13.466496164256357
1700,0.02595554857809715,0.005083370703490898,13.466444249072104
1800,0.027463255460370282,0.005313992859943679,13.467013571223442
1900,0.029252576071455524,0.005691929618098086,13.467518911841612
2000,0.030995723521743,0.006280729834193205,13.467663186025357
2100,0.030867479444770068,0.006409099286335046,13.467736205404886
2200,0.033427736793588694,0.006902955324094251,13.468343242089336
2300,0.03459192783843612,0.0072019387505475535,13.468527497326976
2400,0.03666783336268873,0.00738669864925796,13.468859635010583
2500,0.037786941459624204,0.007562574491529106,13.469181520276909
2600,0.038076476638856875,0.007900636478856173,13.469304103109565
2700,0.04021770131998823,0.008187953734727601,13.469937303478758
2800,0.043003556793975356,0.008487932561945633,13.470267711202938
2900,0.04424800755521553,0.008900350806788014,13.470196099393231
3000,0.044298937397633305,0.00920950842111034,13.470842583718753
3100,0.046715852499818133,0.009700610772281348,13.470977332493842
3200,0.04888997458575179,0.010024959894621065,13.471176433490719
3300,0.05016473118707332,0.009983311845892495,13.471808619956061
3400,0.050065035749529745,0.010502992579968888,13.472024059256889
3500,0.051923422054311094,0.01087695006715146,13.472193143870848
3600,0.05451825683692775,0.011296997253374698,13.472488690473545
3700,0.05453162748742301,0.011686215742960466,13.472941063732348
3800,0.05684701190610233,0.011919165072481468,13.473123499168
3900,0.05733812696111192,0.011964781997472635,13.473582560690666
4000,0.059693081581965846,0.0123929176965203,13.474043443445415
4100,0.06014157031824297,0.012631746423186692,13.474442426580513
4200,0.06209395156343747,0.012879880206607443,13.47449673296327
4300,0.06441064232329317,0.013269649922744414,13.474799704458821
4400,0.06646957732469364,0.013770908361905481,13.475440721606644
4500,0.06694362666311039,0.014048837505636796,13.47535939721827
4600,0.06839165570617062,0.014513275160425903,13.476116876726666
4700,0.07027510838184808,0.014823533143981379,13.476022229877437
4800,0.07250048789539042,0.014907285516637803,13.476430971398544
4900,0.07289056150677131,0.01560243437013896,13.477075601401893
5000,0.07441827769377783,0.01586289262560607,13.47703723782109
