miliseconds,uninfected_tumor_cells,infected_tumor_cells,virus_specific_CTLs
0,0.010387870209276869,9.981117349779068e-05,0.0
100,0.011164461685612963,9.921468602411789e-05,0.0
200,0.01056193692324168,9.855002649858402e-05,0.0
300,0.011894459252700705,9.680058281856397e-05,0.0
400,0.012441279300064549,9.617557900696284e-05,0.0
500,0.012661079569609657,9.53797180152714e-05,0.0
600,0.012399012063768462,9.445944769572905e-05,0.0
700,0.012756312485607041,9.353283936979291e-05,0.0
800,0.013493716145239105,9.283972557932134e-05,0.0
900,0.013530074627078946,9.155058585470113e-05,0.0
1000,0.014984730105708721,9.146739212062918e-05,0.0
1100,0.01546585378846891,8.972389657673864e-05,0.0
1200,0.016249900107298054,8.971751397713355e-05,0.0
1300,0.016045278175260667,8.848650948389797e-05,0.0
1400,0.018152575082597298,8.794898613254629e-05,0.0
1500,0.01744348082848451,8.6982901994465e-05,0.0
1600,0.01982547688247116,8.586568557409445e-05,0.0
1700,0.020465511274310857,8.573729407644731e-05,0.0
1800,0.02068748004270082,8.445900911320455e-05,0.0
1900,0.020570809049862478,8.400117045012843e-05,0.0
2000,0.021575588717406464,8.293346960944099e-05,0.0
2100,0.022747457138734377,8.231525680537356e-05,0.0
2200,0.024020607854658406,8.203554560348304e-05,0.0
2300,0.025836476057484195,8.082754335207011e-05,0.0
2400,0.025360241003671107,8.014916408333688e-05,0.0
2500,0.026586361788625442,7.93374559152153e-05,0.0
2600,0.027415536677079626,7.877128620775468e-05,0.0
2700,0.028883847170568976,7.851130521420103e-05,0.0
2800,0.03078439234223766,7.797161385574353e-05,0.0
2900,0.032376031121728065,7.740866592580701e-05,0.0
3000,0.03383632823890455,7.589406294863421e-05,0.0
3100,0.03469471242267958,7.572883877631512e-05,0.0
3200,0.03515205335596258,7.522009541095229e-05,0.0
3300,0.03683208783542754,7.404147883937965e-05,0.0
3400,0.03879317680582,7.387242771356702e-05,0.0
3500,0.04045160897758242,7.27510437397505e-05,0.0
3600,0.04266332809472238,7.292068730049943e-05,0.0
3700,0.04351052141854891,7.24100204040377e-05,0.0
3800,0.04601680885476296,7.121486248501738e-05,0.0
3900,0.04760428193461329,7.13778498396459e-05,0.0
4000,0.049432422870327834,7.086910216772911e-05,0.0
4100,0.05192919693032027,6.96672015750895e-05,0.0
4200,0.05267795456504745,6.951950976581084e-05,0.0
4300,0.055689230240846654,6.83752308497644e-05,0.0
4400,0.058686594263219254,6.888080532206601e-05,0.0
4500,0.06090552995886707,6.78802054551628e-05,0.0
4600,0.06267802038187019,6.705876299669727e-05,0.0
4700,0.06509762654697758,6.732759729312409e-05,0.0
4800,0.06721890674388444,6.645682927112551e-05,0.0
4900,0.07114629821785035,6.6588948093494e-05,0.0
5000,0.07286134827562893,6.562460336181261e-05,0.0
