miliseconds,uninfected_tumor_cells,infected_tumor_cells,virus_specific_CTLs
0,0.010094382685538517,0.0001004614099678858,0.0
100,0.009528380554938817,9.867056157876055e-05,0.0
200,0.010117636604962694,9.770358202711237e-05,0.0
300,0.011762316083426759,9.765595393456831e-05,0.0
400,0.011348635779964006,9.656672499670384e-05,0.0
500,0.012136138980198182,9.549811651913805e-05,0.0
600,0.013538168908768796,9.438035564940655e-05,0.0
700,0.01393251539703375,9.39541474073738e-05,0.0
800,0.014210603815863553,9.239495747965472e-05,0.0
900,0.01481041860854992,9.172554542570404e-05,0.0
1000,0.01542948357535598,9.094249525022215e-05,0.0
1100,0.01498287021200206,9.012702677228205e-05,0.0
1200,0.01588787734967087,8.909541302977537e-05,0.0
1300,0.017398724346402036,8.859619715398674e-05,0.0
1400,0.017198384366604442,8.826737891477196e-05,0.0
1500,0.017978803051443584,8.738737823735965e-05,0.0
1600,0.018154370735013192,8.667739279541463e-05,0.0
1700,0.019412086887130937,8.535800027522645e-05,0.0
1800,0.020475149577601496,8.445151285423301e-05,0.0
1900,0.021291571676736076,8.353437497507038e-05,0.0
2000,0.021459708262703662,8.297293243475153e-05,0.0
2100,0.022231339335713113,8.202341063900091e-05,0.0
2200,0.023282213369154533,8.19466098138975e-05,0.0
2300,0.025782608626215186,8.1355616482548e-05,0.0
2400,0.026132324251523637,8.022684851413661e-05,0.0
2500,0.026959376506728482,7.942585767294032e-05,0.0
2600,0.027831486221416863,7.8474738120012e-05,0.0
2700,0.02988387465953698,7.799999334147597e-05,0.0
2800,0.030669980742971174,7.757394133547224e-05,0.0
2900,0.03232610304319318,7.707345862225869e-05,0.0
3000,0.03381894950855218,7.614043043905872e-05,0.0
3100,0.03537108494919473,7.579617815109463e-05,0.0
3200,0.03658963244455832,7.508489803444852e-05,0.0
3300,0.03682431747422917,7.461201125506059e-05,0.0
3400,0.03831652049436959,7.38105689256013e-05,0.0
3500,0.04043972743907561,7.297102219815648e-05,0.0
3600,0.042000985395402646,7.274340790026202e-05,0.0
3700,0.0441899973316306,7.25328043918501e-05,0.0
3800,0.045494818281897796,7.183697825024396e-05,0.0
3900,0.047874064379518064,7.067216319420452e-05,0.0
4000,0.04969919333804327,7.067665336685739e-05,0.0
4100,0.05203428085898822,6.94761496848069e-05,0.0
4200,0.05346432129047044,6.938260748914859e-05,0.0
4300,0.056375727596290656,6.916681789762653e-05,0.0
4400,0.058539259182318774,6.788277258891743e-05,0.0
4500,0.059642586498041945,6.839467353338595e-05,0.0
4600,0.06319268285573028,6.750202473585e-05,0.0
4700,0.06617265327509013,6.697278274269772e-05,0.0
4800,0.06758011945718997,6.672428589420004e-05,0.0
4900,0.06975913685391627,6.605566168201021e-05,0.0
5000,0.07358315899546007,6.531535620000763e-05,0.0
