milliseconds,uninfected_tumor_cells,infected_tumor_cells,virus_specific_CTLs
0,0.010432486308109437,9.958931357016823e-05,0.0
100,0.009863803221309725,9.942895134904038e-05,0.0
200,0.009928464560376183,9.799408240295407e-05,0.0
300,0.011094226486147774,9.703299716973493e-05,0.0
400,0.010936047726488965,9.661755386469868e-05,0.0
500,0.012429694267309091,9.54455971050694e-05,0.0
600,0.012072243674854316,9.432545268544354e-05,0.0
700,0.012961938615771058,9.358148067151547e-05,0.0
800,0.013082743162861161,9.316682379840044e-05,0.0
900,0.013779128362873512,9.23408532863217e-05,0.0
1000,0.014573835387523146,9.147766321722889e-05,0.0
1100,0.01516029139714965,9.063544766585141e-05,0.0
1200,0.015829338037772017,8.930701674059959e-05,0.0
1300,0.01640488895742534,8.822686804494844e-05,0.0
1400,0.0174224456284842,8.74650344555085e-05,0.0
1500,0.01900841889992599,8.671546338243466e-05,0.0
1600,0.01958483187405728,8.616381955026212e-05,0.0
1700,0.02023992967116106,8.539224937102995e-05,0.0
1800,0.02038015334155863,8.50259064486065e-05,0.0
1900,0.021721648273692187,8.405634442721166e-05,0.0
2000,0.022241878226263452,8.351566550718224e-05,0.0
2100,0.023012358715421767,8.270971304786752e-05,0.0
2200,0.023464993498305213,8.131510940380743e-05,0.0
2300,0.024760116236859198,8.05149801358087e-05,0.0
2400,0.02659231566955434,8.008442337211937e-05,0.0
2500,0.026404062766367097,7.94858655196124e-05,0.0
2600,0.027451177616703848,7.92624188109321e-05,0.0
2700,0.028586210805196202,7.809106316005234e-05,0.0
2800,0.029780987863347902,7.728548515410202e-05,0.0
2900,0.0312813890803026,7.660794777058451e-05,0.0
3000,0.033831961768986285,7.587325529212836e-05,0.0
3100,0.03475296907101347,7.58442893499858e-05,0.0
3200,0.03505063474696085,7.512701201184927e-05,0.0
3300,0.03779121220762742,7.46876169576676e-05,0.0
3400,0.039473420611335776,7.379679427100386e-05,0.0
3500,0.040884146248367156,7.301289323196348e-05,0.0
3600,0.0417111315915771,7.241299553270976e-05,0.0
3700,0.04383168252037647,7.15919729468964e-05,0.0
3800,0.04533964721839685,7.142155532351042e-05,0.0
3900,0.04695801961062344,7.128014247785514e-05,0.0
4000,0.04940146865460942,7.04480630957517e-05,0.0
4100,0.05175180736479242,7.006414931525458e-05,0.0
4200,0.05422592577263782,6.931048355497769e-05,0.0
4300,0.055788341518187484,6.89816020573058e-05,0.0
4400,0.057382674623085925,6.802935786161012e-05,0.0
4500,0.05995272373441461,6.793390530594706e-05,0.0
4600,0.062002323326924416,6.749780663260898e-05,0.0
4700,0.06452187169492947,6.70619042447887e-05,0.0
4800,0.06818469763850117,6.604351800736033e-05,0.0
4900,0.0698629154819587,6.636052485176461e-05,0.0
5000,0.07264435568953968,6.588566179556916e-05,0.0
