milliseconds,Abeta,AbDim,AbP,Nep
0,0.0,0.0,0.0,1000.0
100,1.8599979984189869e-06,-5.647060281634344e-15,1.6603111750987022e-21,999.999999982
200,3.719992112315137e-06,-2.2253465479588436e-14,1.4192450199960274e-20,999.999999964
300,5.5799823760071375e-06,-4.9722377547138585e-14,3.946639217042033e-20,999.999999946
400,7.439968722109735e-06,-8.824365166398432e-14,1.1097389344255716e-19,999.999999928
500,9.2999512001436e-06,-1.3767774892240718e-13,2.0622661588663837e-19,999.9999999099999
600,1.1159929810108734e-05,-1.9802466932240716e-13,3.2522455950266387e-19,999.999999892
700,1.3019904552005137e-05,-2.692844128639843e-13,4.679677242906339e-19,999.999999874
800,1.4879875379265878e-05,-3.51587154993993e-13,7.899258191664298e-19,999.9999998559999
900,1.6739842314798853e-05,-4.448688578882147e-13,1.2146178937559569e-18,999.999999838
1000,1.8599805371653698e-05,-5.490930419596526e-13,1.698476048667071e-18,999.99999982
1100,2.045976454983041e-05,-6.64259707208306e-13,2.2415002838997715e-18,999.9999998019999
1200,2.2319719849328984e-05,-7.903688536341755e-13,2.843690599454057e-18,999.999999784
1300,2.4179671270149424e-05,-9.274204812372609e-13,3.5050469953299284e-18,999.999999766
1400,2.603961881229173e-05,-1.0754145900175617e-12,4.225569471527384e-18,999.9999997479999
1500,2.789956247575591e-05,-1.2343511799750788e-12,5.005258028046427e-18,999.99999973
1600,2.9759502260541948e-05,-1.4042302511098111e-12,5.8441126648870536e-18,999.999999712
1700,3.161943816664986e-05,-1.5850518034217599e-12,6.7421333820492674e-18,999.9999996939999
1800,3.3479370191395254e-05,-1.7768228695630304e-12,7.769135113177562e-18,999.999999676
1900,3.5339298291161616e-05,-1.9796577181537504e-12,1.005949163570627e-17,999.999999658
2000,3.719922250881515e-05,-2.1934440462594605e-12,1.2498343035895605e-17,999.99999964
2100,3.9059142844355884e-05,-2.4181818538801592e-12,1.5085689313745593e-17,999.999999622
2200,4.0919059297783805e-05,-2.6538711410158465e-12,1.7821530469256234e-17,999.999999604
2300,4.2778971869098907e-05,-2.9005119076665224e-12,2.0705866502427527e-17,999.9999995860001
2400,4.463888055830119e-05,-3.158104153832187e-12,2.373869741325946e-17,999.999999568
2500,4.649878536539066e-05,-3.4266478795128415e-12,2.6920023201752022e-17,999.99999955
2600,4.8358686290367316e-05,-3.706143084708483e-12,3.0249843867905224e-17,999.9999995320001
2700,5.021858333323116e-05,-3.996589769419114e-12,3.372815941171909e-17,999.999999514
2800,5.207847649398219e-05,-4.297987933644734e-12,3.735496983319357e-17,999.999999496
2900,5.393836577262041e-05,-4.6103375773853435e-12,4.113027513232872e-17,999.9999994780001
3000,5.579825116914581e-05,-4.933638700640941e-12,4.5054075309124507e-17,999.99999946
3100,5.7658132683558384e-05,-5.2678913034115255e-12,4.912637036358091e-17,999.999999442
3200,5.951801031585815e-05,-5.613095385697101e-12,5.334716029569798e-17,999.9999994240001
3300,6.137788406604511e-05,-5.969250947497665e-12,5.77164451054757e-17,999.999999406
3400,6.323775393411925e-05,-6.336357988813218e-12,6.223422479291406e-17,999.999999388
3500,6.509761992008058e-05,-6.714416509643759e-12,6.690049935801305e-17,999.9999993700001
3600,6.695748202392909e-05,-7.103426509989288e-12,7.171526880077266e-17,999.999999352
3700,6.881734024566479e-05,-7.503387989849807e-12,7.667853312119296e-17,999.999999334
3800,7.067719458528766e-05,-7.914300949225314e-12,8.179029231927388e-17,999.9999993160001
3900,7.253704504279774e-05,-8.336165388115812e-12,8.705054639501544e-17,999.999999298
4000,7.439689161819498e-05,-8.768981306521296e-12,9.245929534841763e-17,999.99999928
4100,7.625673431147942e-05,-9.212748704441768e-12,9.801653917948046e-17,999.9999992620001
4200,7.811657312265104e-05,-9.667467581877233e-12,1.03722277888204e-16,999.999999244
4300,7.997640805170985e-05,-1.0133137938827682e-11,1.095765114745881e-16,999.999999226
4400,8.183623909865584e-05,-1.060975977529312e-11,1.1557923993863284e-16,999.9999992080001
4500,8.369606626348903e-05,-1.1097333091273552e-11,1.217304632803383e-16,999.99999919
4600,8.555588952537831e-05,-1.159587372388772e-11,1.3357125339284272e-16,999.999999172
4700,8.741570889305735e-05,-1.2105375033245988e-11,1.4877845374100512e-16,999.999999154
4800,8.927552437774613e-05,-1.2625828489186919e-11,1.643675418037975e-16,999.999999136
4900,9.113533597944468e-05,-1.3157234091710551e-11,1.803385175812187e-16,999.999999118
5000,9.299514369815303e-05,-1.369959184081687e-11,1.966913810732699e-16,999.9999991
