milliseconds,Population_of_Eggs,Population_of_Larvae,Population_of_Pupae
0,10142.929772066027,4926.155346943647,2954.2108251477275
100,9858.876694972529,4838.353646579245,2956.328939031965
200,9460.37668206304,4662.364082014562,2916.0859479020996
300,9021.348661268237,4485.656028621353,2914.7890201354135
400,8604.01915053674,4313.38479718628,2801.1813663707285
500,8325.477428509568,4229.196394091922,2801.3348366456803
600,8348.879183773239,3985.2289796072973,2742.8945455452013
700,7907.636256750583,3984.709311505437,2770.23890786535
800,7648.512509034819,3826.2960554362003,2711.5760712784486
900,7462.455846334318,3833.0885905513874,2628.8234914649465
1000,7244.12203582258,3724.7265901822702,2628.631448640367
1100,6695.6640967247595,3643.730332773264,2544.8393691237097
1200,6495.927817893487,3504.975168795386,2515.3625543631674
1300,6618.636423080191,3382.6523195993605,2512.5810969796084
1400,6145.173339013695,3352.355720749558,2411.040332367449
1500,5917.541333662144,3260.341213102461,2387.614810909418
1600,5799.6761741967275,3184.5892927676605,2319.2665222111877
1700,5885.583996395449,3259.4490132099268,2316.24980140157
1800,5697.378457594791,3102.7301459257906,2264.753174798921
1900,5511.159694788963,3076.8085263158123,2244.6714029985183
2000,5049.776831799025,3088.3901136589798,2218.3533118474156
2100,5098.447682494373,2937.6209725696276,2168.760792547824
2200,5001.5868388272,2985.927878239746,2175.141151622248
2300,4807.506191361336,2890.797249765989,2152.957760247318
2400,4836.219948734361,2839.9511241574396,2061.6031391893407
2500,4715.630584546022,2831.4073713652306,2047.6134841796822
2600,4265.463965569478,2802.493042245498,2011.4977054425535
2700,4472.117847455452,2648.692950092947,2022.415759369195
2800,4110.191383837366,2625.9520178925754,1917.576325994774
2900,4168.210915921271,2583.0430613222334,1965.4536499662577
3000,4019.123053327661,2556.7908692697238,1851.244940003881
3100,4027.8068486690945,2501.8139720905974,1879.188485635828
3200,3569.4309799837624,2540.2048144050787,1817.8851713431889
3300,3487.0894149031087,2459.8253225259655,1824.9115594611678
3400,3665.5940784431464,2371.2738007915796,1779.074674481335
3500,3665.300106167252,2473.756855173909,1774.6364105754544
3600,3280.6038777564113,2448.5727654020834,1689.682604027056
3700,3196.2930468262507,2316.067599418877,1680.332745124143
3800,3117.733473084756,2253.0218104939395,1669.2497958825584
3900,3325.2314700682614,2250.1868990710955,1678.8120945776097
4000,3308.169204566527,2274.5168226595547,1591.2508742811372
4100,2909.9885449271633,2201.103221024659,1612.6627482011359
4200,3140.068403694718,2115.4343115111515,1587.404686051741
4300,2786.6926372605794,2082.8378076367144,1527.219378638002
4400,2749.126346428486,2078.357037406,1532.3168255762962
4500,3001.339201771078,2043.6640455357128,1515.0971894434485
4600,2648.079262643857,2041.0386841556356,1482.3264887414914
4700,2621.496545935979,2060.872803058486,1431.960894701505
4800,2511.7760331479785,2084.7495075487973,1428.446285095089
4900,2746.7519274054957,2016.3324126652258,1388.011088834977
5000,2424.402552610899,2060.083172242657,1376.4742536450244
