milliseconds,Population_of_Eggs,Population_of_Larvae,Population_of_Pupae
0,9851.31514256252,5071.2565604003585,3037.255203957817
100,9704.568705408761,4728.1392448824945,2962.007295397013
200,9393.567928420456,4642.878703482926,2901.6180918674827
300,8927.193812496633,4517.975286025277,2922.7737288302606
400,8582.936896255284,4258.40838873524,2817.310595161296
500,8611.423113581503,4101.628753741131,2765.3022711799754
600,8233.190246949755,4106.6185941837775,2756.967755202413
700,7739.772362287329,3894.590885187175,2755.3927357468287
800,7809.9147019929815,3823.3683647103608,2682.6284412560326
900,7284.039125329549,3709.9171278051226,2620.66453887556
1000,7170.024381681894,3674.33971325304,2595.648621395893
1100,6984.539611069402,3633.6633035824893,2598.2998983249677
1200,6535.7972652544595,3562.4209675098737,2561.884679487618
1300,6489.5182786893565,3434.0462887780413,2527.770638884405
1400,6390.680792565434,3374.9261649456357,2405.3613383151596
1500,6272.6463414457785,3286.351064029016,2404.3073762113054
1600,5991.594506017649,3182.117308319946,2388.799587845157
1700,5767.68567326252,3201.2928407723875,2281.3874193966503
1800,5360.139975861528,3084.54338463947,2279.9537555695824
1900,5199.27388544021,3053.1318884865095,2210.077904941857
2000,5055.436589564205,2977.275779238662,2258.1871809999034
2100,4961.77494652135,3045.449539877461,2202.823510725034
2200,4813.179788853774,3004.6945110948805,2100.725137108691
2300,4811.687419705851,2814.9537159392157,2107.2751999022557
2400,4578.585001024776,2798.958738165238,2044.2201156369342
2500,4557.067327700259,2820.502349807225,2087.226097737755
2600,4552.993477317078,2761.24879222772,2022.4108123093438
2700,4442.919761165295,2688.0479107010274,1988.193609255235
2800,4103.184688426532,2710.3394776061373,1980.6624728497707
2900,4028.9788906686067,2568.8969935183786,1935.113062109749
3000,3961.13724302132,2563.156163826673,1936.031302957401
3100,3758.113446959245,2509.5991552797864,1852.4417654160543
3200,3790.554806021365,2589.770911217703,1826.6474937268415
3300,3691.744310938136,2536.1760839794256,1783.9108843118952
3400,3408.9040696354778,2407.8450029858404,1747.1068797134972
3500,3273.0690088630054,2477.7578929164733,1699.998422403573
3600,3272.0035438190216,2450.9683959342306,1705.3963193100203
3700,3486.3566359018073,2402.7894330903355,1681.0418162374358
3800,3168.4564027813553,2245.64009707811,1685.5967806063024
3900,3175.5867520041143,2305.2974550496897,1643.5298017710293
4000,3293.8764619837357,2188.904674873724,1611.2644375590705
4100,3178.950558630286,2233.986081197278,1547.4941951215421
4200,2944.7366106527666,2218.707199349295,1586.3109317877631
4300,2715.9355742210873,2160.8807392725876,1493.500056755065
4400,2873.39835827822,2122.7802762950932,1504.2038763572434
4500,2816.2707438087773,2089.0359560621405,1497.4529397186027
4600,2809.594990747496,2106.8701149117433,1481.0098599079365
4700,2626.8163697975747,2014.1439168864274,1474.8825988101046
4800,2825.833021957771,2085.980934896954,1404.1125805980594
4900,2789.287024086848,2010.7963130109163,1391.1996440563228
5000,2553.401164699559,2052.0786851632747,1361.9552527664232
