milliseconds,Population_of_Eggs,Population_of_Larvae,Population_of_Pupae
0,9934.311875205569,5008.2192730894485,2997.9842871875057
100,9848.81708007853,4787.495665130909,2950.5441417348443
200,9157.931577875848,4664.624253658145,2940.9145364474416
300,8946.906419927911,4374.016326618575,2886.4307416983747
400,8744.11400515131,4271.987809101013,2833.815506410765
500,8481.97149948192,4164.185895096735,2789.776480427964
600,8197.10945072399,3999.6004515992295,2727.5721041391425
700,7861.065739477539,3969.186007903417,2696.978405753071
800,7482.734946712777,3894.880206465287,2706.4284227035
900,7145.345214962512,3797.23305450376,2665.1584831454215
1000,7136.589997125747,3617.9565904796214,2576.6859103428696
1100,6955.136232048825,3656.1765742488114,2583.9461529864816
1200,6878.165333341376,3457.9116756459634,2476.075942334243
1300,6366.521597679698,3456.200119175864,2520.453706885934
1400,6102.395055158558,3352.080000958523,2432.7000069069004
1500,6237.560739193581,3300.8990106788565,2449.9904589297885
1600,6093.76612736077,3197.9152717857924,2401.9029570999087
1700,5514.939807673845,3215.378074515856,2363.5965486530135
1800,5600.903665018092,3105.0270631915037,2279.8697545308987
1900,5286.058313107998,3128.895711213965,2241.9689302931874
2000,5037.107828573489,3084.4288126623096,2184.0288617472447
2100,4919.120924581302,2983.843542041208,2200.521299305443
2200,5054.3807569479595,2870.4563204003393,2143.8558130531733
2300,4668.453016197365,2877.145895072657,2071.8025924142994
2400,4813.750884152051,2915.632501385887,2074.2580218451853
2500,4680.616483828517,2836.501978372442,2003.4514333528007
2600,4404.687142901138,2786.5290032459193,1997.9143529608664
2700,4415.298532665492,2690.1869525638117,1952.3907448372206
2800,3973.6621476090627,2700.2188408120887,1952.0654594046816
2900,4212.341192757492,2598.198776131551,1943.6357851229325
3000,4153.5585270547,2665.861387652904,1902.765780859468
3100,3926.186707726981,2555.6093155051144,1881.486820028284
3200,3732.5371969679695,2587.659724163318,1853.3801457515938
3300,3560.437172652523,2541.1674242481627,1801.129266999412
3400,3579.566372476455,2367.8417141795326,1785.3323138682913
3500,3313.861790629644,2354.7629398849076,1713.7231829575312
3600,3301.0109959190318,2432.6653238782706,1705.6272521756077
3700,3452.7650978636016,2263.0682319937996,1702.0851848425054
3800,3288.1157557375373,2382.4592292666816,1669.8690468217271
3900,3291.6770068600495,2269.9484386509002,1609.3879509379763
4000,3166.4399226129212,2251.0046220201198,1624.6934946746303
4100,3094.4854769269855,2210.3754401334972,1582.2920061144855
4200,3113.9735370794447,2107.525608155801,1600.1354783691563
4300,2821.529372131122,2137.0917683852117,1490.2517951502946
4400,2958.5157393024447,2147.372427434445,1514.5318078034682
4500,2654.2978775514175,2134.557146901648,1462.6381184276288
4600,2890.048244333185,2009.6764383281218,1422.6449040258035
4700,2587.536734700901,2062.388861420283,1397.543435527834
4800,2742.7881159840317,2063.7770319017204,1409.235167020598
4900,2585.463370372388,2071.354993349398,1431.145983009488
5000,2689.3178731067833,2055.0089492609686,1339.414871484991
