milliseconds,Population_of_Eggs,Population_of_Larvae,Population_of_Pupae
0,10176.07706282759,4936.049761515078,3037.4747479264174
100,9708.145126636962,4865.3782317167015,2978.3450840988394
200,9454.910534943858,4630.3975019741665,2927.588668269583
300,8929.145447425926,4399.004524160244,2891.1452922968783
400,8637.994235911172,4253.169136455564,2802.51161327552
500,8287.163892483894,4154.626531579678,2792.3604066596395
600,8309.917044662483,4034.2771451132285,2781.623040125524
700,7786.927065472671,3924.680734293862,2753.393089083214
800,7502.64940745028,3872.6704145882904,2647.1511523642607
900,7426.515982869842,3747.0759339779997,2594.7202240656175
1000,7230.746057113573,3631.462580822388,2578.8320553683197
1100,7060.730249777461,3642.6692520496263,2517.6988651206793
1200,6464.132184928612,3470.256288919869,2504.1194267875862
1300,6318.349974077776,3517.2003851879226,2485.557106696631
1400,6091.054347438749,3406.895359034876,2453.2216681836835
1500,5976.726415044185,3261.0109530009486,2368.1534269624117
1600,5994.933494024547,3199.347907214349,2341.4061410791414
1700,5720.483955537821,3234.610826075294,2353.321979322777
1800,5346.513928762136,3121.5087042586056,2329.5451766542083
1900,5372.77130650183,3151.2252177549244,2276.6337159969835
2000,5308.563352097427,2998.70710489485,2193.4593020173866
2100,4984.905598487404,3024.4824874009278,2170.5535058511114
2200,4983.597824070802,2991.161120809121,2104.956270486372
2300,4671.912014169733,2834.309456528519,2113.348090653975
2400,4542.82769579825,2773.5595535802217,2035.616644492052
2500,4700.586610207054,2829.8979060577863,2082.696951722898
2600,4603.123694544888,2688.44017566455,2059.331507129579
2700,4361.778646301892,2671.4945842709885,1935.9067755559772
2800,4277.495637651554,2645.223375234097,1934.1710413808898
2900,3925.1776983808645,2632.4347427832467,1903.1236261002366
3000,4124.904013370787,2508.536848802189,1882.774307848544
3100,4063.2213768640554,2552.4422115323337,1838.18252736174
3200,3661.741653198242,2505.3826608268914,1790.0680618467431
3300,3865.322144537408,2415.11930350547,1785.634349825228
3400,3661.8817976006603,2425.8083411738507,1743.3811482503975
3500,3303.936071398781,2444.8489166667273,1759.6261215477873
3600,3215.093986345307,2396.4286731544394,1727.047671376039
3700,3140.175305589055,2345.5698709023277,1715.6321710095847
3800,3298.6609121890806,2279.308344090976,1672.3490857841873
3900,3016.2723951414914,2308.444878626974,1662.1521407978157
4000,2969.628061639143,2228.890856528222,1610.6440878874287
4100,2851.631884924129,2233.097613581554,1628.8750278006698
4200,2801.7371535779557,2236.1981645590267,1523.0334532761144
4300,3035.9244952800436,2192.877581397271,1553.301774926304
4400,2834.803082143307,2141.032416547195,1520.4489590039223
4500,2967.1344369726503,2172.365369533976,1461.0862149533748
4600,2632.358310639429,2151.302416438578,1463.1377713135876
4700,2619.687960526588,2122.7437977806844,1419.1624945620083
4800,2760.5887385128112,1998.1626753102923,1461.8156802902754
4900,2731.8967671864875,2079.2900156459623,1440.980386586217
5000,2467.439283953959,2044.8262650475108,1392.2725611680949
