milliseconds,S,A,D,L,T
0,0.10213782503788177,0.00026835273837641884,0.00011927959860153312,0.10029577524862858,-0.00016050578520022417
100,0.1039287198645067,0.0003793258180972128,2.7482567721363507e-05,0.10015833885432743,0.0005678740182658148
200,0.10430292624788352,0.003642277569808349,6.723500608884947e-05,0.10136024783446249,0.0007807523086647854
300,0.1080423156361486,0.003908868569262929,-0.00045108590331389086,0.10195923775347204,0.0016346379424567817
400,0.11590218167034881,0.00590879646751168,0.0008768709944880623,0.10214329591573075,0.001740218370726126
500,0.11781560555309809,0.006898194658806119,-0.00012971417381605374,0.10308726469552404,0.002577676953003891
600,0.12360531400789028,0.0073168429895018264,0.0016506876469202475,0.103460258369028,0.002736755723565659
700,0.12220830192153719,0.01145345805761875,0.0013002619074411826,0.10417749726535672,0.003055994628824415
800,0.12857917929820134,0.0132660840610705,0.0026580441725972516,0.10451009226583984,0.0038610884946215255
900,0.13137756110464985,0.013337149057742716,0.0016396925091313691,0.10540841060100871,0.004009832597388117
1000,0.13273936496474806,0.01520309949736593,0.004200312283141991,0.10560106936968171,0.004313017929595962
1100,0.13584285407436048,0.019206546317608365,0.0028914664490147703,0.10625159779332413,0.004865540895995297
1200,0.14514203143068796,0.01830930101954316,0.005230683533146508,0.10738441595614362,0.005238045746451156
1300,0.1459785768164693,0.02219916393881354,0.006368152616996505,0.10735482254087945,0.005663215361960132
1400,0.15245674947950436,0.025171599338535067,0.005259883240181868,0.10813623384449891,0.00590084568514877
1500,0.15870130154834294,0.02378246023813671,0.006906209416902577,0.109367797514387,0.0062638095708466525
1600,0.1597115531905673,0.029060176484896835,0.007494639801111748,0.10936143094876717,0.006697366171495973
1700,0.1688047181144578,0.03085570891828881,0.009720793162706128,0.11056413993346699,0.007085196840527104
1800,0.17077622934466258,0.033335003384546806,0.011117602215333786,0.11088953588055436,0.007485273738770502
1900,0.17401825315068697,0.03413525842363997,0.011171062028962604,0.11128189981634518,0.007835041833875084
2000,0.1798508663754561,0.034724577227912744,0.0128118337389324,0.11250058048359536,0.0079316973510916
2100,0.18492283914295954,0.038713206270100664,0.01465196663384874,0.11267714016453191,0.008542305267227088
2200,0.1862240113148284,0.04124819154261037,0.014795389386100578,0.11325264520075035,0.00867474693743066
2300,0.19707115241282028,0.04147238023581068,0.015211527158946121,0.11428695120618035,0.009148707389484463
2400,0.1981929099653888,0.04440203553000329,0.01719696274373232,0.11447620177855132,0.00943197854217706
2500,0.20583244893858627,0.04781313222384836,0.020194725138281966,0.11501458572181487,0.009400566191157051
2600,0.210082532441265,0.05051556110542013,0.02185687855902131,0.11607165985261568,0.009747980505642346
2700,0.2146591158877188,0.051988038379970535,0.02277178065937299,0.11696580101654243,0.009932425361807084
2800,0.2224523600501818,0.05640373381529308,0.0252163395768403,0.11737643464732885,0.010563999069867904
2900,0.22309515306033958,0.05876788596759393,0.025336226099200842,0.11838903769801065,0.010483539347383377
3000,0.23539120695402535,0.061357156543918996,0.027306765366604493,0.1190183202623732,0.010964552589298059
3100,0.23584389249550763,0.06274964296836327,0.03040293538793041,0.11948437543000695,0.01100512459216434
3200,0.24152894594978622,0.06726765714297397,0.03281441301229979,0.12025971253225405,0.011489728500284874
3300,0.25044964058765684,0.07050743802495149,0.03517490585055375,0.12093191521195647,0.011522322753325034
3400,0.2513035595071505,0.0723537535975977,0.03709180619689855,0.12142415969861985,0.012066435405335415
3500,0.2640831472578208,0.07675287531324045,0.03870823886340357,0.12194654092761437,0.012295783238099966
3600,0.2662815926608008,0.07931408410167555,0.04023188143085206,0.12257269522827598,0.012294807682173003
3700,0.2756830157524808,0.08188883189091106,0.04244545571149366,0.12357780756243114,0.01275861775863549
3800,0.27663368113137826,0.08469791457157387,0.04616279550356239,0.12391066892844485,0.01281036256545925
3900,0.2864043952909257,0.08716028467205977,0.0485657777683643,0.12466181558799003,0.013070009934402108
4000,0.290591330455539,0.09107786554597931,0.05108435611497072,0.12536027890149132,0.013420614734851203
4100,0.2979529693301145,0.09418563259661306,0.05351963858755105,0.12533849140759046,0.013793097521454956
4200,0.3038239860055727,0.09612899947722708,0.05502204579813004,0.12684618012524324,0.013978347892075573
4300,0.3088911769694104,0.0994343993167514,0.05835422903758519,0.1272877600267308,0.014106401446675144
4400,0.3207417444776847,0.1024031176355176,0.06189594547030191,0.1274650277821263,0.014072864675762128
4500,0.3261286070781795,0.10771278645564364,0.06362205921385591,0.12856429326555738,0.014577365134123695
4600,0.3284057635728192,0.10927300433751304,0.0663155253202802,0.12865371799534994,0.01473051792372102
4700,0.334618306854208,0.11143747820349172,0.07039756398425566,0.12932266617431595,0.015013129878473407
4800,0.3459851399623597,0.11563926621680906,0.07364423231495415,0.13049362908754938,0.014951022726084917
4900,0.35078057113521643,0.1192114070444519,0.07621313849584656,0.13052876479887415,0.015119930002016715
5000,0.3535349688501376,0.12298117682262512,0.080548888394298,0.13121506408344077,0.015235909415705007
