miliseconds,S,A,D,L,T
0,0.10247807601101423,0.001236661845596143,-0.0004607948213680752,0.10019022801782608,-6.926505894897933e-05
100,0.09947551766654515,0.0027397669907922822,0.0010771107805694598,0.10094723306023512,0.0006205980742593687
200,0.10712003466105749,0.00278346721768034,-9.413750948564033e-05,0.10080910736288992,0.0009267260250010918
300,0.10795343563020272,0.005189558701303843,9.526257379662668e-05,0.10172149625916153,0.0015605756333341824
400,0.11382777840928385,0.007537440077348927,0.00026264557820888744,0.1018561339115963,0.0016839880888534417
500,0.11738655393998142,0.006531405201548945,0.0018452112111991843,0.10331896095402164,0.002135735743624634
600,0.12368402118658403,0.00747643425813254,0.00016054403076493204,0.10369343435132411,0.0028605981010275477
700,0.12202021843238155,0.010464867911440976,0.002202707285435013,0.10371895153721492,0.003300197534691807
800,0.12365688444251938,0.011750682455191591,0.0025174671235623555,0.10448337824994308,0.003689324236528152
900,0.13281830820137186,0.015079169098262854,0.003016743412662031,0.10486896990668934,0.004259020762887164
1000,0.1327183587635594,0.01584518400365799,0.0023357860131818383,0.10585520558426009,0.004427626944975635
1100,0.13667993129193154,0.01783831930413598,0.004143471951840868,0.10610941073935949,0.004819988932577864
1200,0.14659425716543698,0.019235231422743446,0.003803193015372718,0.1068157291866213,0.005014635970488164
1300,0.15026586423979207,0.02026235060752399,0.0048333843132564265,0.10807631542362996,0.00581109330509204
1400,0.15530154502775864,0.02411678233379674,0.005055576758205807,0.10837091217431752,0.006151328463561212
1500,0.15368526599339669,0.025883818868885796,0.008004556005917313,0.10935245676894864,0.006487984256605681
1600,0.16091060921925623,0.026098351803731344,0.0078759412065319,0.10918320553134457,0.006500369887833329
1700,0.16465094813736023,0.03136598119110441,0.009220032232508323,0.11061229942964029,0.006950444821665378
1800,0.1696346024678916,0.03307991927649864,0.008807924171217615,0.11045585909481642,0.0071610692768545895
1900,0.17708393340139245,0.034837678641627096,0.010452662271309488,0.11131139679740606,0.007586965885720741
2000,0.1778236752371528,0.0376549673237185,0.013531096976639923,0.11234903752465031,0.00802793346011168
2100,0.18714850547316142,0.03700292773980781,0.013139842342697865,0.11280081691369626,0.008436997660760627
2200,0.1877009309359942,0.040920801376114285,0.015568918809047804,0.11301335669823777,0.008556839833007953
2300,0.19137046409866157,0.04369702852892769,0.016403143395873815,0.11410377679551513,0.009085709526888938
2400,0.2028977666435655,0.04540235976145889,0.017338914453915163,0.11484809516835567,0.009300114348853326
2500,0.20323108090347344,0.047289589111431676,0.018982504909336284,0.11538363734020236,0.009753951281887597
2600,0.20908958630254554,0.05179408111987222,0.02112214115524891,0.11588470343988982,0.009875727676653425
2700,0.21339164544500597,0.051758014223247564,0.023669444040532898,0.11679427121436202,0.010000472672873902
2800,0.21705796758114487,0.05733315528109697,0.02345009893513823,0.11737371816048722,0.010341993441253217
2900,0.22710902191618756,0.057794849709253325,0.025433352078804677,0.11810918669148494,0.01085548183333065
3000,0.23299339407577843,0.0607362375988982,0.028699302178071075,0.11852362913249398,0.010782815424977636
3100,0.24018116047388363,0.06407389335076892,0.029685358481781488,0.11956528501196188,0.011390930308967118
3200,0.24052971499529172,0.06567602034434336,0.03186190041109301,0.11972802804420181,0.011351795604340223
3300,0.24652577667475595,0.07091217305107174,0.03289892792497469,0.12068539964221792,0.011770697666332526
3400,0.25678637663268467,0.07385754174136588,0.03720596033268204,0.12121580085047093,0.012164320245720199
3500,0.2616853884163954,0.07318792602716918,0.03742833435911219,0.12174477973047497,0.012395262089099872
3600,0.26824087221589393,0.07744058247991976,0.04134075979134201,0.12280069154640798,0.012470331863985783
3700,0.2766812350747084,0.0813766011339206,0.04429431996996172,0.12279964866079959,0.012633771290590895
3800,0.27536603147995103,0.0845085102756527,0.044464002340854895,0.12398179635594862,0.012729517643183367
3900,0.28524445662864234,0.08890720460916868,0.048979554432417687,0.1245238886453795,0.013253744505975976
4000,0.28831990891391274,0.08886134856438115,0.05038022283818535,0.12482693907068038,0.01319222282194757
4100,0.29768574993424274,0.09197605459478213,0.05251177217638729,0.1261310208102275,0.013777196626267717
4200,0.3019048316765101,0.09843018147485405,0.05542308422142562,0.126626938926505,0.01403513811708041
4300,0.3066818257222109,0.09911205942653849,0.059745361410620014,0.12742005951157293,0.01383462181190469
4400,0.31328765675643944,0.10440806380721547,0.06055538716745949,0.12797578759120545,0.014028767945316965
4500,0.3264582036715434,0.10734034891701738,0.06448617163492348,0.12813779258494765,0.014249881696724354
4600,0.32831063623770823,0.10884074379146563,0.06838729444365926,0.12883535431413637,0.014837212836478889
4700,0.33856759551317117,0.11445452621498796,0.07115468406773662,0.1292010830455516,0.01467522759181699
4800,0.3425734266921238,0.11632718775587435,0.07361668291574186,0.13054949818428288,0.015189685858050032
4900,0.34959034882340756,0.11911732630672384,0.07660142752991966,0.13070281591734395,0.015037369273410416
5000,0.3533617260535429,0.122503707424016,0.07865311240976879,0.13145374451566544,0.015598668456748723
