milliseconds,P1,P2,Target
0,9.986216635712097,9.997606775956223,9.970807647790005
100,9.988278137667148,10.008147620445511,10.05174837844403
200,10.094814737589049,10.171911476213896,10.179481039734277
300,10.167354115033488,10.202944158160811,10.088504139276466
400,10.219569259498636,10.229377139932334,10.216496824241434
500,10.289616610770905,10.220974657096427,10.321990436443889
600,10.2917531912469,10.295974614322954,10.332106381229334
700,10.305986483270619,10.419149834897642,10.339153229425674
800,10.372413749282057,10.458440093476199,10.347178335687362
900,10.545700101032603,10.533392225276994,10.454867016649306
1000,10.53574980198226,10.567152646391515,10.502125329258881
1100,10.618642138785166,10.603446522023036,10.506279569957472
1200,10.630804281849304,10.669191748117319,10.69196564655761
1300,10.616021501996896,10.644812328178746,10.765430790533804
1400,10.671480127706683,10.739890476832379,10.776089669425392
1500,10.794411191107807,10.732825420290377,10.846822054910279
1600,10.82853734074635,10.869113766208253,10.925831409772352
1700,10.867467656096604,10.832805089724927,10.911025760754626
1800,11.010280083330878,10.952905597147582,10.88992201792621
1900,10.935295212576474,11.078914389474594,10.955655624362148
2000,11.005347021086077,11.028979546553728,11.005688685977775
2100,11.043015851322656,11.045025463450536,11.146924458167105
2200,11.137436196900959,11.133522938955807,11.144574587425476
2300,11.284952478880424,11.237092141327462,11.296149688632235
2400,11.26361191891575,11.194185922998384,11.328036153652038
2500,11.306666756569554,11.320329310722524,11.3119952494024
2600,11.457307448881831,11.412222374594666,11.31946076016198
2700,11.489167229567705,11.485942531289073,11.398523208284315
2800,11.448777102588776,11.516591529368105,11.555757308354135
2900,11.607573481397296,11.484592801722576,11.578020735764007
3000,11.601867966487864,11.637332584522436,11.53460179414867
3100,11.627246145554718,11.664826260596984,11.705155597506321
3200,11.654438371011908,11.642017683701178,11.725478442652093
3300,11.79904627473377,11.801840776567419,11.714187599475126
3400,11.8191195609232,11.793872882278466,11.73365981314989
3500,11.8041658529952,11.811942650477414,11.9138033396718
3600,11.960540683542732,11.847281732466879,11.981416110142552
3700,11.9553234732256,12.019614820313004,11.911672179454643
3800,11.972655026838337,12.088799008388378,11.99017294870643
3900,12.098444948181601,12.081225395923843,12.093630914332703
4000,12.064819851038894,12.154054176073885,12.191103812425013
4100,12.112468795494518,12.156440550547936,12.145612563104523
4200,12.243197779958699,12.304241337538343,12.192854364205143
4300,12.28239537769567,12.333423733342359,12.342361321938073
4400,12.314728574183011,12.404277850898,12.308088550750085
4500,12.433418676820125,12.486098349779795,12.393746649853679
4600,12.46297208692736,12.515848248981733,12.482454037244858
4700,12.515085162595414,12.484299340044643,12.453281534258275
4800,12.59612291501508,12.549515191465222,12.642669999850868
4900,12.677358837854616,12.557793508081426,12.668690117107555
5000,12.701889261406224,12.625600470690776,12.701409646957655
