milliseconds,SPB_B,SPB_T,Bfa1,Bfa1P4,Bfa1P5,Tem1GTP,Tem1GDP,B_Bfa1,B_Bfa1P4,B_Bfa1P5,T_Tem1GTP,T_Tem1GDP,B_Bfa1_Tem1GTP,B_Bfa1P4_Tem1GTP,B_Bfa1P5_Tem1GTP,B_Bfa1_Tem1GDP,B_Bfa1P4_Tem1GDP,B_Bfa1P5_Tem1GDP,Bfa1_Tem1GTP,Bfa1P4_Tem1GTP,Bfa1P5_Tem1GTP,Bfa1_Tem1GDP,Bfa1P4_Tem1GDP,Bfa1P5_Tem1GDP
0,5.982969595953543e-05,0.0001547395910131195,6.2827775699471115e-09,-3.759611098128661e-10,-6.302672614857747e-16,3.4762388150038634e-08,8.093092417408034e-09,8.343908245754714e-05,-5.736533449952669e-05,3.6017051640041683e-08,-4.201621576795045e-06,-1.7298053186860777e-07,5.173172854841739e-08,2.3720982523838547e-06,-7.361160848938369e-08,1.46750484445504e-09,1.162673038644239e-05,3.550742013944972e-09,-9.641789739258313e-09,-2.398512195874789e-11,-3.892554762490808e-15,-1.2238313395274552e-09,-1.923724600896929e-10,1.1038502663107842e-14
100,6.783897110877794e-05,0.0001628799462587183,1.2137511211135973e-08,6.863533613442416e-11,-1.6239625186177283e-14,4.796451301141174e-08,8.010014377191092e-09,5.28049153289195e-07,0.00013648189026188421,2.3170708961816446e-08,3.3605063560866773e-07,3.981115798126809e-07,1.6744239007381337e-07,8.745647560865246e-06,3.762732793902274e-08,3.2036449811048755e-08,1.1285643846202159e-05,1.3896305783328746e-08,-6.690448476921912e-09,4.105851553020699e-11,-1.1678343350156719e-14,-7.89928690882587e-10,1.3220254105564538e-10,-7.59744885482033e-15
200,6.214039117534029e-05,0.00014792766268576917,2.606406598583906e-08,4.2128779412530686e-10,-1.4369180763613812e-14,4.2285538765855206e-08,8.145150846051884e-09,4.594174354799027e-07,0.0001165336281047899,6.541458813911097e-08,7.184840671639501e-06,4.232420778378281e-08,2.919797814819895e-07,1.3562623653799085e-05,1.5061662381703222e-07,4.918819794126278e-08,2.0866027233568815e-06,3.09781007933553e-08,1.4270536525484161e-08,8.379908741942428e-11,-3.045047661629678e-14,-7.259518711335085e-10,-2.5979432098029423e-10,-4.770718665912127e-16
300,0.0001068461101341623,0.00015854114739941835,7.474416890981753e-09,6.230813324979628e-11,-7.07540379741202e-15,3.892676377821496e-08,7.223804937432833e-09,-2.643665210504585e-07,-1.513799643703583e-05,2.3630042588148696e-08,-1.3265471626695874e-05,8.835102585964684e-07,3.6068446584858394e-07,1.5019728800736475e-05,-2.897705204229086e-09,6.131369098283852e-08,2.628861935448324e-05,5.02654071861927e-09,-5.314136329714233e-09,1.604159221647215e-10,-2.6198195775715455e-14,2.045526437605566e-09,-2.6483799654090694e-10,1.0606989375471712e-14
400,7.414207563470851e-05,0.00015233787169567956,1.8476877423283696e-08,5.629590915417712e-10,-1.4460777417167476e-14,4.322186425134589e-08,5.746363536910048e-09,2.3816475492325167e-07,-9.544737737762544e-06,-1.064143225900269e-07,4.899700495075159e-06,3.829453805027914e-07,4.614255036908827e-07,1.961109860794925e-05,5.472446142308077e-08,6.901917120899241e-08,3.026383584642679e-05,3.9816714025160134e-08,1.2187624754896568e-08,1.5645280937589447e-10,-3.849063064045853e-14,9.894765331793256e-10,1.2484329124467555e-10,-6.2094188988914446e-15
500,7.332554232385112e-05,0.00014535039374604224,1.873305918266634e-09,1.422715317962331e-10,8.81408659457608e-15,3.226558384613857e-08,5.294460556462783e-09,6.362146666187215e-07,-2.1067076532477025e-05,-1.4119896719723554e-07,-6.775687971933389e-06,5.987182860947624e-07,3.842490037092881e-07,2.0306650523461167e-05,1.5607052104173731e-07,6.865111057611897e-08,4.098779935707357e-05,4.342068811298998e-08,1.0297337096395206e-09,1.8150435748814776e-10,4.607268286249778e-14,3.337205910004392e-09,3.6030745932575017e-10,-8.517054923052057e-15
600,9.551471358751405e-05,0.0001596616730982122,1.699332591363544e-08,6.664599811911112e-10,1.0870988274356816e-14,2.6415771937575753e-08,6.737144513281032e-09,-7.732688592014808e-07,-1.6127216699183618e-05,-7.09632039249007e-08,-3.0513766138259006e-06,3.874135355543728e-07,3.790906472265212e-07,2.419098866303932e-05,5.085784285494274e-08,6.477498802132779e-08,5.569343624502511e-05,4.622676261694691e-08,9.336128739563367e-09,2.350579910315218e-10,1.305591159386195e-14,1.6466425788872098e-09,1.5696610818227732e-10,-1.0580779074094658e-14
700,8.371231105665679e-05,0.0001552591034984251,-4.086595537978527e-09,6.501824030373468e-10,9.349271395293436e-15,1.2912026736596638e-08,5.60512112331121e-09,-1.5640071204972034e-06,2.2606835763979867e-05,-8.555355218760685e-08,-1.1727090189698593e-05,3.6146674784334187e-07,3.9882681909859266e-07,2.594991832702909e-05,1.8701563998500535e-07,6.225286934658996e-08,3.3586727781488476e-05,9.932944531154974e-09,4.399035359325547e-09,1.8335610927661953e-10,5.878443768764383e-14,3.7865773686878e-09,8.917223302299276e-10,-7.575656409664311e-16
800,9.089702697473213e-05,0.00015561272383817734,-2.0226509621544473e-09,6.556211721524555e-10,7.819299048403412e-15,1.8697347402500018e-08,4.9142195280626415e-09,-4.058634453113147e-07,-1.1814903811049262e-05,-1.7966399209706758e-07,2.0022130197511712e-07,3.0764433016228257e-07,3.7584700415893997e-07,2.6682625854529215e-05,2.943041315626855e-07,6.043183552531515e-08,5.278490468092778e-05,3.6083622290690775e-08,2.214498750356599e-08,2.2487563224881028e-10,-1.500727943661599e-14,4.386493602410214e-09,1.3990494692944335e-10,-8.023113510394785e-15
900,9.39457374252781e-05,0.0001675432594567911,-4.553715403732885e-10,5.150317137646307e-10,-2.344460403381948e-14,1.3923103632730139e-08,4.960588092528787e-09,1.457956387795437e-07,-6.188529421941953e-05,-2.545215852302391e-07,-1.6194390320921456e-05,2.5277845636957146e-07,3.4248782588944864e-07,2.9089511484492028e-05,1.6035076291332793e-07,6.399661644995209e-08,8.08669928872039e-05,3.879932114054046e-08,9.966977220153376e-09,2.423142485207833e-10,4.640098671013159e-14,4.192656255263302e-09,8.012506998406349e-10,7.404273432349036e-15
