milliseconds,SPB_B,SPB_T,Bfa1,Bfa1P4,Bfa1P5,Tem1GTP,Tem1GDP,B_Bfa1,B_Bfa1P4,B_Bfa1P5,T_Tem1GTP,T_Tem1GDP,B_Bfa1_Tem1GTP,B_Bfa1P4_Tem1GTP,B_Bfa1P5_Tem1GTP,B_Bfa1_Tem1GDP,B_Bfa1P4_Tem1GDP,B_Bfa1P5_Tem1GDP,Bfa1_Tem1GTP,Bfa1P4_Tem1GTP,Bfa1P5_Tem1GTP,Bfa1_Tem1GDP,Bfa1P4_Tem1GDP,Bfa1P5_Tem1GDP
0,0.00010704724340273377,0.00017325154847709073,3.294615448400661e-08,-2.978073921858591e-10,8.85400527502432e-15,3.4338610993896624e-08,7.654189267017365e-09,8.301958643789706e-05,-6.794433470856479e-05,4.432343739826583e-08,-8.310049699850838e-06,2.051188082074623e-07,-4.362365990698747e-08,2.986652249181606e-08,-2.00733467559772e-08,-1.106154086165631e-09,1.817687795989735e-05,2.93858184612422e-08,-1.085614287025669e-08,3.7096029508886885e-11,4.8304465214587765e-14,-1.481481391716953e-09,3.871747178094567e-10,8.872031553956118e-15
100,7.393193612810915e-05,0.00016431967081623395,1.6312207476898453e-08,8.541793261624602e-11,1.0205810935261786e-15,4.837469864997367e-08,8.40636059383871e-09,9.024163292060918e-07,0.00013383520380152043,8.542350506812678e-08,3.729315560752675e-06,6.937091367707766e-08,1.5854910955923823e-07,9.771833248646034e-06,-6.787136708944229e-08,3.096855374476426e-08,-7.977611585756737e-06,1.7242689800491714e-08,-3.064886264898701e-09,3.4653112855507714e-11,5.709683450102943e-14,9.191561708860472e-11,1.7650024842791826e-10,-1.1848979169163032e-14
200,0.00010762160076912685,0.0001517205937128095,2.932566200122919e-08,4.886700762182919e-10,-4.434256759106123e-15,4.477536620283786e-08,6.5954936587309806e-09,1.4015886238675671e-06,8.509296075607888e-05,7.018908503815006e-08,1.6906128039012396e-06,6.342790998203034e-07,2.767554983589375e-07,1.3750331055671458e-05,1.1971693312134732e-07,4.688719825464838e-08,2.562637160292488e-05,-8.247084397394434e-09,5.084594114128974e-09,9.296801480604435e-11,5.442603794836038e-14,-9.652495870074655e-10,2.418537922015093e-10,-1.1433026679779966e-14
300,7.047496713150357e-05,0.00016606319038306637,1.77202112696788e-08,-1.3331472486250644e-11,-9.18618959997721e-15,5.6538134277053806e-08,6.304001673303494e-09,1.1261325633098324e-07,8.499506705541798e-05,-1.3664605848377424e-08,5.817101285638378e-06,8.719800457638847e-07,4.07074942397971e-07,1.3786823137047259e-05,1.5823871574504496e-09,6.22717882962656e-08,6.881336454324607e-06,-1.2960100189323673e-08,2.7496156335920017e-09,1.5136650929638914e-10,2.1403941020092142e-14,-3.2515958875489504e-10,1.6377351639818596e-10,7.91541360348002e-15
400,9.535529602290417e-05,0.00017773353483030213,2.089904825506711e-08,2.6460231654951698e-11,5.375573964721525e-16,4.532748891246463e-08,6.4307752636015344e-09,1.182834341330199e-07,0.00010868097429238995,-2.5448619444443646e-08,8.263628576945782e-06,7.994535045794297e-07,4.547746677995942e-07,2.233172709552912e-05,2.282227206684695e-07,7.072369193934758e-08,1.4199692974981008e-05,2.3744022914859466e-08,6.639338711395788e-09,1.6405889565881985e-10,9.550062230469449e-16,2.9351510634438134e-09,4.078952426327488e-10,-7.147218203721528e-15
500,8.243446997668386e-05,0.00014301653069209575,-5.487034842590688e-09,5.793653898702201e-10,-5.20344949014392e-15,5.1758037267436897e-08,6.663059301272543e-09,-1.3975911541733447e-06,1.525431529393338e-05,-6.662891841802865e-08,-6.027668247211722e-06,9.064317271028447e-07,3.665746331089325e-07,1.884625868067299e-05,1.796025592051119e-07,6.52666690855946e-08,3.434324588302525e-05,2.803654430102921e-08,2.040988690518592e-08,2.3476547746223473e-10,-5.290523416232169e-14,1.0490611330963409e-09,6.267771846413878e-10,1.0214125860628981e-14
600,8.233458509546119e-05,0.00014457916020232416,1.2020239929296371e-08,6.828992803723412e-10,5.316619167747226e-15,4.535074107524577e-08,6.03234555322895e-09,-2.1584526165952556e-07,1.4606944486890994e-05,-1.4605712156923114e-07,-2.626973894147971e-06,8.785641151509465e-07,3.937196115864462e-07,2.3867280688020665e-05,2.5959298686897067e-07,6.651648932998469e-08,5.584867701845522e-05,3.3975037971361866e-08,2.4450744858107515e-08,2.1947251542312594e-10,4.834988021813799e-14,3.3947796733614185e-09,2.776910849199226e-10,-5.010824335203144e-15
700,9.408488417620746e-05,0.000181095134652286,-1.356578121640333e-08,3.6953369259575807e-10,-4.755547346928696e-15,2.097795876131602e-08,6.1509268704429605e-09,1.7977942955040294e-08,5.4235121683019805e-05,-1.1703218889062884e-07,5.264850895214886e-06,5.554449014162869e-07,3.549366022873706e-07,2.2144543381027047e-05,3.200458160765401e-07,6.762433086268006e-08,3.3753834721229955e-05,4.4168011726415676e-08,1.3508096432722574e-08,2.015931440018497e-10,-2.864912600937814e-14,1.9928735569286603e-09,3.7959798495497804e-10,1.3121295782768983e-14
800,7.296510177078267e-05,0.0001603454140250118,-9.00054168301114e-09,8.168445269988278e-10,4.616974201616227e-16,1.5922290673833406e-08,4.0209028575201964e-09,-1.5921481746053902e-07,-2.3929106919617163e-05,-1.3827777930566238e-07,1.1034328091769291e-05,6.949218926974689e-07,3.443197602050133e-07,2.6482837443632393e-05,2.585300975100875e-07,6.299035462229156e-08,4.108315295825181e-05,3.5033663007495464e-08,2.4436720063617573e-08,2.0574429004156757e-10,4.615650750115086e-14,4.909150431396291e-09,4.5111573962447777e-10,1.5906290651996216e-15
900,7.628939642724487e-05,0.00015724501729454744,-1.4331649179723731e-08,4.035482473165204e-10,-1.2927603511922002e-14,9.58308981078571e-09,5.4872705690411195e-09,-2.490488100185555e-07,-1.2512067389830483e-06,-2.2120739217273355e-07,9.419328568138154e-06,7.742588357947936e-07,3.758547929218378e-07,2.628654412397395e-05,1.9826997170054965e-07,6.482908479571856e-08,5.968131803928312e-05,3.989582193280674e-08,2.9462778428513362e-08,2.481768479183239e-10,-2.557740742089745e-15,2.6713751875826927e-09,2.507892000397202e-10,-9.099463417070646e-15
