milliseconds,Pancreatic_cancer_cells__C,Pancreatic_stellate_cells__P,CD8__T_cells__T,NK_cells__N,helper_T_cells__H
0,1001480424.6536549,5626443.996140669,706166697.83035,352894561.96719116,1864444720.0219824
100,1002448283.4054793,5741089.593059007,675106766.475089,352483732.04092073,1868299012.6588094
200,1003472346.5866108,5658529.004321115,672805517.6236477,352370334.69307446,1857711071.7344062
300,1002955851.4195102,5887003.695406938,662909219.8341373,351382754.83109957,1836608898.325151
400,1002854070.9670489,5897960.475382609,638504793.0042521,351340563.10359406,1810084040.5322309
500,1005139916.0839498,5906051.922691803,627036168.1396486,350502334.34701705,1785564101.6663709
600,1005802255.5106101,5908451.179029149,606142682.0050484,350173991.7791125,1775291257.2159781
700,1008276745.9700218,6028188.080428624,602868826.7243751,349765520.24592996,1761372276.1898105
800,1009273933.1408254,6101737.816342851,600608170.3337044,349618617.3950528,1762440609.173049
900,1009644586.3806018,6161669.183304597,574490802.5721816,349888583.0635207,1746192623.0385845
1000,1008994826.9977126,6210496.509378226,570270681.7389549,348942036.9903525,1739428135.924516
1100,1012980337.6111203,6358882.503997921,560527833.6118942,348649665.66383815,1720492383.61203
1200,1011555508.9572114,6433409.272210484,538861321.063502,347910146.8777862,1686993345.6680763
1300,1013451157.9664278,6408418.712553738,548562229.413918,348200422.25225466,1694584164.766397
1400,1015320972.8524841,6369700.44085261,533485043.30397266,346932769.3946328,1672475203.2869596
1500,1014680796.7764285,6552210.085579065,526882497.5857784,346561822.12407666,1642491366.3345757
1600,1018340728.125082,6514709.763904976,516712778.25189227,347146368.974682,1652022099.8814392
1700,1019569573.8353965,6725269.498338434,492975171.8192918,346451055.8271219,1640614309.3701649
1800,1020598650.3209717,6663717.945057227,500911187.3595172,346130803.5411012,1624636631.0922284
1900,1021421784.1352103,6829132.880148011,485457521.0521065,345084396.7137972,1604293422.9642751
2000,1021824600.2485155,6959215.72568095,473230202.2534938,345459548.57180667,1591056465.356596
2100,1022872843.8354806,6988292.2067676755,474569540.41914475,344820080.65819854,1591769547.312234
2200,1024529026.1148689,6986978.628025946,466008441.35671675,344289999.32925475,1561089903.4512584
2300,1024204410.0172076,7035641.89077372,451678255.19712603,343424972.0816284,1558522868.8364766
2400,1025115315.4266399,7127402.639831408,452066465.25585145,343498368.84244925,1531228925.6521368
2500,1026818553.5598093,7369262.219902142,441035312.6766301,342828677.7474708,1544934238.9191687
2600,1029745802.419239,7393372.853528971,443385623.8769686,342708016.90938026,1515428219.9883282
2700,1030037237.9896022,7426394.904079335,420723399.54412997,341790688.57608396,1519945338.2455366
2800,1030940606.0050822,7537900.499269448,419573594.57717204,341482609.5056469,1514815592.0074286
2900,1033142420.8839238,7527181.170528258,428265819.4302533,341034700.82314736,1500223929.5688527
3000,1032102112.3392112,7554326.5751395235,412497006.46165043,341666412.81657445,1472311426.0136878
3100,1033690635.3601665,7680945.602830732,416996125.0499553,340207570.4877236,1464882477.8441234
3200,1034866375.4453543,7894634.026668271,397547925.3583956,340280150.45242655,1442032095.2912374
3300,1037710700.321693,7793228.059715744,402413576.6288825,340397238.36204034,1437841493.1087084
3400,1037071362.198787,7876132.516158816,400931790.6525625,339078418.33665967,1429871776.799952
3500,1039284900.0117788,8093228.961575672,388198886.5329289,338681819.8131348,1420398068.2207272
3600,1038781613.7793168,8105223.839364263,388677220.77950734,338173117.9646683,1431564219.855322
3700,1039813006.0773903,8287027.491239976,370718396.3030278,338829342.70734143,1413812991.8725047
3800,1042106471.7700157,8394759.031400107,361231285.7279315,338346033.1965632,1411641893.8569946
3900,1043040710.6948277,8496500.353125868,362908376.3324872,337925467.1743736,1394294861.180401
4000,1043716399.1654221,8568949.864517173,358787461.5883309,337116649.0898839,1361177633.9961815
4100,1046505576.5338681,8681266.829115422,356660426.9083021,336313861.5007059,1384830560.3174722
4200,1047788954.5507464,8768681.971661424,349518818.873928,336591602.72942454,1342027992.0094876
4300,1048619898.5911914,8834179.045413772,359201331.99454105,335820664.31847346,1348325180.9327958
4400,1047885060.7418939,8817740.733900389,333981196.2475661,335883148.2698606,1326435048.9824362
4500,1049461607.7976089,8844765.916759245,344487954.18759173,335054367.0555986,1349754732.8515084
4600,1051310470.5908837,9026785.16755764,335739817.94206583,335169182.52936316,1332324312.8340707
4700,1053140741.4437417,9067584.79950041,335347741.8143626,334371696.0805862,1311019203.6939821
4800,1053089908.0159072,9249483.450204303,335591992.2130252,333489293.6615069,1293619088.6626008
4900,1054244456.6043793,9326611.670624398,321067956.045904,333105787.96066123,1315549688.3025591
5000,1054651573.4858772,9444466.144789705,329574534.02648336,332535179.03970736,1305821032.567253
