milliseconds,Pancreatic_cancer_cells__C,Pancreatic_stellate_cells__P,CD8__T_cells__T,NK_cells__N,helper_T_cells__H
0,999365536.5728416,5643825.81019651,696146347.8748556,353146903.4990348,1893869880.6082637
100,1001631262.7846975,5565729.575665912,690382857.9587991,352478869.3956251,1859890857.379003
200,1002249043.2877463,5676525.934387144,677448757.012404,352117301.82229316,1856354545.6112115
300,1003779564.0704986,5744998.797465537,650990926.3940637,351105788.4759943,1815900432.0245442
400,1004350159.7556813,5783455.267725105,634841450.4614395,351197627.2838957,1804417679.3754945
500,1006708130.786731,5881834.343368062,638291928.5136722,351037550.8603277,1803536071.0408332
600,1004783291.8118014,6041868.2833564095,619855550.2911338,349949599.26662326,1769906312.8212016
700,1007154423.8553197,5974387.86391903,594233970.4017466,350322699.05958605,1766456071.7849934
800,1007728520.0118593,6117839.547724395,592870708.9489461,349277640.3780188,1757457571.4822352
900,1009437712.5935239,6104029.0188602675,574554969.2140735,349730829.08593655,1749587602.1864276
1000,1010010967.7666438,6228273.35923727,571138927.7238371,349296131.58900374,1737528256.9456246
1100,1012105465.8348463,6273227.390168352,566110738.4071182,348159005.7100533,1717565670.5045385
1200,1012821093.8283082,6416303.662929679,538958128.3796715,348707980.60778934,1699385742.8251297
1300,1012241210.8022828,6430158.065157149,547745019.1542758,347627374.6785516,1690558564.4470294
1400,1015340986.692332,6390317.574984767,533061872.66992104,347507395.5901138,1658750807.0400474
1500,1015220639.3126744,6451585.542394569,529298320.02993274,347312709.2716417,1637742381.9011104
1600,1017864828.9688013,6566488.256681875,504417301.4459874,346227424.7104208,1624328608.27968
1700,1018978768.8743591,6602625.533733735,496850812.86377245,346800572.8461901,1613753943.9867814
1800,1018868269.3503827,6663236.188127243,484809189.8673179,345832813.09197795,1613574400.0511258
1900,1019766866.815538,6841434.321573595,489051713.36750656,345381631.6855796,1586085204.7109227
2000,1020053418.0407913,6985345.420529315,485478527.8827852,344915677.8220511,1579895073.749682
2100,1023014715.1767929,6886789.542778909,461104131.5538128,344781506.55339724,1580729501.778138
2200,1022116424.81645,7116872.041441521,465688647.40563613,344458481.5120886,1583734518.9743955
2300,1024238920.9183633,7075727.854276976,458827077.95436585,343862080.4411103,1564292864.1393564
2400,1026963471.2656397,7212899.934109553,440594754.8221625,343496772.5494825,1551273390.6787233
2500,1026045069.8687512,7157310.517342007,451141491.0129321,343584460.1137092,1532476801.6148596
2600,1026789565.2051417,7296724.856173428,447335980.93618923,342344528.10187644,1515542378.988321
2700,1029992224.4873278,7388659.092235441,433192378.174699,341855020.3565743,1508935835.0524566
2800,1031173298.3094342,7411265.189188003,418817181.7909507,341385809.9535146,1509284534.922898
2900,1031260966.2022727,7484131.286172425,418848031.9610266,341619359.2364003,1475561863.4546628
3000,1033769123.3605587,7641982.4857209185,419055165.649035,340754985.5237947,1478174682.474532
3100,1034431180.484078,7710845.120904415,415188261.94407755,340860864.0153525,1448850316.857684
3200,1035927529.3995488,7887291.509573381,404453997.5822472,340675495.7780917,1469359971.1712396
3300,1035485454.8871732,7945382.411765424,388950846.81061524,339840139.221306,1441424496.9927542
3400,1037680188.4605969,7944621.302660775,393974419.66064113,339714029.81473625,1439773395.54141
3500,1040004008.7964007,7950207.033825279,375350440.84051144,339165722.0159829,1440511110.540182
3600,1039857966.3514655,8047788.666652757,374099074.7010378,338545296.1215876,1417448910.8488882
3700,1039978971.4199688,8275085.8251978615,381096507.1254505,337940353.22874814,1402022894.4354947
3800,1042737603.889322,8295596.286184022,368825856.59134376,337809297.47129756,1395705159.7310789
3900,1043910660.179536,8442583.037731022,365448670.6462037,336984453.7778546,1378873025.2816808
4000,1043512078.13564,8534029.799895704,361531681.6711735,337433784.0365719,1367261365.0140026
4100,1044951959.1823119,8515734.42119613,359853501.8446702,336458524.37611103,1375656003.299706
4200,1045268608.9171923,8659408.72022575,350409240.6043593,336277638.52702177,1344651943.733807
4300,1049201930.797687,8800073.497058949,343739146.2327612,335899898.4509639,1354042787.8413894
4400,1048835799.8049241,8747978.88890548,348504105.5948821,335072562.9916426,1357290785.7839358
4500,1051008075.4077312,8970928.257925881,330756664.3566468,335543418.8076568,1343298093.311173
4600,1052296846.5976444,9051032.596300973,328411029.3104752,335184543.38877505,1325221069.868405
4700,1053832414.7421759,9032493.097759396,341294386.24558216,333939051.5419568,1332344579.760332
4800,1053317635.8508273,9315399.990697494,325267936.82854784,334384895.9103701,1298576324.6342025
4900,1053205691.5599725,9245130.523064816,334565113.79917264,333693989.7929281,1285790136.610523
5000,1054830036.8653443,9422189.65901566,320178599.75633,333196282.926259,1292175659.390494
