milliseconds,Pancreatic_cancer_cells__C,Pancreatic_stellate_cells__P,CD8__T_cells__T,NK_cells__N,helper_T_cells__H
0,999273893.2940952,5582194.233473402,702140150.6142687,352522391.8911368,1888919372.2783027
100,999914845.9386646,5744009.484136834,680433791.5941048,352313630.504646,1879463262.1676302
200,1002585612.6423571,5694066.283599994,677483028.1474463,351622473.6642233,1863185311.4719605
300,1001634213.6775143,5812024.924957527,647148701.7417506,351166484.4077548,1836335028.0555289
400,1003301225.091223,5752533.177597601,638854541.7293825,351771680.66506845,1806082738.5094738
500,1003758922.8876092,5936147.424285774,635429178.8928814,350782421.96983784,1811392394.8795955
600,1006064765.6833483,6051030.110883489,614238959.3212123,350040234.4706236,1789310462.8155057
700,1008012364.228656,5973617.972502623,593239776.8540008,349900861.5898019,1767257699.5133626
800,1009693175.4707943,6067728.637066134,584877838.3714106,349710582.3153969,1741517554.9559634
900,1008854124.3618999,6047622.049082811,585315500.7857127,349271826.46528727,1730454329.7693188
1000,1011433041.9642318,6304740.28441676,560280561.2684458,349313621.5587915,1728865227.628113
1100,1012028473.7116902,6235798.528544731,562390494.1476041,349134801.3432577,1718959754.8300395
1200,1012940195.9417425,6454286.917859037,549270659.6134458,348710428.78136164,1685909643.8272965
1300,1015219767.7280921,6439004.624008372,538515103.5462142,347262100.32642186,1689020813.7789717
1400,1013510804.7906417,6422348.766212527,534536387.6682119,346858909.7903558,1675635628.3542955
1500,1015414421.3831788,6583944.33806912,513139070.27206445,347227976.504929,1664100860.349848
1600,1017246181.8665514,6520005.395110344,517901301.2475827,346031819.1893303,1656535113.9978776
1700,1018832981.8325928,6787217.968089522,509694763.3390325,346420666.9743569,1616105367.3150365
1800,1019816658.3056303,6691175.4103996605,498882257.7737327,346275514.81340986,1600716583.7159913
1900,1021396798.610257,6932509.167574933,481152779.9679709,346017358.9521453,1604308162.585483
2000,1022766352.835843,6948601.502649682,477271842.42358905,344920596.756454,1605568454.1343334
2100,1022948566.6235197,6924558.3808009755,476857288.00156856,344324726.85425866,1562129850.0340729
2200,1023917159.6300805,7011072.428828536,461213817.13405865,344048870.7496018,1549794568.4367297
2300,1024915686.7461011,7201620.160913031,452943914.87193495,343475406.2515519,1547158662.54714
2400,1026854482.4406582,7237791.063434817,440767577.0597999,343697359.8801774,1547809122.2652392
2500,1027316113.0179503,7217044.149917484,442607391.8307424,343039815.6770838,1533885025.8835762
2600,1028470632.7767473,7362023.252154882,430407159.51046103,342269155.61679935,1521027399.0573258
2700,1028698594.1380767,7362099.579846637,428521317.71872866,342431346.8459368,1520572983.0903041
2800,1030140421.6636121,7544738.085540999,430292558.98333836,341328864.7993536,1483089211.8538244
2900,1031737707.4174646,7677491.308947542,414313322.7846227,340941484.56223893,1494520637.4718275
3000,1031520310.3063885,7724276.448155026,406761299.7677307,341678884.127438,1480515934.8392258
3100,1033858335.4478412,7709929.187198269,406345591.26748365,341259621.4927302,1465160601.507672
3200,1035073955.9490472,7848839.2223156635,406871092.3629936,340191564.3323606,1450036431.0385869
3300,1037676842.2376268,7810522.220437659,397434064.3285878,339633891.7881675,1438369145.9656305
3400,1037785832.125462,7891076.610168501,393012531.00373894,339016775.0005233,1433011863.4780095
3500,1039260072.5173538,8006156.1963737,394463532.96025455,338692628.75942534,1425075960.634275
3600,1039986495.5437812,8160227.640112824,378526884.5993409,338151641.7510121,1417802466.1836445
3700,1041344175.3850373,8162101.2226387495,368240394.2823966,338234618.05278087,1402558378.2314653
3800,1043105231.2951334,8329980.70735407,375440604.2503546,337536690.06775415,1403735410.567389
3900,1042685630.2959299,8482771.942291435,370775376.4477214,337853024.6009947,1383877301.709366
4000,1042696312.2501146,8505312.895873077,363605775.1267662,337665013.107431,1371205743.714939
4100,1045425426.6427312,8541498.596703812,350022041.0520422,337114052.4180061,1365961771.4184282
4200,1047594614.9060196,8711402.614278845,354144451.7047098,336396848.5938953,1365784449.0726795
4300,1047480599.1590557,8778228.228408042,338171750.76186323,335729047.13302946,1362944740.4155695
4400,1047387321.9194188,8802318.845971955,341576079.01437557,335460097.52483803,1334923766.2766812
4500,1051477136.4600041,9003279.071546553,343751526.0588622,334548079.1908295,1333964814.8820207
4600,1049556039.1923571,8951082.896673823,338966554.1329626,334707543.4632728,1311780813.4788227
4700,1052440418.9068295,9111004.830782674,339375927.6047857,334590758.92743367,1321571563.4559376
4800,1054998258.0536226,9320062.942165604,326460814.6626228,333582762.9575791,1312512145.8820636
4900,1056318636.8892167,9322009.680203462,325608385.0690293,333339297.7865736,1284631281.0070028
5000,1056105985.1665163,9489377.45475054,313267953.36984515,333416886.5512749,1298294542.651225
