milliseconds,Pancreatic_cancer_cells__C,Pancreatic_stellate_cells__P,CD8__T_cells__T,NK_cells__N,helper_T_cells__H
0,998575085.8602604,5648995.247261234,696212274.2730852,352612593.64218855,1870324465.6738095
100,1000136688.3116386,5605416.494718851,690688857.8595906,352873734.200407,1853401128.602488
200,1000837034.4728504,5620922.329363789,660115752.5975388,352099075.17471385,1832055771.5006597
300,1002815621.37936,5817578.492248486,658204780.9947202,351919918.52565867,1843384581.931381
400,1004956164.0905849,5776559.0326199345,652160191.4508871,351221491.945466,1807174872.702977
500,1005734588.3005708,5939100.750290094,617753991.1522287,350669881.9652058,1802510392.338891
600,1005173497.7872216,5979371.254596075,615902840.0594304,350086896.7695772,1792110754.184819
700,1006995402.5709463,6022069.864322708,598204650.6671708,349916053.0188013,1751127460.480665
800,1007405264.0864741,6105471.490163067,593489656.3085638,349409951.0059965,1744194018.0940347
900,1010399904.747164,6247642.331971108,581935367.0480286,349659162.2244321,1730704942.5743184
1000,1011839230.603014,6269347.330981388,574195741.0259273,349340308.40755457,1714779266.3010855
1100,1012382906.8661658,6371679.636433245,562985942.6634263,347985102.29628384,1718859681.4909189
1200,1013118624.07178,6398075.717638047,559877793.6481196,348393767.2435804,1690275383.121054
1300,1014006131.0936285,6510604.332778229,546857120.6693007,348365849.281846,1698050278.0155778
1400,1016373426.1669477,6379753.706230583,530884346.9044109,347526335.85565627,1666919209.7814777
1500,1014787332.6311705,6486668.073344522,510593160.551584,347441643.1211925,1659706380.1784039
1600,1018290127.6736671,6518300.583344231,517571821.4585707,347056331.0539924,1648619589.2569861
1700,1019512380.894959,6583128.841486029,504428784.14235115,345672573.2219121,1621035582.4856322
1800,1019360894.4457093,6820824.252543924,488649291.5812831,345980649.444653,1610702093.8630898
1900,1019302720.4202659,6789685.3778421655,496812577.9432599,345447001.3093692,1604545743.8684604
2000,1020137118.4416015,6829479.282146387,478207211.8178033,345517900.5539607,1596530086.4003212
2100,1022788283.5855889,6919775.806814371,470400941.2541637,344770010.93641263,1561286883.409977
2200,1023463380.4327327,6943244.508200793,457497553.64270115,344614035.16747355,1560505270.2185602
2300,1025864397.6668916,7102377.502205764,460701568.0012261,343789445.3849996,1550166532.1130345
2400,1026935877.7392738,7177105.222189402,456952822.2620691,343043003.99251735,1533630963.6964686
2500,1028372727.9200597,7221748.26639879,439596601.9043816,343591080.65744376,1534056002.6927085
2600,1026548928.6315039,7276131.55527024,429572467.073751,343082054.81981605,1510844451.7172306
2700,1030140203.277294,7502111.515236818,432250649.4194675,342809500.48172534,1525623083.2170348
2800,1029459692.2053865,7588586.46403972,417883851.7441299,341807218.07845134,1493269585.5134354
2900,1031740195.2372743,7588101.354157704,415519056.08264023,341734449.8756911,1470269652.6104875
3000,1032316234.5821707,7714352.518074826,421664330.8437704,341031173.1397767,1478782563.0879576
3100,1034736690.7166914,7799776.369869268,414012549.0176969,340161180.50197345,1474109781.3109615
3200,1036125574.3859862,7889475.110829648,405314151.9670913,340417909.3158511,1439675322.400857
3300,1036181830.6666449,7960409.127211463,392687459.18558633,339508752.621546,1431041975.0193303
3400,1037794720.7205296,7877890.318306335,390492019.5573921,339967933.58991903,1420658765.4144247
3500,1037825654.62292,8164162.391789079,386214362.89196986,339557981.8687487,1435520768.6845205
3600,1038577519.1205981,8213669.925118859,377558957.1643007,339061880.1938767,1415631646.6821241
3700,1041145704.2621638,8118173.762574123,365230381.9634752,338506307.78298455,1403611083.1174726
3800,1040746908.8653008,8282797.873443773,376488008.98520327,337580668.6212651,1383971396.644537
3900,1043164941.8583798,8365378.972189162,357954929.679381,337871582.06252277,1392245085.1567166
4000,1043695245.0069247,8574208.367450804,366730419.9814302,337617435.80249923,1371374429.3754866
4100,1046092272.941516,8665782.614664376,365041060.64362127,336374892.22251594,1365290249.2275846
4200,1046393222.8583293,8645645.691674141,346993907.56397843,336873031.51003027,1352796253.984261
4300,1046060495.8100805,8753549.68739905,341162023.30883753,335987377.3619665,1360923003.5093012
4400,1047245564.8911408,8773674.644820528,348800532.310805,335032716.98844904,1358198178.1158123
4500,1050612552.1578444,9051141.940092813,333006697.3905195,335060471.9686223,1319631828.787046
4600,1050185603.294752,8980820.631306773,337731595.8221161,334871293.85869586,1329368047.7525394
4700,1052911585.5132031,9204298.261683175,343162875.0050942,333759524.6136798,1304191303.399868
4800,1052571076.3411032,9264218.7018406,318316435.4191886,334352243.9832247,1310282721.932632
4900,1056137488.0836265,9256052.739507956,323257425.41195357,333561752.3763771,1289241164.3093615
5000,1056990266.392615,9418319.920642652,327174487.4376594,332774559.55639285,1289471796.3973901
