milliseconds,Pancreatic_cancer_cells__C,Pancreatic_stellate_cells__P,CD8__T_cells__T,NK_cells__N,helper_T_cells__H
0,998878514.5234823,5559512.928528547,710522369.0527365,352784250.60962874,1872213059.3271592
100,1000919396.8255725,5691490.913261752,680370122.3083218,352560671.79265237,1862263620.0663297
200,1003290099.2336946,5627416.124263589,660662955.8580672,351514478.1087955,1832189574.0813985
300,1003445615.8115425,5806639.265458369,650312972.003375,352217553.9567802,1815682189.783092
400,1005743688.0144801,5753135.947373744,652037474.6410693,350763337.0868036,1805358390.3071651
500,1003797380.6470513,5981726.364842499,628185341.8573087,350666389.0556675,1811028720.1493585
600,1004909290.7980012,5906622.515169578,618385820.828613,350140437.30310315,1800963859.2577984
700,1007070532.1567005,5974411.011985525,596289482.4916811,350256817.9301997,1761102732.420525
800,1007119601.8385704,6073791.248370215,585528420.0068113,349441225.1105641,1762529367.0459797
900,1008958206.9972774,6170892.627487636,585292258.0949749,349894443.2010778,1734667441.7138712
1000,1009736378.2264231,6218327.977620406,569097571.6604844,349193433.3277106,1734327151.1216578
1100,1009984903.6331235,6389747.61140146,548942525.0480769,348461369.6034012,1692747132.2571354
1200,1011549478.2946277,6307230.383091462,542636916.779658,347634143.3078682,1711494943.2035131
1300,1014014261.852447,6384626.284311832,530132839.2910432,347445740.5218096,1679469503.9946437
1400,1015999347.2099037,6546518.461107275,520612199.773609,347011205.71738034,1667579468.0067694
1500,1015211731.5840127,6469156.407970699,510539947.40426844,346890556.4691099,1667593613.7724764
1600,1016159220.7006307,6646900.951563141,504417901.3795014,346214244.9022555,1642981423.3854053
1700,1018329837.2588421,6745958.714422091,505587166.82393175,346533946.2861701,1624088858.8498225
1800,1018861822.2431176,6707180.379476349,485706930.4914616,346199309.2506427,1606676065.2789824
1900,1019563443.4601613,6789135.738606446,488836298.65311354,345896086.29999125,1619974420.3846362
2000,1021637516.7160856,6860708.684520659,477802448.13660127,345606556.0273042,1573995796.3087437
2100,1024161680.9584441,7066847.445387464,468541161.1737423,344666495.11448026,1589099828.8237734
2200,1023582191.5875667,7039127.546577432,466168200.6703049,344740456.03069115,1570824648.0162365
2300,1023244015.4576826,7004568.314270144,463015720.0749755,344425313.2705953,1568951227.0933032
2400,1026864788.020981,7128687.955629061,460978474.31798404,343942039.0430102,1558824058.6188128
2500,1028656223.6732545,7264180.04758807,432725290.57940805,342613406.0597689,1520901195.190812
2600,1028514808.8763633,7323197.57369877,438503083.22093874,342559495.64270693,1534670886.9379075
2700,1029906046.3836588,7374912.1697965395,423368991.0569954,341892739.3712093,1493971740.081099
2800,1031523352.3202792,7552774.881883867,422934195.1376019,341977504.08526546,1493756371.5601037
2900,1033004062.9599471,7632027.604212385,414831861.4876796,341365247.28898174,1473451157.8650901
3000,1033748985.1913204,7572565.007573914,416862883.3419823,341270903.60111904,1471537727.278473
3100,1033500183.8862201,7809499.822275105,398885912.34738606,340682904.79941386,1461458854.8851304
3200,1036129030.4885824,7813660.732325782,409354956.37732923,340312647.3975231,1463881036.4005022
3300,1035164894.0252247,7804701.291880128,388565420.3878472,339616526.99753565,1461310470.8501756
3400,1038470506.7269598,7939049.255817156,395511626.41670454,339210117.9822806,1447430184.6744506
3500,1038248677.2408978,8038887.997212814,379138880.8755409,339349169.8359024,1420356051.0302124
3600,1040128598.5073161,8168039.610104748,389713069.31589955,338169846.3536196,1421791315.1428607
3700,1040010511.6486789,8256255.530892956,367772590.23373014,338317719.13921654,1404385988.8655472
3800,1043050672.7450124,8358511.931813993,377109315.6664275,338166534.0711923,1408640133.50545
3900,1042551776.5441487,8384037.271952291,355308266.81299967,337394770.27751726,1390235770.9436703
4000,1045257047.6498826,8527126.891948096,371026389.90318424,336713063.2999222,1372345368.3987103
4100,1045265356.6987838,8596333.722142288,361941173.63105005,336308322.7509191,1357144308.2517447
4200,1045412967.5084546,8634636.450249331,347890345.97808784,335780237.67656964,1372091498.5472631
4300,1047092201.8489624,8669653.45347707,339820391.69186115,336419600.3202563,1339620034.772377
4400,1048687777.2301437,8913214.20023652,352838213.66028404,335577580.7457374,1356045249.009143
4500,1048442122.8043966,8922329.647067035,345771060.3806193,335405184.98151547,1324499447.0267358
4600,1052208538.6273397,9073428.188285748,343035242.3670118,335259640.8263122,1309633880.011163
4700,1051494532.7370335,9199031.401761571,334739595.45287263,334850679.9633386,1309745742.6380439
4800,1054207184.8682965,9145279.580351282,325856818.76188236,333950848.7449155,1299612533.9833066
4900,1054862853.3829912,9237984.149460189,320025890.5639671,334002209.7582614,1313949917.9353187
5000,1054835480.9261036,9313155.712459141,325225266.4053339,333180397.1466358,1276333881.0684
