miliseconds,Ctelo,Utelo,Cdc13,Rad17Utelo,Rad17,Rad24,RPA,Mec1,ssDNA,RPAssDNA,RPAssDNA1,RPAssDNA2,Mec1RPAssDNA,ExoXI,ExoXA,Exo1I,Exo1A,Rad9I,Rad9A,Rad53I,Rad53A,Chk1I,Chk1A,Dun1I,Dun1A,ATP,ADP,Rad9Kin,recovery,G1,S,G2,M,G1cyclin,Scyclin,G2cyclin,Mcyclin,G1CdkI,G1CdkA,SCdkI,SCdkA,G2CdkI,G2CdkA,MCdkI,MCdkA,G1Soff,G1Son,SG2off,SG2on,G2Moff,G2Mon,MG1off,MG1on,budscar
0,64.00108607989691,0.0008866264868336802,300.0010375235242,-1.483668338962382e-07,70.000000116528,70.0,4000.000004685207,3999.999999999982,1.3709175116052433e-07,-4.3340760163501555e-12,3.4005350410090262e-06,1.142975499691402e-08,-9.82746546066311e-11,70.00000007344947,7.055121931845447e-09,671.4055258764787,1.0172740405218803,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999843734,999.9999998697725,0.0,0.0,1.0,0.0,0.0,0.0,-0.003246812652256188,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
100,63.998439934823246,0.0018715006207788,300.00178594024754,-1.7897195089093766e-07,70.00000017529841,70.0,3999.999998649257,3999.9999999999586,8.903970522058377e-07,2.1240100520547324e-12,1.942192275307796e-06,-2.98932005754614e-08,2.231903760430573e-11,70.00000004644767,4.033355092106115e-08,667.9037234536208,3.5502698571740234,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999985897,999.999999917076,0.0,0.0,1.0,0.0,0.0,0.0,0.01859428076041369,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
200,63.9960646694543,0.005489262478865656,300.0037028058115,-1.524285520769742e-07,70.000000103833,70.0,4000.0000024882806,4000.0000000000205,8.426885993665224e-07,-1.1160201289669496e-11,-2.7740278841640766e-06,-1.874374061185158e-08,6.094508522106757e-11,69.99999996641658,5.641717681528758e-08,665.4506009426234,5.469965905946189,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,10000.00000014929,1000.0000001730014,0.0,0.0,1.0,0.0,0.0,0.0,0.03460864847207524,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
300,63.99387774581898,0.007285816894153453,300.006628938918,-1.0440616652458138e-07,69.9999999868337,70.0,4000.0000034524596,4000.0000000000127,9.257569955730937e-07,2.177395074037571e-12,-1.2795294575477745e-06,-3.054303306542202e-08,-7.793363261251308e-11,70.00000000725444,-8.143478757042086e-08,662.7598318943676,7.875338276955456,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,10000.000000061293,1000.0000001867078,0.0,0.0,1.0,0.0,0.0,0.0,0.0406813155310823,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
400,63.99074955909472,0.010347703642979905,300.00877721983625,7.345690071939125e-08,69.99999989357862,70.0,3999.999998857614,3999.9999999999854,8.839276301825254e-07,1.4943823145014068e-12,-5.595701859196221e-06,-2.4322028774156853e-08,3.5416427524716216e-11,69.9999999500002,-4.4418660374809194e-08,659.168331550403,7.907454985841528,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999724754,1000.0000000645513,0.0,0.0,1.0,0.0,0.0,0.0,0.05650939403014958,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
500,63.989138131910174,0.010636270451030768,300.0111191551481,-9.781496112516362e-09,70.00000002401472,70.0,3999.999998598223,4000.0000000000455,-5.452037298230761e-07,9.264577921807268e-12,-2.022478715949472e-06,2.7094226346450988e-08,6.036998560168893e-11,70.00000002765725,4.679080140111312e-08,658.6557313980761,12.003352340672977,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999905476,1000.0000000967949,0.0,0.0,1.0,0.0,0.0,0.0,0.08707791928313588,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
600,63.98530658386967,0.01483909478270043,300.0132160848854,3.6048019844873004e-07,69.99999986318751,70.0,4000.0000030290507,4000.000000000029,1.2740439010880447e-06,-1.004899560448286e-11,6.2910084345623455e-06,-2.9372409493737366e-08,7.748589359019298e-11,69.99999995308356,5.106943548366899e-08,655.0609772872556,13.477537778463233,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999781525,1000.0000000621227,0.0,0.0,1.0,0.0,0.0,0.0,0.10410334551758266,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
700,63.983498128926826,0.016852225496376987,300.0168751903524,4.342202713076188e-07,69.99999976472324,70.0,3999.9999967684944,4000.0000000000705,1.9120541891697e-06,-5.684323780472694e-12,6.9955814922856e-06,-2.3632359382193344e-08,-2.6699488371846146e-11,69.99999995364921,-2.5178718596225604e-08,654.7201037980792,14.887634708885471,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999771242,1000.0000001958899,0.0,0.0,1.0,0.0,0.0,0.0,0.12271077394403207,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
800,63.98155643145349,0.017690798691900305,300.0193227704224,4.959569519835878e-07,69.99999954663691,70.0,3999.999992779199,4000.0000000000646,2.3600087353717897e-06,2.177847553731949e-12,-1.9476956825390376e-06,-1.3164424617280947e-08,-8.43411302785713e-11,69.99999992513912,1.1055873101903211e-08,652.9431355744522,18.486329678103626,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999539896,1000.0000004095258,0.0,0.0,1.0,0.0,0.0,0.0,0.13902720532385934,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
900,63.9794737018488,0.021186475766207382,300.02111843314555,5.472641600292181e-07,69.99999954124041,70.0,4000.0000041515164,4000.0000000000427,1.733031104614309e-06,1.0863917577552157e-11,1.2625985120556315e-08,1.7646264617485698e-08,3.249523223934622e-11,69.99999991247856,1.2443106369776827e-07,647.8531068576987,19.689927649443995,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.99999968873,1000.0000005155762,0.0,0.0,1.0,0.0,0.0,0.0,0.14442380215624048,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
