miliseconds,Ctelo,Utelo,Cdc13,Rad17Utelo,Rad17,Rad24,RPA,Mec1,ssDNA,RPAssDNA,RPAssDNA1,RPAssDNA2,Mec1RPAssDNA,ExoXI,ExoXA,Exo1I,Exo1A,Rad9I,Rad9A,Rad53I,Rad53A,Chk1I,Chk1A,Dun1I,Dun1A,ATP,ADP,Rad9Kin,recovery,G1,S,G2,M,G1cyclin,Scyclin,G2cyclin,Mcyclin,G1CdkI,G1CdkA,SCdkI,SCdkA,G2CdkI,G2CdkA,MCdkI,MCdkA,G1Soff,G1Son,SG2off,SG2on,G2Moff,G2Mon,MG1off,MG1on,budscar
0,64.00047653181934,0.0009380031379345873,299.9988262512341,1.9552771223088086e-08,70.00000011789362,70.0,3999.999999688978,3999.999999999922,-9.154516287222627e-07,1.081471525945301e-11,-3.720645276684429e-06,-1.3264452012057005e-08,-2.1532619466028257e-11,69.99999997790226,-8.488690877843883e-09,670.3757127219314,-1.1119980788016932,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999886131,1000.000000040619,0.0,1.0,1.0,0.0,0.0,0.0,-0.00830936303214398,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
100,63.998666392688435,0.0016734973783771327,300.00255367822126,1.0946659545762352e-08,70.0000000571758,70.0,3999.9999961048625,4000.0000000000555,-1.4093606076551665e-08,-4.968547435182065e-12,-1.4684618682537878e-06,1.5035089429212566e-08,-9.093120526133071e-11,70.00000003953679,4.469886305549203e-08,668.6501066528623,1.1190535229227794,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,10000.000000087763,1000.0000000915531,0.0,1.0,1.0,0.0,0.0,0.0,0.024677632050244286,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
200,63.995984287068445,0.004458213258232449,300.00475957666754,-2.997317914711054e-08,69.9999999103392,70.0,3999.999996454532,4000.000000000011,4.3488121243590337e-07,-4.526756306015832e-12,2.2038370704847624e-07,8.505900581998214e-09,-5.749367389258637e-11,70.0000000267305,-2.0264605413933553e-08,663.933119192037,4.013420820868202,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,10000.000000126838,999.9999999044367,0.0,1.0,1.0,0.0,0.0,0.0,0.038545545688513774,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
300,63.99177913400959,0.007229816695567646,300.00705909474885,8.132216684806568e-08,69.99999990341645,70.0,3999.9999939339727,3999.9999999999745,5.872148911805028e-07,2.4532772587029557e-12,2.319769812524018e-06,-6.1335947461190675e-09,8.425028110136538e-11,70.00000001122831,3.1027193875792053e-09,663.0915839492169,8.00814901868505,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999788086,1000.0000001465476,0.0,1.0,1.0,0.0,0.0,0.0,0.05173454846101843,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
400,63.989667627456505,0.01021999997646564,300.00864129613655,2.0616077059280737e-07,69.99999996738435,70.0,3999.9999980531147,3999.9999999999586,-2.542832482515065e-07,8.552196153429134e-12,1.86014369674192e-06,3.376690757968721e-09,-2.0099417262198538e-11,69.9999999652533,2.5197254955395242e-09,659.815292190703,9.042260036978684,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.99999994724,1000.0000000603725,0.0,1.0,1.0,0.0,0.0,0.0,0.05242943266775235,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
500,63.98792702618164,0.012347704943845723,300.0120414260625,1.4569412296591159e-07,69.99999995176316,70.0,3999.999996156331,3999.999999999987,-5.356944407274543e-07,-1.8874739064268574e-12,-3.6221356335482954e-06,3.1105409906847483e-08,4.2974748357087094e-11,69.99999995949112,-4.038882582946307e-08,658.8212133342051,11.945258625250766,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999762524,1000.0000001322672,0.0,1.0,1.0,0.0,0.0,0.0,0.06846155305776713,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
600,63.984998272167225,0.014431023808650018,300.0141024398127,1.5421171403618226e-07,69.99999968588355,70.0,3999.9999968941224,4000.0000000000628,4.5124851536670484e-07,2.312609758281667e-12,-3.7100270007976676e-07,6.236542224041168e-09,-3.2871363796686837e-12,69.9999999783331,-6.42161574547221e-10,657.0255614182012,14.8314581849255,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999751359,1000.0000003166784,0.0,1.0,1.0,0.0,0.0,0.0,0.08781989134818403,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
700,63.9826933934962,0.015569743106895257,300.0156092835071,1.8873371246396694e-07,69.99999972009678,70.0,3999.999992946029,4000.000000000097,2.0974813193294134e-07,9.202956954442439e-14,5.388394398796229e-06,4.924839332666859e-09,4.057405859512057e-11,69.99999992838163,5.99850284184063e-08,654.9099978193536,17.309656371066858,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999771395,1000.0000002705552,0.0,1.0,1.0,0.0,0.0,0.0,0.11611822526657413,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
800,63.980627553052415,0.018721848897193825,300.0189632148358,3.774911416919252e-07,69.99999963677006,70.0,4000.000003556774,4000.0000000000387,8.245911119733647e-07,-3.6294224024544184e-12,1.4278601616734722e-06,1.021760281259971e-08,6.193982432862559e-11,69.99999988604792,-7.254999953981912e-10,650.4901712259268,19.928838545571622,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999680049,1000.0000003124554,0.0,1.0,1.0,0.0,0.0,0.0,0.12483059741250141,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
900,63.980229277875694,0.019804807124020607,300.02006713159483,4.166496389719471e-07,69.99999952788662,70.0,3999.9999991556588,3999.999999999976,2.465665975291721e-06,7.622407229049923e-12,-1.2355805535704392e-06,1.8899363915895445e-08,5.366314771132597e-11,69.99999995839914,1.240243576714337e-07,648.4222687258646,21.815047491141502,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999382755,1000.0000005908802,0.0,1.0,1.0,0.0,0.0,0.0,0.13777680976123458,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1000,63.97629680113594,0.02321119690379758,300.0233830617896,4.2174306067229534e-07,69.99999946409052,70.0,3999.999994956199,4000.000000000088,2.5192117840631395e-06,-2.232946357491232e-12,8.831543860501545e-06,-8.295409328131272e-09,2.2357820024397727e-11,69.99999993818285,1.119954015236702e-07,646.4474003583058,24.33373003306598,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999394962,1000.0000006180785,0.0,1.0,1.0,0.0,0.0,0.0,0.15937490792713593,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1100,63.975624647821924,0.02427460635425825,300.0260968024625,6.374125072793017e-07,69.9999994495,70.0,3999.999993356916,3999.9999999999504,2.227112125895828e-06,4.664419559735274e-12,3.2157907911312824e-06,2.57145214990824e-08,2.5422113837874726e-11,69.99999981487568,1.579054315252992e-07,644.5558759409931,24.330463257698604,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999206966,1000.000000529546,0.0,1.0,1.0,0.0,0.0,0.0,0.18369527195155863,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1200,63.97346471979347,0.0268905735081853,300.0280539287206,7.915155286917497e-07,69.99999938734966,70.0,3999.999997120329,3999.999999999934,3.5698499580499053e-06,-2.3368640632808425e-12,1.1099614594311036e-05,1.3386418906829034e-08,-2.7239018034625244e-11,69.99999988467316,1.4788326929085634e-07,641.8119719493404,27.307283957704517,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999002266,1000.0000008487913,0.0,1.0,1.0,0.0,0.0,0.0,0.18818090664796341,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1300,63.970625281142816,0.0279580226153711,300.02880011925794,7.829318852584584e-07,69.9999991520413,70.0,3999.999991996449,4000.000000000089,4.1860885303780945e-06,-4.547547673003397e-12,6.3368351149353e-06,1.2090838017887883e-08,-3.435329673811508e-11,69.99999986057158,2.0171716161069888e-07,639.4757520471933,29.425775209292745,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999998862968,1000.000001042715,0.0,1.0,1.0,0.0,0.0,0.0,0.21591361624976735,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1400,63.969064562793136,0.031507435411682015,300.0298881261142,8.837767704484177e-07,69.99999891987156,70.0,3999.9999895752094,3999.99999999995,5.539489783818392e-06,-5.272202309786871e-13,1.5040439111965581e-05,1.9392167407873886e-08,1.6610767158506535e-12,69.99999977530082,1.9720317239901614e-07,638.9657689346782,31.13966296150296,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.99999872529,1000.0000012303979,0.0,1.0,1.0,0.0,0.0,0.0,0.2276868779504406,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1500,63.967259176054085,0.032410885599622394,300.0323804076598,9.916529559575662e-07,69.99999892115105,70.0,3999.9999818585156,3999.9999999999427,6.103665830801815e-06,2.8135563346486655e-12,5.676582682719989e-06,2.9154515787914405e-08,-6.16390872421902e-11,69.99999972141678,2.696081243679733e-07,636.4773929466971,33.82220696116652,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999998555264,1000.0000012519541,0.0,1.0,1.0,0.0,0.0,0.0,0.2368557709113063,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1600,63.96399347326205,0.0352848071177569,300.0353051903355,1.1523025763452633e-06,69.99999888687789,70.0,3999.999988948473,4000.0000000000987,6.7268710150590665e-06,-6.632975349329611e-12,1.7611746766417436e-05,-9.600093520096995e-11,6.346258277914053e-11,69.99999966204517,3.069399921331769e-07,634.9057890052405,37.334136511605614,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999998533725,1000.0000013959077,0.0,1.0,1.0,0.0,0.0,0.0,0.24882363977648514,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1700,63.96388835219438,0.03610667025714155,300.03708466184736,1.3428941508502759e-06,69.99999865007726,70.0,3999.9999799458915,4000.0000000000027,9.145882468247927e-06,-5.1615493014007654e-14,1.4682808229366652e-05,1.7825041251633625e-08,-5.1572458555538784e-11,69.99999965973554,4.2879149356423234e-07,631.3017561519774,37.569001569087575,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.99999855083,1000.000001650266,0.0,1.0,1.0,0.0,0.0,0.0,0.28039833490674254,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1800,63.96157625877744,0.03845711960373792,300.0376598195275,1.406911958948505e-06,69.99999857354054,70.0,3999.999974727955,3999.999999999943,8.26302750720903e-06,1.0725012437908453e-11,2.458576865290661e-05,-6.655399076467344e-09,-3.3715922276182616e-11,69.99999954273565,4.4508730718473296e-07,630.4910804496218,40.72342358076336,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999998384681,1000.0000018972405,0.0,1.0,1.0,0.0,0.0,0.0,0.2936828529107092,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1900,63.95886119056245,0.03974378843097772,300.04187098321245,1.6976992421089882e-06,69.9999984287235,70.0,3999.9999786985254,4000.000000000044,9.774957627380556e-06,-8.401543223643738e-12,1.8155634452666976e-05,2.0763762719843516e-08,-3.469313781044296e-11,69.99999947317897,5.430036607409463e-07,625.6345038035673,44.54088926428113,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999998068768,1000.000001803855,0.0,1.0,1.0,0.0,0.0,0.0,0.31215831659348264,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2000,63.95665089034165,0.042752605337109575,300.04299262536074,1.773921104278061e-06,69.99999814300062,70.0,3999.9999652178317,4000.0000000000077,1.1272436838602155e-05,-9.335234054920206e-12,2.9334680988236644e-05,4.001203630007846e-08,-6.096497733117597e-11,69.9999994035867,5.898505735350713e-07,623.413554156132,45.30971213971039,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999997787669,1000.0000021173694,0.0,1.0,1.0,0.0,0.0,0.0,0.3191655905832861,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2100,63.95600454002207,0.044055217062451156,300.044612788745,1.9564966236215125e-06,69.99999799530289,70.0,3999.999972107162,3999.9999999999586,1.1802766521474115e-05,4.84889100369529e-12,2.8120140292491537e-05,2.2058193520561326e-08,1.769545394572408e-12,69.99999930877676,6.556395467184478e-07,623.2969497839264,48.31277387863515,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999997591749,1000.0000023156948,0.0,1.0,1.0,0.0,0.0,0.0,0.34446816921893,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2200,63.9529006289651,0.04586732749631924,300.04675941105035,2.1336203220993976e-06,69.99999795968515,70.0,3999.9999646319993,3999.999999999939,1.4607612020355035e-05,-4.226533398048911e-12,3.7667342144127704e-05,-1.3215169580727152e-08,-6.935563709063612e-11,69.9999992598632,7.707080330561415e-07,619.7947753248075,50.90647661102594,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999997403276,1000.0000027291558,0.0,1.0,1.0,0.0,0.0,0.0,0.35793816557204455,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2300,63.95161886424384,0.04684336360895636,300.04682360493393,2.308563910499228e-06,69.99999769221517,70.0,3999.999949932087,3999.999999999989,1.5617774106200334e-05,4.892978650861642e-12,4.871878011210114e-05,-4.35695691841331e-09,4.7536835832642906e-11,69.99999915652351,8.023945368223596e-07,618.7564570123267,53.10102851729689,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999997313273,1000.0000028442761,0.0,1.0,1.0,0.0,0.0,0.0,0.3682287943891989,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2400,63.94934082444464,0.04959316668454291,300.0500764915298,2.5242788215760195e-06,69.9999976204115,70.0,3999.999945977078,4000.0000000000487,1.674682537681713e-05,9.845956932533691e-12,5.303063557691899e-05,4.650785145260282e-08,2.56551700506982e-11,69.99999906024765,8.791038922327146e-07,615.389178853719,53.939512878347905,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.99999683066,1000.0000031493747,0.0,1.0,1.0,0.0,0.0,0.0,0.3765909451258388,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2500,63.94831504618449,0.05257667331321702,300.05202148087767,2.7344931098325234e-06,69.99999735817666,70.0,3999.999944665455,3999.999999999986,1.715827277049303e-05,4.784651136066942e-12,6.252796772267466e-05,5.340037082215872e-08,-6.191133998424828e-11,69.99999906541962,9.55112736329175e-07,613.5747232209565,56.25541665988399,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999996633589,1000.000003481274,0.0,1.0,1.0,0.0,0.0,0.0,0.40331562892506356,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2600,63.94769023863534,0.052313834579677324,300.0517607481196,2.839130510557314e-06,69.99999713201409,70.0,3999.9999330260825,3999.999999999936,1.889054763018212e-05,2.9153088632884935e-12,6.342166136288322e-05,2.440781072433268e-08,9.863971308850988e-12,69.99999889514142,1.1059744744624768e-06,612.1761233198687,59.27474518009086,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999996490902,1000.0000034965353,0.0,1.0,1.0,0.0,0.0,0.0,0.4185949772668337,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2700,63.9446597764557,0.05446990940623316,300.05534943247125,2.911677896117021e-06,69.99999714433514,70.0,3999.99992805332,4000.000000000043,2.068499949100684e-05,1.6246384187849704e-11,6.875416660959475e-05,9.969277092992979e-08,-4.474580485553261e-12,69.99999881374494,1.108548496942843e-06,609.3073874913077,60.34298639193317,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999996283046,1000.0000036876859,0.0,1.0,1.0,0.0,0.0,0.0,0.429782034290071,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
