milliseconds,Ctelo,Utelo,Cdc13,Rad17Utelo,Rad17,Rad24,RPA,Mec1,ssDNA,RPAssDNA,RPAssDNA1,RPAssDNA2,Mec1RPAssDNA,ExoXI,ExoXA,Exo1I,Exo1A,Rad9I,Rad9A,Rad53I,Rad53A,Chk1I,Chk1A,Dun1I,Dun1A,ATP,ADP,Rad9Kin,recovery,G1,S,G2,M,G1cyclin,Scyclin,G2cyclin,Mcyclin,G1CdkI,G1CdkA,SCdkI,SCdkA,G2CdkI,G2CdkA,MCdkI,MCdkA,G1Soff,G1Son,SG2off,SG2on,G2Moff,G2Mon,MG1off,MG1on,budscar
0,64.00007893026249,0.00039695321525590194,300.0006276628779,2.5860382652470843e-08,69.99999995559214,70.0,3999.999999175675,4000.000000000068,9.034541748466459e-07,6.343953808962192e-12,-6.26251924870187e-06,-2.9521835981907696e-08,7.955783637052746e-11,70.00000002111109,-5.599731677397823e-08,669.0684088234302,-0.16507441863471295,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.99999998569,999.9999999784592,0.0,1.0,1.0,0.0,0.0,0.0,0.01009879349423101,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
100,63.998806889922406,0.0024665688709205732,300.00215277958443,1.0930073782120189e-07,70.00000000447304,70.0,4000.0000015305186,4000.0000000000064,-8.145787163925744e-07,-9.821423840287994e-13,-3.2286601281736975e-06,2.3900271940196555e-08,7.635912331535802e-11,70.00000004015713,-3.496961363740131e-08,666.5207175237606,1.959265508181495,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,10000.000000129998,1000.0000000050891,0.0,1.0,1.0,0.0,0.0,0.0,0.02037285218239454,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
200,63.99387712048408,0.003832406277523309,300.0046147558032,4.198806768973006e-08,70.00000002006563,70.0,4000.0000010127746,4000.000000000054,5.67150994080162e-07,9.164098380761402e-12,-3.0611086685429137e-06,-1.377130777181677e-09,9.599754085662625e-11,69.99999997997675,2.237178930650879e-08,666.2442317596382,5.441266689688148,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999820853,999.9999998625907,0.0,1.0,1.0,0.0,0.0,0.0,0.026119258642471315,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
300,63.99245007550223,0.006001322609924394,300.00640551528437,1.4771089292973489e-07,70.00000001447209,70.0,4000.0000011371776,4000.000000000044,-3.331744267626975e-08,5.967709836686079e-12,-1.2580510921429285e-06,-2.0332577661922478e-08,-2.2019026226626936e-11,70.00000005424465,-2.691933246852276e-08,662.3648889155205,6.785716365357277,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,10000.00000007482,999.9999999102198,0.0,1.0,1.0,0.0,0.0,0.0,0.04780547192371149,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
400,63.990415799901314,0.009955836243108954,300.0099939370949,6.607871702269934e-08,69.99999992399712,70.0,4000.0000021108954,3999.999999999959,9.082650199294931e-07,4.286223790520115e-12,-4.746975054519591e-06,2.6815815677209605e-08,7.768230001255131e-11,69.99999993509839,4.5952394283860236e-08,661.6748112105328,9.173668092857868,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999789101,1000.0000000163824,0.0,1.0,1.0,0.0,0.0,0.0,0.06453119330086514,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
500,63.986855997796184,0.011861969687600761,300.01240093064445,1.391423756308966e-07,69.9999999021349,70.0,4000.0000040276805,3999.9999999999823,8.193078940003117e-07,9.635221992833486e-12,1.2279721192961241e-06,-1.4118432921838043e-08,-9.299978658860187e-11,69.99999995372426,5.0699439532397054e-08,659.4037643486853,11.007479256973317,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.99999995873,999.9999999952852,0.0,1.0,1.0,0.0,0.0,0.0,0.08270528404868402,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
600,63.985805861048945,0.014016245931084585,300.01302994581226,2.35319860526465e-07,69.99999983772517,70.0,4000.000004567918,3999.9999999999395,8.192685888358728e-07,2.289275139728116e-12,2.189002429021207e-07,2.390393759710168e-09,3.041561745804942e-11,69.99999996469255,5.303240204696232e-08,655.5837504510697,14.289627614130925,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999850543,1000.0000001678392,0.0,1.0,1.0,0.0,0.0,0.0,0.10482870797070726,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
700,63.98297970680993,0.015796242118216567,300.016273543888,2.8055474058594367e-07,69.99999983489901,70.0,3999.999999719747,3999.9999999999013,1.2158850669099627e-06,-5.149674478626481e-12,5.564644649665774e-06,-1.698151912828443e-08,-8.574855785551012e-11,69.99999991055475,1.0119152704292737e-08,654.3290974661237,14.920321382035754,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999899006,1000.0000001719915,0.0,1.0,1.0,0.0,0.0,0.0,0.1183758276075747,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
800,63.98074674329818,0.019117668527209385,300.0179693191426,2.346769163971953e-07,69.99999967431556,70.0,3999.999999825865,3999.999999999996,2.2334618649325905e-06,1.019319736427728e-11,-2.8442680276719226e-06,3.285305634445915e-08,-6.798264852418439e-11,69.99999994782765,-1.8336799214148365e-09,651.0658761339466,18.196571281162477,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999495352,1000.0000004147872,0.0,1.0,1.0,0.0,0.0,0.0,0.1320094699829902,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
900,63.979190257216686,0.021813640004192832,300.0206309459179,3.778660601197272e-07,69.99999958554882,70.0,3999.999992865239,3999.999999999947,2.67440937525838e-06,5.822615463533727e-12,3.2916048850892936e-07,-1.7593903530213016e-09,-5.137747634672815e-11,69.9999999567606,7.095178761752664e-08,649.3921390628501,19.796421669386078,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999508054,1000.0000004273226,0.0,1.0,1.0,0.0,0.0,0.0,0.1354399478250964,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
1000,63.97708724412572,0.02311795678828053,300.0228673520516,6.202486709706041e-07,69.99999959099357,70.0,3999.999990908426,4000.000000000062,1.7783014743448183e-06,-4.474269265807146e-12,1.828193145399325e-06,-3.036480057303098e-08,-2.446603415848466e-11,69.9999999425715,1.1821113690573825e-07,646.690773006624,21.81921091701946,20.0,0.0,6900.0,0.0,60.0,0.0,3000.0,0.0,9999.999999574762,1000.0000005465887,0.0,1.0,1.0,0.0,0.0,0.0,0.16048004181724884,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
