miliseconds,cyclin,dimer,dimer_p,p_dimer,p_dimer_p,cdc25_p,wee1_p,IE_p,UbE_star
0,99.92788729914456,-0.03359434537250099,-0.07868177232910488,-0.1320118039726172,-0.009231336554295318,0.0007327088987375688,-0.0009268444764086294,-0.00021154381877305605,1.2879803433819258e-06
100,90.75758059152297,8.690634178817241,0.15863211997380705,0.5732267554799424,0.2609795199216624,0.0009813418024334393,0.0023749717889892195,-8.842860897418147e-05,-1.697764482319971e-06
200,83.77897167596322,14.388766057441119,0.43324710577138625,1.6089724959970992,-0.10298426398619187,0.0014962997947315353,-0.0027455140724298296,0.0001833690956637638,2.0664576184606667e-06
300,75.974442585035,18.978807599186172,0.8596846992689909,3.3691820860985966,-0.3465915981821145,0.001898377403334669,0.0019625732520180297,4.455689031841243e-05,4.062233789550336e-07
400,72.09411558941565,21.611565315296346,1.2250810865467912,5.5074301876065705,0.14651134731144402,0.0006190954883019587,0.0006944103855861911,0.0006455483410262276,5.712863818344756e-06
500,65.54761067706075,23.686806745724375,1.4743378583531055,7.591794914779495,0.92949375002402,0.00294905398885887,0.0008938358558128871,0.0010526939282925643,8.671062776941418e-06
600,62.896494633935724,25.225419928186557,1.9444192321395675,9.072077930014851,1.472086781661121,0.0050705578386714585,0.004369796731214755,0.0010845561736191288,1.0759708370946573e-05
700,58.16955476175837,25.798043081464332,2.5585616393751063,11.015411865770888,1.2555774796838342,0.005733052272254273,0.00926894647648253,0.001462564167328327,1.1469093081730862e-05
800,55.15974034512981,25.55393181501225,2.9139349619978936,13.731450166585335,1.545374153413595,0.0055218139971018225,0.008224288361244112,0.0020371446859976327,1.6196722745254993e-05
900,52.89569824252577,25.737179151091407,3.188801207392469,15.916692357895997,2.1757394688613965,0.008383024221725849,0.010870532187524786,0.0022591416344830482,2.0469184838213396e-05
1000,50.72803027821313,25.112815588056208,3.5874767110250696,17.073232504804604,3.103219157766364,0.009743697972571781,0.013640070010382732,0.002560159417823952,2.564121691294185e-05
1100,47.221596475000204,25.00545110723373,3.8246321146394746,19.224297368724073,4.021373258513302,0.0128350082052039,0.01887499591480095,0.003363165368967899,2.591975271494919e-05
