milliseconds,species_0000001,species_0000002,species_0000003,species_0000004,species_0000005,species_0000006,species_0000007,species_0000008,species_0000009,parameter_0000001,parameter_0000002,parameter_0000003,parameter_0000020,parameter_0000021,parameter_0000022
0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0
100,2.3052780499475352e-05,2.294206743930572e-05,1.3439068042734253e-05,0.0020529220099016923,0.0013139210382594711,0.0010659743497777382,0.019345776459828688,0.001263634255265771,0.03786537874925028,0.001358348723378894,0.0008459446059362764,0.000458225604678318,2.487949209476599e-17,2.3295428321073637e-18,1.0845108273173116e-19
200,2.8752658317389488e-05,2.850683844535067e-05,1.6578688655451016e-05,0.002591909561412556,0.0018340593069686173,0.0013281601843795382,0.0363681468274229,0.0024624163364114922,0.0722535231628564,0.003498221114862813,0.0021836777034502748,0.0011857805559275373,4.2025267132754884e-15,3.9694520169460343e-16,1.868403571036041e-17
300,3.710230915134707e-05,3.6805131320461616e-05,2.1251292156880313e-05,0.002868662013622119,0.002284092599664708,0.0017014263675841175,0.05216257740029178,0.00527111902043993,0.10433089535577451,0.00789123212672661,0.00495844077294094,0.00270667826626335,2.7170445071635824e-13,2.636526647621493e-14,1.2685796552113262e-15
400,4.569435971289152e-05,4.541239750127484e-05,2.604580832142567e-05,0.003010987940306818,0.002609259536934064,0.0020774843174691457,0.06681764788423372,0.010127776931481392,0.1342527717609789,0.016326582885254584,0.010386118480398755,0.00572477204625231,1.1652991868195317e-11,1.1926835439012454e-12,5.984929366234813e-14
500,5.312707120806006e-05,5.289321798202906e-05,3.0163097799512723e-05,0.003084242680482924,0.002824824383207757,0.002397275772103699,0.08041554874845079,0.017270889554839106,0.16216399475647741,0.030305488066660526,0.01962750481335776,0.010976881010318972,3.0017278501547614e-10,3.3234906058266266e-11,1.777024537727562e-12
600,5.892049574272178e-05,5.874273685295558e-05,3.334933792959441e-05,0.003121962272983132,0.0029606639801023123,0.0026432266464902154,0.09303255177263799,0.02678311772015617,0.18819967409220686,0.050606073338353,0.03351692389335802,0.019103208825911558,4.638795507321406e-09,5.672878557652034e-10,3.297736801394779e-11
700,6.313112143784253e-05,6.300397620036457e-05,3.565213150134454e-05,0.003141390450914053,0.003043436779060238,0.0028202098843484475,0.1047395301111991,0.03863328823144959,0.21248584463149803,0.07715736668302282,0.052412288545122726,0.030554204274670302,4.5645939638075585e-08,6.2540805559318116e-09,4.01929508484501e-10
800,6.604145415699813e-05,6.595440990284386e-05,3.7237632264084115e-05,0.0031514132394188043,0.0030926829281239165,0.0029416652538234345,0.11560291835455277,0.05271250542519487,0.23514010658271067,0.10918886226195722,0.07618365417082072,0.04554437808690967,3.0836279494057944e-07,4.769716463102353e-08,3.43103993796437e-09
900,6.797861914636094e-05,6.79208968503701e-05,3.8290437112999545e-05,0.0031566686186679585,0.0031214828551316682,0.0030221044616604745,0.12568740974339518,0.0688629448080779,0.25627236704326395,0.1455109000872129,0.10430568529050592,0.06405108333418175,1.5331131294789659e-06,2.6826997705809595e-07,2.1774295224184986e-08
1000,6.923151145836529e-05,6.919403023828353e-05,3.8970401783234864e-05,0.0031597885708420435,0.0031382023099785325,0.0030739527262018613,0.13506325120455953,0.08689950945638365,0.2759861059073495,0.18478871163135366,0.13599746586909936,0.08584680807216102,5.945348779917076e-06,1.1745163769868972e-06,1.0801790577139806e-07
1100,7.002623708430936e-05,7.000203602941023e-05,3.9401261307108456e-05,0.0031628664093128335,0.0031482240636869618,0.0031067727185731453,0.14382231653879393,0.10662525912209148,0.2943813034843097,0.22574035952431534,0.17036115666449425,0.11054990383272494,1.884392662206375e-05,4.1823658685213744e-06,4.362174765448941e-07
1200,7.053160766755254e-05,7.05154362191437e-05,3.967458934359481e-05,0.0031688007630739086,0.0031554930385358586,0.003127641340729193,0.15210672045196186,0.12784172712588152,0.3115613975225893,0.2672483755610757,0.20649219548333983,0.13768017824911846,5.066407065768464e-05,1.2551208061439904e-05,1.482180453447753e-06
1300,7.087919825108612e-05,7.086667927573196e-05,3.9860934540173554e-05,0.0031828708141959255,0.003164015017858089,0.003142065431934406,0.1601507999624783,0.15035528216612748,0.32764814286825145,0.3084041099427629,0.24355305631583843,0.16670987854427402,0.00011899925411034745,3.266442407305532e-05,4.352419029646417e-06
1400,7.119161773674586e-05,7.117813762063302e-05,4.002491472412828e-05,0.0032146189236108348,0.003179475480597633,0.003155203266600749,0.16833279910861426,0.17398077879255888,0.34280935587565636,0.34850961704705974,0.28081421209877583,0.19710508130548735,0.0002499431986847744,7.544301010537306e-05,1.1289870355699295e-05
1500,7.161691636243798e-05,7.159629692968257e-05,4.0243311153761333e-05,0.0032798596440355835,0.00321102750499329,0.003173322478982731,0.17722858172215086,0.1985438925389207,0.3573043839193194,0.38705725919034367,0.3176704858189769,0.2283560335213669,0.0004782683035953879,0.0001575601699003919,2.6337431933185137e-05
1600,7.236773089817034e-05,7.233073957207259e-05,4.0625447362095425e-05,0.003402460910663465,0.0032731299966113807,0.0032054352618509107,0.1876578437468416,0.22388349091280388,0.3715502427272357,0.4237003393828896,0.35364119550064066,0.25999717641654296,0.0008462849706658043,0.00030212107945685036,5.608282507656058e-05
1700,7.376255549163613e-05,7.369533700897784e-05,4.133422405485986e-05,0.0036155110394478496,0.0033871791993132024,0.0032649783965533782,0.20071416260290906,0.24985465495495235,0.38620774199347746,0.4582223889080636,0.3883609070499132,0.2916186277207399,0.001401568202752169,0.0005385835826363131,0.00011036201247565027
1800,7.626533103551545e-05,7.614781795056439e-05,4.2605000706860144e-05,0.003961595162539794,0.003582625158490137,0.003371320128671472,0.2177731345510565,0.2763309994368209,0.40228255029364135,0.49050884529997035,0.4215655233856151,0.32287106872745275,0.002193963482572849,0.0009018671434349392,0.00020278249027071705
1900,8.051991153803634e-05,8.03241442747921e-05,4.47588123624255e-05,0.004492111150948528,0.0038973228661776417,0.0035508353799024663,0.24047680045803996,0.3032015536146995,0.4212321293991174,0.5205225345978147,0.4530766658630426,0.35346573776034657,0.003272361710733973,0.0014307684184499076,0.000350948955522598
2000,8.737818272645334e-05,8.706622997314064e-05,4.820640721426243e-05,0.005265754235399157,0.0043769908862516605,0.0038373079029631056,0.2706957956363636,0.3303531202777722,0.44506685417290015,0.5482831937847981,0.4827859696488388,0.3831707222862485,0.0046816815955392135,0.0021659063037253704,0.0005763152881933121
