milliseconds,A,R,E,G
0,1.0334508694593845,27.527422057544737,-83.02364928425747,101028012.07624024
100,1.6947589877386153,20.099535181113207,245.74852963863316,59647988.48497024
200,2.2576403360095587,57.83781963606587,301.44566780068146,37324124.39407453
300,2.54833308552062,128.1523429933381,502.6218963006645,22821195.904117327
400,2.7228411934969428,173.26590593295361,902.819402779608,13288749.868615678
500,2.790330704713651,190.66377990626194,1124.7314910474697,6979700.92993083
600,2.848680589352705,290.80692495307505,1336.3011512169958,6525052.193961898
700,2.7264961431029118,309.27182887629124,1637.1297548215762,4892560.423171417
800,2.693418411782386,391.4235530362582,1700.0894752080535,2292964.8591380725
900,2.628736573250422,414.6961743175492,2008.0401737598954,1591136.528604826
1000,2.5495254609326574,489.9961642987364,2234.9319961877886,1904834.7964379254
1100,2.4592703688679736,560.312600016171,2309.233689737031,170616.09348456643
1200,2.3567191048214093,601.8480117564147,2636.441458197589,-3195.3651682750788
1300,2.2911379104026546,638.6210619924291,2769.875268467184,1768800.9946657906
1400,2.1530879646118506,634.0156372180338,2827.9243846905015,1760521.3296099736
1500,2.1518002024831318,659.8135791547002,3075.4609385429717,2229115.874156099
1600,2.0407305920588583,733.1316404646986,3045.1155528904483,1169644.1941764809
1700,1.9038933841762256,742.931440845659,3232.1205603499934,330983.21374162403
1800,1.9416248688799382,754.8897197594589,3475.472439200193,705562.9206359566
1900,1.7961505787616365,805.5153157558433,3470.105399566197,1095248.503843362
2000,1.8054185519571304,852.3240988389358,3475.6032735267154,-295086.6609126944
2100,1.6685263919951105,863.2093796739565,3658.1874577011536,949288.9366703327
2200,1.7116776782141363,914.8101907204714,3612.058968743132,3092750.417959611
2300,1.6278692414906721,914.1884917233058,3798.9404030879214,274712.7865710505
2400,1.5707127169570827,937.2173920922397,3886.5880909599296,2912951.3628981304
2500,1.5679283708754341,932.8280028289965,3830.006427220824,2436079.3225795617
2600,1.4544726756295452,935.2335665331195,3987.4207833662517,331120.2561283589
2700,1.4940147202849874,976.3293606154017,4095.066493464325,2137630.9210815453
2800,1.3721981275473059,995.4916333533452,4194.079407486987,2688323.5223569414
2900,1.3422723055488393,962.3451904216562,4008.931034424935,2759177.997825811
3000,1.3867586137270387,973.5118706296377,4055.6132690662803,466192.8337671303
3100,1.2786038684401446,1021.7059289503391,4124.789535810765,1454914.7948822903
3200,1.3316160359342375,1053.300551021599,4076.906968895456,3293741.384798333
3300,1.2638747032630158,1050.736586882567,4108.769481740874,2055472.6024628347
3400,1.244793927263257,1034.4231127666196,4118.22168950047,2811738.470434254
3500,1.2646950102695746,1027.1100743288425,4236.046530417271,108725.25193624897
3600,1.2058793148162774,1044.8004712369159,4230.685657630879,2616123.2560662758
3700,1.2277419809620946,1074.846419798014,4288.84593640017,1182276.4719534954
3800,1.158188298162569,1087.3946491898105,4204.753575231098,466028.0965525883
3900,1.1714397428053096,1043.4788879117027,4255.003336770052,3240766.876030434
4000,1.148998455120358,1074.5063153813142,4248.860033592589,643215.1555952269
4100,1.0723313735141826,1099.2505640291606,4410.369205917581,3209476.9912738395
4200,1.1408780912853735,1061.2278685833678,4294.730798327967,606381.1886707679
4300,1.0587438490124175,1087.4620858951162,4436.487687843392,2688160.2676966568
4400,1.0448524543067008,1111.833969872478,4357.051889460756,135355.2117353899
4500,1.1277049015366643,1060.270990933724,4271.186392205019,1700476.2979606902
4600,1.0877326204385742,1063.293761531716,4317.858505577147,3164410.2673794236
4700,0.995207996338768,1106.381175126784,4240.084059522041,2926419.3966098065
4800,1.0056830778171992,1120.4510211106997,4279.00152759043,2220408.7369906553
4900,1.005275901788139,1066.500925489585,4354.279826274972,853322.3028040108
5000,1.0406141385556817,1123.2150045299843,4414.870408431278,2165275.596924718
