miliseconds,A_dopa,C_dopa,C_OMD
0,101.32049191457567,-0.17849631827564494,0.07768651882238618
100,80.92312516027276,7.376809604678701,0.18887881733537992
200,65.33837886199574,12.279152415886058,0.6387194859174068
300,53.2331956846941,15.595018862930631,1.050639063187523
400,43.81492447414764,16.881442054611817,1.8970437120552837
500,35.89072066315811,17.618315797309695,2.5788696108867124
600,29.42917281505588,17.18920591032567,3.3330891806955685
700,23.332941442297916,16.577453483951743,4.020844475020026
800,18.963592163717728,15.757888333836714,4.722483199557469
900,14.621403176075502,14.895178268927987,5.374243869270382
1000,12.07981226083042,13.644400246284894,5.825708607839299
1100,10.804122849455418,12.793471328324042,6.384552831747079
1200,8.937733647670903,11.128749103224974,6.677037569072675
1300,5.406820439483494,10.472257390501065,7.293970302065808
1400,5.664978788672451,9.397995229365122,7.619596596595081
1500,3.2500726698384597,7.914258215926169,8.021217158167333
1600,2.680148978383303,6.906360587297402,8.247971743794121
1700,3.567958494144133,6.53734353328285,8.474729948421754
1800,3.117244633816498,5.658123708057438,8.6587652151834
1900,2.3853070381753354,4.768411905359088,8.781482425853957
2000,1.0530855341357035,4.06552639135841,8.982699131014146
2100,1.677953983465914,3.6732632488825345,8.921416341505468
2200,1.8643795026178682,3.324998823263436,9.112996918105223
2300,1.279636012452811,2.533919551139312,9.2312164843957
2400,0.48573575063363983,2.4266878771997096,9.312803996165387
2500,1.134786162968289,1.9483038638092038,9.15711000830288
2600,0.9805973569005753,1.834899680520448,9.350031997829632
2700,1.2187678789706013,1.3549541015328466,9.209621188767267
2800,-0.4449816208070935,1.2442897555990022,9.361245400270512
2900,0.6829722588278286,0.9631480465010225,9.408247024133418
3000,0.6274855946968668,1.0629530271356786,9.341456699416508
3100,0.7158005043254906,0.62438994427181,9.282694251410895
3200,0.9570146484041915,1.0204962160746573,9.307713932618176
3300,-0.6449877036966416,0.8682744243997509,9.192954840247884
3400,-0.3745344269284676,0.491782649242436,9.157393614134618
3500,-0.16185698375180868,0.39700519889248737,9.269105028039112
3600,-0.9220720144486719,0.3090695977615172,9.102584640616284
3700,-0.8379157268759811,0.34817927306932606,9.209577542292207
3800,0.3854449709597313,0.5955456563822967,8.985163094445511
3900,-0.6091814182765911,-0.02186127893826012,9.02153709624363
4000,-0.1172976707306981,0.4048935721052284,8.837988930123672
4100,0.9686518154525773,0.4601905327964226,9.03049018890401
4200,0.8608924291928373,0.25298162744954983,8.885749428488733
4300,0.5168639337792164,0.21448798174080724,8.778432919523151
4400,-1.0822702899028065,0.14995277834766527,8.643037570577675
4500,0.8550174316423462,0.14928420173916915,8.8021136159195
4600,1.0803803099393643,0.14879318936818048,8.801920465602198
4700,1.0247848959415742,0.1755062904602359,8.494298572226162
4800,0.9212609981275757,-0.18330973996123867,8.679499525754563
4900,0.09980031203921491,0.09149744118335937,8.491799078214706
5000,-0.09032055842691475,0.04277558215797002,8.53941353256655
