milliseconds,Cm,Ct,T
0,0.0,0.0,2000000.0
100,0.0,0.0,2011335.1183854016
200,0.0,0.0,2022731.6682822767
300,0.0,0.0,2034192.6895829823
400,0.0,0.0,2045718.6628262738
500,0.0,0.0,2057310.0055052715
600,0.0,0.0,2068967.0328848213
700,0.0,0.0,2080690.3508953613
800,0.0,0.0,2092479.933792723
900,0.0,0.0,2104336.224675652
1000,0.0,0.0,2116259.793601733
1100,0.0,0.0,2128250.7552287527
1200,0.0,0.0,2140309.570986938
1300,0.0,0.0,2152436.7265037936
1400,0.0,0.0,2164632.5158485873
1500,0.0,0.0,2176897.368247247
1600,0.0,0.0,2189231.708813045
1700,0.0,0.0,2201635.913149685
1800,0.0,0.0,2214110.3983738823
1900,0.0,0.0,2226655.570174834
2000,0.0,0.0,2239271.82167457
2100,0.0,0.0,2251959.553156802
2200,0.0,0.0,2264719.1649052445
2300,0.0,0.0,2277551.1688401243
2400,0.0,0.0,2290455.9422836564
2500,0.0,0.0,2303433.8610497173
2600,0.0,0.0,2316485.3293062374
2700,0.0,0.0,2329610.7512211483
2800,0.0,0.0,2342810.53096238
2900,0.0,0.0,2356085.0726978634
3000,0.0,0.0,2369434.78059553
3100,0.0,0.0,2382860.05882331
3200,0.0,0.0,2396361.761328754
3300,0.0,0.0,2409940.1468539066
3400,0.0,0.0,2423595.523562761
3500,0.0,0.0,2437328.3117925148
3600,0.0,0.0,2451138.930812211
3700,0.0,0.0,2465027.7988227345
3800,0.0,0.0,2478995.332956817
3900,0.0,0.0,2493041.949279034
4000,0.0,0.0,2507168.062785805
4100,0.0,0.0,2521374.0874053943
4200,0.0,0.0,2535660.4359979103
4300,0.0,0.0,2550027.8031811407
4400,0.0,0.0,2564477.0918566766
4500,0.0,0.0,2579008.255334996
4600,0.0,0.0,2593621.7442369037
4700,0.0,0.0,2608318.010249941
4800,0.0,0.0,2623097.5061283885
4900,0.0,0.0,2637960.685693264
5000,0.0,0.0,2652908.0038323235
