milliseconds,T,H1,H2,M1,M2
0,114346.04357260832,981166.1943185426,-0.2732514215428762,-8799.054828922455,-467.5238589400517
100,104234.05477360265,3414521.94462373,0.5528095021312647,-3316.273550568742,-434.18261322657185
200,113194.17145318867,1462780.9645866442,0.3638133270306473,-6138.057770016918,-218.87116478555612
300,108326.39805384197,56440.69089562488,0.26353759807986443,1112.1669467196773,-487.19248464169044
400,120511.50114400721,-4345498.986976212,0.012404503880627454,-7706.032904129706,483.0854144466864
500,132271.77204411066,-4519284.415493269,-0.3131471069741771,-6721.766925297649,-332.9200957581966
600,162322.4814847413,1033707.5150856491,-0.26281588698828984,-3792.6913908706356,-672.8653222016886
700,157741.75409571495,-412176.4532040891,-0.14413048014676288,4846.428898356333,328.1485596210573
800,186394.04719907616,-1773492.2156668683,-0.011272082065335582,5250.743768729439,204.94259564780833
900,190347.20523744987,2443772.770162686,0.12796407655180841,4077.219251246999,616.0959751289921
1000,196108.67028158813,4074318.118547756,0.09438527283589825,-7308.639142892417,480.5015440044289
1100,202633.33148193816,-2649351.462410784,-0.27305472027546385,6661.026570683173,593.7224880065093
1200,212218.36992882975,-1433842.196809248,0.1250515708895138,8383.401637825058,-425.8779152851869
1300,236305.53598695758,3510537.8270635237,-0.026369301686000754,-1176.4434284878034,-406.93845447016156
1400,249220.2052108699,3492561.8853421477,0.003983918841966445,7646.536728577907,-257.74336094509545
1500,270010.77155932324,-4605038.705964967,-0.3712992801980348,1345.515873301388,86.26286457719392
1600,292629.8785102057,1138187.930964873,0.3720360158057039,-8535.471492562629,-413.04304171003355
1700,315864.840117839,524482.3221092797,-0.11593652692150569,-4740.626566750805,61.5764030309728
1800,352705.9327020099,585849.7537224968,-0.20306684851428783,4654.351725336727,492.87985537981126
1900,371581.99352775974,3942758.6199797057,-0.5463890150588017,-5856.667426780834,-379.35164643578366
2000,394677.4470014036,99658381.51776676,0.16652773750844665,-3459.3187790478223,-413.14030762365473
2100,408954.2149288705,96691479.383236,0.0683988794157794,14339.157300768142,134.0037575187192
2200,393814.9044639742,104829503.33580671,-0.3725491631368879,28648.731168551058,711.1905935091745
2300,411396.0338821942,104117327.80239138,-0.45079924550768424,42964.84189003319,-294.69120322238433
2400,409072.94517627923,96877714.13808012,-0.09822099847173256,47467.290865870134,697.4193602842747
2500,444316.221528504,95517603.41833775,0.4680632031356657,53946.61535807453,518.0278108412354
2600,457701.8261347722,102067207.04605746,0.07564297000171755,68477.65154849355,1438.7406531463566
2700,454552.0856946597,97705678.81547534,0.263398188202979,77868.77951929161,1224.8639405620913
2800,448319.0581390392,98978948.28226154,-0.05189865276692296,80990.13830596562,2155.9636474026424
2900,460760.1442368064,101206929.05032907,0.4379446586051244,95345.9742394268,2737.1342000591335
3000,494653.9398475168,95334943.72157872,0.5766907934153682,91041.51389780149,2122.2957533452895
3100,507168.8483040213,102750199.07911177,1.326970858647917,103738.46796758582,2556.121145071179
3200,516016.284209609,103197325.00765695,1.9284487895614477,110285.00306818631,3641.557341316763
3300,504141.9834003121,102885184.11380759,2.1068842533647247,129049.53757918549,3754.9794124561085
3400,505793.9850388658,97070033.26987162,2.334195405221308,137462.28756668957,4483.609443126751
3500,546072.102289281,102736138.10672125,2.9611733677202,137181.4168428003,5457.11733199738
3600,556671.5838232554,99651367.2910679,3.5801789594521365,144327.04182372347,6633.16506915539
3700,570402.7899304759,103741008.39425826,4.0291231310059965,157578.70975190634,7586.88702543927
3800,577745.0788896835,98263949.04351607,5.310032326036928,177906.96652978283,7683.492396632267
3900,574069.9729281716,102989225.35772261,5.759722931604528,170504.31154627618,8796.75508110341
4000,589085.9363878671,100530202.21320216,6.827865540293741,185454.76367563487,10469.56438727573
4100,592726.8959413127,104887194.46329321,7.00382502255398,197465.72065391322,11234.52371708179
4200,608543.6134797259,95168171.10526949,9.045468485702697,206354.66865921443,12609.145791024355
4300,624556.767805169,97058740.2034822,9.669404827592023,215987.29386376956,13906.928599159262
4400,640788.1151245405,98148095.30431823,11.078464292002492,225667.52776991815,14206.881024213835
4500,672151.9299224467,100896677.90730883,12.500380397856935,220467.15462950282,15966.74355002975
4600,656786.7022329494,102445080.74039207,14.570103863822972,240158.78136714044,17757.84358035662
4700,699489.790406367,103186332.32596663,15.854248631300734,234367.1681112935,19739.99567392251
4800,687467.039708384,101359080.51262046,17.83221306393275,244227.80132057017,21052.104016989302
4900,729801.604159879,97562531.27930707,19.45582248104532,247400.78485691117,22940.098874317908
5000,717483.3173591137,102582581.9496428,22.2867197495653,269144.9505315133,25677.61582078894
