milliseconds,Normal_T_cells,CAR_T_cells,Antigen_presenting_tumour_cells
0,6.0,0.36,94.86
100,6.457770108059233,0.4256386372607377,93.99618577144611
200,6.941182714978436,0.5010741005475542,92.98801848571857
300,7.45095438397073,0.587365366493697,91.82387358319598
400,7.987764280820876,0.6856220054952434,90.49366054587725
500,8.552258985656211,0.7969950311474053,88.98924970448691
600,9.145051331540644,0.9226654032895917,87.30488875197307
700,9.7667161838242,1.0638349391773447,85.43779570703644
800,10.417786841099119,1.2217146478146106,83.38867150671184
900,11.0987548333021,1.3975098750665969,81.16185074668104
1000,11.810068253003658,1.5924034212596951,78.76542260850863
1100,12.552130588651488,1.8075425620186212,76.21116817093441
1200,13.325299968729773,2.0440250058401137,73.51436466914208
1300,14.12988830127733,2.302878045480044,70.6933712996271
1400,14.9661611878593,2.5850435434200323,67.76899344836801
1500,15.8343383259537,2.8913593422725916,64.76388583058824
1600,16.73459424281421,3.222544307590281,61.70180558055398
1700,17.667059344529836,3.5791838283998034,58.60689196673094
1800,18.631821273613784,3.9617171813067276,55.50295043769091
1900,19.62892640576502,4.370425493194626,52.41281579395426
2000,20.658381638286116,4.805421068002168,49.357822502072025
2100,21.72015647698591,5.266639163545461,46.357387141448946
2200,22.814185312845062,5.753832084606223,43.42871334892096
2300,23.940369842146236,6.266565703233941,40.586610144111525
2400,25.09858158740257,6.80421816557783,37.84340496036843
2500,26.2886645064402,7.365981783110659,35.20898432813271
2600,27.510437603971074,7.95086642970566,32.69087345074499
2700,28.76369758682478,8.55770549802354,30.2943880542879
2800,30.048221498185953,9.185164032177205,28.022827288109056
2900,31.363769298155802,9.831748985830236,25.877692496608447
3000,32.710086386247376,10.495820720802776,23.858912026836748
3100,34.08690599584739,11.175607105271553,21.96507829964834
3200,35.49395148324682,11.869218028607747,20.193664382604602
3300,36.930938486184985,12.574661207013222,18.54123405699973
3400,38.397576935012026,13.289858763089935,17.003634922769795
3500,39.89357290576554,14.0126642301522,15.57617401964177
3600,41.418630317341254,14.740880009567743,14.25376663523184
3700,42.972452416136605,15.472274803063321,13.031065680152686
3800,44.55474315758436,16.204600178217376,11.902590391360308
3900,46.165208349127376,16.93560763244572,10.86280299837479
4000,47.803556664346885,17.663064174410263,9.90620117425897
4100,49.469500453883896,18.384767663859677,9.027370503456078
4200,51.16275643452609,19.09856098994625,8.221040249307363
4300,52.883046177869794,19.80234513973105,7.482119165161327
4400,54.63009646067866,20.49409111470411,6.805722634546936
4500,56.40363948762743,21.171850649088853,6.18719563722265
4600,58.2034129672916,21.833765756909095,5.622123244730378
4700,60.02916006292623,22.478076881871065,5.106338683196824
4800,61.88062923715399,23.10312995539966,4.63592500070558
4900,63.75757398337614,23.70738212311261,4.207213403593443
5000,65.65975244823576,24.289406081021447,3.816778452843507
