miliseconds,M,Mp,Mpp,MAPKK1,MAPKK2,MKP3
0,500.04647745199713,-0.0031398521259154836,0.00014024031818706906,100.0,1.0,100.0
100,499.84876256189915,0.11102423512074093,0.0003325034266804662,100.0,1.0,100.0
200,499.8766015052457,0.19482986333816238,0.0016908024221866241,100.0,1.0,100.0
300,499.7661302200291,0.24041428655170388,0.0039032672848503085,100.0,1.0,100.0
400,499.62433383449695,0.4029650586702218,0.0030330147772784457,100.0,1.0,100.0
500,499.51988264502234,0.5036654198298074,-0.0001170105215920988,100.0,1.0,100.0
600,499.4570369836421,0.4866655264982993,0.00784124295116518,100.0,1.0,100.0
700,499.3790914915398,0.575674511481691,0.007809570289609385,100.0,1.0,100.0
800,499.27413278191204,0.6770984372822608,0.005710625927646819,100.0,1.0,100.0
900,499.22381895265073,0.8458744209954865,0.012167935886913988,100.0,1.0,100.0
1000,499.13651034413266,0.8465377990365487,0.009208964871937966,100.0,1.0,100.0
1100,499.0687391808818,0.9664842295988688,0.012370632805246822,100.0,1.0,100.0
1200,498.94509713984263,1.0784925112519406,0.01996267478912946,100.0,1.0,100.0
1300,498.8270286002931,1.1138667627363843,0.022113498063280168,100.0,1.0,100.0
1400,498.7485288756012,1.1625086177583634,0.025595594636639518,100.0,1.0,100.0
1500,498.6421603374958,1.2993739816868204,0.023691848305960245,100.0,1.0,100.0
1600,498.6086613364744,1.4053330557705295,0.030791027446841913,100.0,1.0,100.0
1700,498.55912868196305,1.5050353052367282,0.036045683249826516,100.0,1.0,100.0
1800,498.42689893638146,1.527455420703244,0.03507199022616715,100.0,1.0,100.0
1900,498.29262844578864,1.5981709133872952,0.03864530645854054,100.0,1.0,100.0
2000,498.3154272319756,1.7029022057413474,0.04609349108857298,100.0,1.0,100.0
2100,498.23242005475464,1.8285859174359471,0.05038240047722265,100.0,1.0,100.0
2200,498.1219281500296,1.9001014177094697,0.05628622358527783,100.0,1.0,100.0
2300,497.96223487003385,1.9530198122657034,0.05652419696612434,100.0,1.0,100.0
2400,497.90096802131706,1.982735132573949,0.05891035795779812,100.0,1.0,100.0
2500,497.87929285218945,2.1293079543584943,0.06829071173929444,100.0,1.0,100.0
2600,497.80127129296966,2.1102486422066242,0.07144366606018093,100.0,1.0,100.0
2700,497.66142325502796,2.2321633248352724,0.07537935339954092,100.0,1.0,100.0
2800,497.6450206796911,2.3425396111979286,0.08275165396572944,100.0,1.0,100.0
2900,497.53061228333684,2.372761871663606,0.08883079689147395,100.0,1.0,100.0
3000,497.4602550524331,2.4929482815811435,0.09290905515492964,100.0,1.0,100.0
3100,497.33559510854604,2.491048692381692,0.09569835477455556,100.0,1.0,100.0
3200,497.2542407215993,2.6100985556694045,0.10420922683913598,100.0,1.0,100.0
3300,497.18221833213033,2.6468304446181454,0.10760624955847452,100.0,1.0,100.0
3400,497.11962788551455,2.7069758631756202,0.11573984032013093,100.0,1.0,100.0
3500,497.02525147283285,2.8153859940899166,0.11775258944474797,100.0,1.0,100.0
3600,497.0189698690863,2.8913357388199556,0.1286647499439571,100.0,1.0,100.0
3700,496.9003080144588,2.9198147094807574,0.1339838693377481,100.0,1.0,100.0
3800,496.80357472809834,3.0593747813643204,0.1346106451384574,100.0,1.0,100.0
3900,496.7278849732649,3.1771900197726715,0.14698068023951757,100.0,1.0,100.0
4000,496.6846176860169,3.1339367769358857,0.14789246867634903,100.0,1.0,100.0
4100,496.58425546754574,3.2388934307468253,0.1534496336660391,100.0,1.0,100.0
4200,496.53700284764227,3.332896393549903,0.15990989582895368,100.0,1.0,100.0
4300,496.4877085859038,3.3885764391758855,0.1667953509424139,100.0,1.0,100.0
4400,496.37729544940635,3.4773816527239916,0.17634677796504605,100.0,1.0,100.0
4500,496.2811792987312,3.4817047544956896,0.18150103541884474,100.0,1.0,100.0
4600,496.2146912714164,3.6132154119676674,0.18626000596602957,100.0,1.0,100.0
4700,496.1071340612431,3.634767744169314,0.19330636465045467,100.0,1.0,100.0
4800,496.07790247476703,3.793131493735989,0.20036798603096267,100.0,1.0,100.0
4900,496.0135615089901,3.850309676899178,0.20681429220885159,100.0,1.0,100.0
5000,495.88249528973074,3.911758900051816,0.2130404588376909,100.0,1.0,100.0
