milliseconds,A,C9,C9X,X,AC9X,AC9,C3,C3_star,C3_starX,C9_starX,C9_star,AC9_star,AC9_starX,C9X_C3_star,AC9X_C3_star,C9_starX_C3_star,AC9_starX_C3_star
0,20.001496400455284,20.05406339984167,-0.07536869038621262,39.91941173956578,-0.0048043730227032766,-0.034129455829078614,200.00071612912137,-0.004018751451448499,-0.002014465952429058,-1.084464705764503e-06,-6.252307890479157e-05,-1.0040913459172738e-05,4.5850936179373875e-07,6.068957452170675e-05,-2.6121549492248686e-05,-1.1579092545154331e-09,2.7717892439430655e-10
100,19.96708721538638,19.99126892056534,0.15706008878205263,40.02441751138261,-0.009852091593329894,0.11015780635635378,199.99373883928746,-0.003657935055945106,0.00037627413254224005,9.479621079471063e-07,-7.188299119178844e-05,-1.1089333991396678e-05,4.920528474335436e-07,0.00013519379331683305,2.6043176085039773e-05,-1.0937409786748209e-09,-2.69946192234127e-10
200,19.878937561075332,19.540632491770843,0.15449157044811085,39.887791056164154,0.006863630391047778,0.1665262955745907,199.98597933553557,0.009781772018343161,0.0009182601458749056,-1.7010871796526114e-06,6.151254372096021e-05,-6.638701223587731e-07,4.2365266579298557e-07,0.0002225762622303166,-1.4689318262506438e-05,2.7256624584022523e-09,6.933240415981497e-10
300,19.71011958202799,19.45866095353691,0.17114798316586866,39.7797386551997,-0.010981395986395675,0.22169446483448849,200.00270947954562,0.004805330168117154,-0.0012594287969460783,2.3006909986444083e-06,3.872465480080108e-05,-1.11698506354088e-05,4.609158225150642e-07,5.9356309760910484e-05,-3.2879497364575828e-06,2.021469037726823e-09,1.2599238158092297e-10
400,19.636721355867714,19.394241968033175,0.3643572167406579,39.73552524179899,0.017625784299827293,0.3114362321860692,199.99054482472434,0.008195204124525996,-0.0004950784645580943,-7.435772287285771e-07,-6.362672901114368e-05,1.9158014172335828e-06,-3.169928079100783e-07,0.00010928186923299415,-2.2547882416614194e-05,9.40427431773107e-09,8.72562055509349e-10
500,19.671997694759213,19.11429377800042,0.4674653037759977,39.5721023498479,0.0027432708835173148,0.3168813547017066,199.98473400130328,0.013603107630150175,0.0017673494260645707,1.229468821624331e-06,8.426845680538588e-05,6.562816890764981e-06,5.340705950900031e-07,4.9891970757690244e-05,3.0507889585019422e-05,2.818349389294353e-09,8.986704712372277e-10
600,19.597456746710094,19.18063521622371,0.5080278785122727,39.523921016410505,0.009736343187510066,0.4004651745186896,199.98576482244968,0.023248794417966557,-0.0007278917069604499,4.407328515562908e-06,9.315123672983539e-05,-4.576223125442127e-06,-4.931091669392991e-07,0.00020048853790970655,1.8348611740005363e-05,-6.186895866598519e-09,-4.858589473976045e-11
700,19.530095149870387,18.802602516551545,0.6047067547547669,39.429038777893155,0.005911935181739119,0.5543798400599512,199.97829164883262,0.021676021137696164,0.00265990137259887,1.1907289728886724e-06,8.912974396551065e-05,-5.745505536119241e-06,1.1706938416928756e-08,-8.340813351172506e-05,-2.9083235115986582e-05,-7.72680342175959e-09,1.0603408938628471e-09
800,19.468156928417002,18.690240424285953,0.5667328009439422,39.470948115934306,0.019375906672362723,0.5443589330357231,199.96529731495306,0.03476689470892346,0.0021822099069426027,3.6129194986128105e-07,-8.175329653886839e-06,-2.0188368497828298e-06,1.9634588713451465e-07,-0.00015133480293162623,1.4321628727341505e-05,-2.2788749370844333e-09,-1.0970374424481344e-09
900,19.363769399437302,18.67832342635905,0.6715943575434289,39.35732842120217,0.013862054500397743,0.5866149055878453,199.95978784511013,0.03194378350157278,0.000632842794179704,-3.1994130203859337e-06,8.794375549101623e-05,-6.902618667307167e-06,-1.6003739361941107e-07,-8.928145538280704e-05,-1.0867124297930924e-05,-2.9956492257805428e-09,8.625289694056828e-10
1000,19.239942332014085,18.541399392755903,0.6708995123911182,39.14169778204676,0.017880296080894843,0.7552463777485641,199.96813896467788,0.03437596986444923,-0.0008358933887639233,-1.4189277703045467e-08,0.0001026870767437743,4.175804731688025e-09,4.347973496615381e-07,6.894429040553279e-05,3.467204952468217e-05,7.143807336906277e-09,-1.0471420105972929e-09
