miliseconds,AprE,DegU,DegUP,Dim,mAprE,mDegU
0,-3.6235504652808773e-05,10.001185393075563,-4.5674289077845385e-05,-2.986349390421599e-06,-0.00015315017735033573,7.005237814534113e-07
100,-2.6604109675410502e-05,9.996139122729954,0.005237129991652287,-1.1767409518580392e-05,0.0006135690488529295,0.0005420810184727102
200,7.962730984503687e-06,9.990724318710374,0.006513701747070707,5.480108116719883e-06,0.0009344665366532854,0.0008208748044697227
300,3.475840179613611e-05,9.985563660763694,0.010612852333212632,5.213405369357101e-06,0.0011611796697922772,0.0012967718588426209
400,9.831132348562371e-06,9.98510416812505,0.015033946609624255,7.6066055125755214e-06,0.0020053990346952538,0.0016225859426965978
500,7.7548168276075e-06,9.97676002852786,0.018625768400802895,1.3189199892171428e-05,0.002155062874161713,0.001912050622804132
600,9.030827727127802e-06,9.97400279333504,0.0232687167949818,-6.5029793234556545e-06,0.0027006055822156884,0.0026185732842892123
700,3.3667803138274515e-05,9.971121775146715,0.026633653781375347,-6.847443307214776e-06,0.003217672930792065,0.0027938405094628557
800,3.769835284903424e-05,9.968368134007541,0.02887324311796809,7.445046815750032e-06,0.0037310727738709966,0.003273528647416126
900,9.886969194155648e-05,9.964595428017528,0.03302843798079841,-3.2895472864499645e-06,0.004356883849487578,0.003305097969642409
1000,8.526213697476784e-05,9.961260311902707,0.035721859490462436,9.68541839838559e-06,0.00461978627473789,0.00420071294966225
1100,0.00011334156445749959,9.95488244969323,0.04108168022928837,1.1916826199887526e-05,0.005264861262669904,0.004098625913817429
1200,0.00018019934306821167,9.949934463367285,0.043049124977530086,3.126601392497609e-05,0.0062933159451722025,0.004893083979245323
1300,0.00016839515765659094,9.949788038000255,0.04559256142485631,2.7787300114730156e-05,0.006297074911307954,0.004963294443500213
1400,0.00020756019447890165,9.94311540371977,0.051454763675770426,1.9799052717112246e-05,0.006693908004544008,0.005668341831290821
1500,0.00020199728509839095,9.942312062152405,0.053520703724703265,2.848213735102918e-05,0.007631836644265774,0.005749372504963261
1600,0.00026363661203566405,9.939315298386804,0.05579674525804758,4.403556010686114e-05,0.008223250926288351,0.006461482096678451
1700,0.0002529135744354185,9.934606725800402,0.058038683005743934,3.9681000397420576e-05,0.008327159233505743,0.006682876342555159
1800,0.00029674802166722254,9.928907728546672,0.06300076650437002,5.773681503811816e-05,0.008915012784134462,0.007302132206033072
1900,0.00034543125875624857,9.926915401865346,0.06382368143699124,7.93677758998028e-05,0.009119746693115306,0.00750009411878126
2000,0.00040160174768977464,9.923622362615413,0.06991975811118348,9.087261341446025e-05,0.010133809610783655,0.008090635781585831
2100,0.0004471644834475644,9.9201768585762,0.07229133885425117,8.461561484356616e-05,0.010307483334998839,0.008592399735389977
2200,0.0005089928426006556,9.917224249148614,0.07235117667670814,0.00011394944238820993,0.010564449709590619,0.008694748459388188
2300,0.000539099117860269,9.915928621815727,0.07548914094123112,0.00011569102991896645,0.011465817716676907,0.008919340890834404
2400,0.0005375257645263825,9.909154068432164,0.08007940876555544,0.00012086939482067569,0.011959367013895893,0.009565607614302916
2500,0.0006379640025569478,9.906629795298917,0.08356163610706531,0.0001429018558302764,0.012192006418045381,0.010062499621066135
2600,0.0006419254645670532,9.906486174395429,0.08447030083853077,0.00015428464951680563,0.013111952343470826,0.010362813367660937
2700,0.0006864646852466357,9.9005671421406,0.08843911271261298,0.0001713971734239,0.013230916478084363,0.010865705199727706
2800,0.0008004428598968063,9.89621241095822,0.09030522534428898,0.00019557368710200625,0.013708884851660417,0.011288235486413653
2900,0.0008637187844339796,9.89706379837398,0.09132137233725085,0.00020970903138732114,0.014229200601307838,0.011534335282675836
3000,0.0008613279003022077,9.894589947161286,0.0947111307372517,0.00023821804631776492,0.01493006445489683,0.01191986258915365
3100,0.000963957196632503,9.887565805724412,0.09993603614434043,0.0002667348770848922,0.015371997485562401,0.012259067553421982
3200,0.0009918668308449092,9.886010149732604,0.10232476469928788,0.00027269425048073986,0.015419179168941696,0.012816596091219361
3300,0.0010811741472388644,9.882310215104974,0.10149752875248132,0.00029219198132660415,0.0160649438515646,0.013217011454753602
3400,0.0011131477804762102,9.879681074438752,0.10455315572451324,0.0003278661337227814,0.016650966453608786,0.013561179147535697
3500,0.0012052745670990974,9.878058010002443,0.10824241876788294,0.0003568941408231183,0.01733248701212575,0.013956424299270112
3600,0.0012696418400720867,9.877648373170997,0.10986144972517713,0.00038215966915594514,0.01770714264031235,0.013875041146167973
3700,0.001357221645013956,9.872701175113903,0.11390471317563722,0.0003971613425273428,0.01817029559135458,0.014279141287169075
3800,0.0014456851804362804,9.872411074477114,0.11380938750223464,0.00042975183092616807,0.018652315294227232,0.015076740433445873
3900,0.0014714576584884973,9.86912434726119,0.11455541957949662,0.00045655275981699024,0.01913287930813458,0.015467372255290518
