milliseconds,Infected,Recovered,Susceptible
0,1.2159210253999716e-07,-3.744460668960604e-09,1.0000000125469974
100,1.2652578916019472e-07,-1.3159936376762435e-10,0.9999999841244956
200,1.3801923747485151e-07,6.817344316123343e-09,1.0000000024689375
300,1.3066810854134726e-07,9.075127703449765e-09,0.9999999929107615
400,1.3504784887659658e-07,1.0447548217375836e-08,0.9999999874177815
500,1.4674779095059693e-07,4.852542979164309e-09,0.9999999642787107
600,1.4914377196747793e-07,6.60418861975703e-09,0.9999999777574698
700,1.4819646285318192e-07,1.8072057172443947e-08,0.9999999650273523
800,1.52106282188943e-07,1.3549196656747976e-08,0.9999999510547974
900,1.5391484196100768e-07,1.3867579099720923e-08,0.9999999536083134
1000,1.561745601669209e-07,1.6972822764535083e-08,0.9999999432218227
1100,1.7105597629349235e-07,2.2135669666760957e-08,0.9999999401217567
1200,1.7554592475161457e-07,2.0923932217047667e-08,0.9999999309882821
1300,1.7124877420618926e-07,2.9636467134764174e-08,0.9999999307823407
1400,1.7722257518581017e-07,2.4807731157610557e-08,0.9999999225571061
1500,1.740109125893194e-07,2.8505734081639565e-08,0.999999920678081
1600,1.8016176558636773e-07,3.615166140724306e-08,0.9999999165954626
1700,1.8818300503382142e-07,3.5685870186954575e-08,0.9999998909034689
1800,1.9100754358353248e-07,4.189993049116196e-08,0.9999999001695206
1900,1.914468480749294e-07,4.316060965607025e-08,0.999999898636432
2000,1.9722679836874571e-07,4.1815380895797325e-08,0.9999998783985009
2100,2.1218657016029873e-07,5.096552189901012e-08,0.9999998607969133
2200,2.0952017830634923e-07,4.9116977568656e-08,0.9999998688245829
2300,2.1327961643232617e-07,5.3522104305959214e-08,0.9999998541199332
2400,2.1757121968346883e-07,5.886127637240497e-08,0.9999998488388105
2500,2.3693299339428632e-07,5.5904865748933016e-08,0.9999998450618071
2600,2.273250089867086e-07,6.826920819400828e-08,0.9999998308413781
2700,2.427453315401798e-07,6.799788414517593e-08,0.9999998079784785
2800,2.5384230100594547e-07,6.701693674859987e-08,0.9999998210964328
2900,2.4659621255915585e-07,7.060500524851844e-08,0.9999998128529609
3000,2.569879293438654e-07,7.775787908316232e-08,0.999999795552352
3100,2.6014010582030404e-07,7.839035974973158e-08,0.9999997891511966
3200,2.784697249214371e-07,8.365042433225382e-08,0.9999997692403739
3300,2.829120549631326e-07,8.642008743132777e-08,0.9999997585756447
3400,2.754260805124214e-07,9.040286371972683e-08,0.9999997499209723
3500,2.961325582782965e-07,9.278259253787882e-08,0.9999997355673882
3600,3.037345373209606e-07,1.0002300695052673e-07,0.9999997291035536
3700,3.1152259758350773e-07,1.0090350950131455e-07,0.9999997265279814
3800,3.131315658508549e-07,1.0477911468626028e-07,0.9999997059033052
3900,3.191178024735122e-07,1.1740805411087382e-07,0.9999997022340278
4000,3.1954689314348725e-07,1.1971343266210844e-07,0.999999690478481
4100,3.2807972257988713e-07,1.1901807420348587e-07,0.9999996591568339
4200,3.3502970022729507e-07,1.298088134144259e-07,0.999999668680274
4300,3.4386157478068375e-07,1.2957143683520438e-07,0.9999996523971799
4400,3.5595181801593183e-07,1.3907243338861882e-07,0.9999996228565426
4500,3.6740673501840713e-07,1.4505879765203054e-07,0.9999996180456009
4600,3.7465331402089555e-07,1.5064065086887296e-07,0.9999996134705963
4700,3.834253377897486e-07,1.512276309809629e-07,0.9999995898452666
4800,3.997020030145387e-07,1.6245072153329048e-07,0.9999995706338691
4900,4.013374547293649e-07,1.6230190824359847e-07,0.9999995480866839
5000,4.238053462242073e-07,1.7331478324082848e-07,0.999999539333883
