milliseconds,sucr,EtrioseP,Ephe,N,starch,Next,Enitrate,trioseP,Estarch
0,0.6971790081939713,8.060762802067385,0.018294019815593133,5.0000171381338125,0.10275339982896825,500.53806125176766,0.07506599261308045,1.102288657004422,0.004156926843961202
100,0.8059501909174037,8.082000421509516,-0.0077241852648388025,4.9994182304266275,0.7956670550288276,498.9062699868564,0.07493633443596025,0.6472258456244122,0.1849968168985023
200,0.7450468126350074,8.106796295939079,-0.005119654492320765,4.997894805133672,1.1712982528029992,498.7210540656904,0.07492854067184467,0.5741822540905013,0.4087241495131349
300,0.7074028229128759,8.135544108452224,-0.010506722105773263,4.995924039059854,2.1347857935943098,497.43463295973595,0.07496416256563093,0.5608606318772921,0.6330935519917736
400,0.6918884525551513,8.163901832616785,-0.007374819874175578,4.993671943102456,2.439538741969165,497.03371443595006,0.0751466840050541,0.5533165819173793,0.9756907087549395
500,0.6820291937938738,8.195172233933201,0.015123520401381357,4.991048723748232,2.885475108072527,496.2687802782322,0.0752203792106215,0.5540141860545684,1.2328601877832965
600,0.6943130581528467,8.225655745806446,-0.02384662215791409,4.98849232202891,3.4385226826758832,495.8658054727567,0.07533240466998928,0.553536046331054,1.560754449760904
700,0.7136340792403109,8.251409721669916,-0.0036661851329123788,4.986490746224428,4.096434485152129,494.5965691671753,0.07541598827775137,0.5551845741071537,1.803404381149383
800,0.7414177731695939,8.28078162507546,0.013176740331656379,4.984864063914544,4.620045670535138,494.18890290504237,0.07554421772435976,0.5508307207870126,2.078208641606519
900,0.7690371277931808,8.304328816656303,0.01887458042834225,4.983811140322142,5.059615279413923,492.769737004919,0.07569856702096395,0.5545542696002778,2.3048905518440597
1000,0.7925487517537654,8.326802333945066,-0.016323001621782813,4.983474637982236,5.608782190582714,492.2588478491918,0.07594832165929542,0.5544718989233839,2.446786589689639
1100,0.826185402637929,8.343017770076473,-0.019005274376005174,4.983705411751904,5.852794097511657,492.22716760421423,0.07605542723804286,0.5485785482923007,2.6566158309804195
1200,0.8513176179454371,8.360553355457542,-0.008758944834726126,4.984055893500649,6.164489883617067,491.16204459108593,0.07621420488165959,0.551865663313206,2.8007427334692374
1300,0.881733145709591,8.378559964505833,-0.014493642307329347,4.984904125566177,6.502914380440309,489.9461446264174,0.0763733452183706,0.5483414072300249,2.869993608863896
1400,0.9119505810778545,8.38485199888564,0.001658614745813826,4.986047127011391,7.066874935318585,489.50099554083846,0.07645244255748512,0.5509340403593822,2.954622232157107
1500,0.9371143514312696,8.391055028361409,-0.018706398630459635,4.987039586082809,7.11521531790406,488.6981687861329,0.07665916016603837,0.5464994982956821,3.0013839067118866
1600,0.9517682731155872,8.395968293945684,-0.004359221502455453,4.988209351785911,7.762385926219783,488.1760614899752,0.07682467534253964,0.5496258661255576,3.0798901583155653
1700,0.9668726883630646,8.402080539082348,-0.01833939791216791,4.989196990158747,7.748980630497251,486.89420810026604,0.07688437108385765,0.5453467923811407,3.1282029139278933
1800,0.9925089735711004,8.402843874988271,-0.00499990196493296,4.989907023791089,8.109864905881299,486.3565717151097,0.07694642771894879,0.5493609440182701,3.102098899694463
1900,1.0015114490428954,8.40322690618904,0.014955782502306886,4.990203166589842,8.492607049257439,485.265870807658,0.07712533562289843,0.5461715132231985,3.039165997870993
2000,1.0194660947543441,8.408723187287814,0.0461991077629619,4.990495694031566,8.669683751373396,485.5773981363158,0.07719367004744067,0.5488243646902253,3.033742969718057
