milliseconds,Cdc25_active,Cdc25Ps216_active,Cdc25_inactive,Cdc25Ps216_inactive,Chk1P,protein_14_3_3,Cdc25Ps216_14_3_3_inactive,p53,p21,MPF,p21_MPF,preMPF,Wee1,Chk1,Rad3_ATM,Wee1_phosphorylated
0,9.986673252812497e-07,3.0346907968725704e-17,-1.8416181295765422e-07,2.013209206072206e-05,1.0028949893525708e-06,2.0408901435023363,0.030317353963745033,0.0,0.000452341975125546,1.0033027022510691e-08,-1.0159986808394072e-12,4.2301817693957324e-05,0.0009791106253880107,0.9999989942233429,0.0,-1.471446460939377e-13
100,9.98253979362835e-07,7.1706511377003e-15,1.6249402883444251e-06,2.2282928408321078e-07,3.6529167921501943e-07,2.054284348678956,0.026631703339222903,0.0,0.0012769649070226016,9.990681157975047e-09,7.622123453428718e-13,-1.897421430728291e-05,0.0010309625860009304,0.9999996316572072,0.0,-5.864599184384137e-14
200,9.968032904526917e-07,9.628150785144677e-15,2.880847279800123e-06,-5.010581114815218e-08,1.2849351605292114e-07,2.139214183074013,0.02420811361995296,0.0,0.0009410556934538333,9.859145137105229e-09,-1.065774748020818e-12,0.0001226538832644723,0.0010384786313384208,0.9999998619381557,0.0,1.7676787643546123e-14
300,9.984075884314977e-07,1.030945378904593e-14,2.9714881778159448e-06,2.501019228883195e-07,6.378583752299829e-08,2.2322990245926166,0.021594363422482082,0.0,0.003062979606954608,1.006808887724257e-08,2.7358393697385137e-13,0.00011946491426575122,0.0010560643889043154,0.9999999530457946,0.0,2.9891697060843535e-13
400,9.95863808435518e-07,1.0749208291465947e-14,3.8068946922808797e-06,-2.580057692906554e-07,2.8000465165471974e-08,2.3481163018144087,0.020065465169070016,0.0,0.005057654057919237,9.906048894036944e-09,-4.691291511377353e-13,0.0002511074838856053,0.0010939085942040744,0.999999986491238,0.0,5.885065427893643e-13
500,9.937610596612826e-07,1.0824625564203933e-14,7.3409152364309146e-06,1.3546791815902347e-07,-1.318538701763948e-10,2.454394384508401,0.01895390788570138,0.0,0.005092087022439334,1.0216443426626811e-08,9.884012193561378e-13,0.0002497077759594997,0.0010746110661616778,1.0000000073121953,0.0,4.723586106195891e-13
600,9.945211075344106e-07,1.0957056402036603e-14,6.846794209755785e-06,2.403918007629918e-07,1.6440774005698433e-08,2.454690614200008,0.0169352364007372,0.0,0.004862203481874567,9.985723931983164e-09,4.0111133011733756e-13,0.0003633807824328964,0.0011464960447558335,0.9999999912735761,0.0,4.454212369323012e-13
700,9.93318784450369e-07,1.0760375896086554e-14,8.495877557895242e-06,2.5165023198885014e-07,1.4739113758671397e-08,2.58563098926126,0.015288886482531738,0.0,0.0073159151451977185,1.0010105972730779e-08,1.6253910005751934e-12,0.00031337790148782676,0.0011249520774730642,0.9999999991795042,0.0,8.620934603628231e-13
800,9.909643779887284e-07,1.0760618127791488e-14,1.0441722467581869e-05,2.1664181080475779e-07,-4.058123184733541e-09,2.527274028706682,0.01352211265031828,0.0,0.006899511051821053,1.0164706861124124e-08,1.662196782460379e-12,0.0004190434372152347,0.0011380433178965076,0.999999986777828,0.0,9.504602466546275e-13
900,9.90116616391982e-07,1.0794102538654246e-14,1.0715773387329452e-05,-2.6281374826067587e-07,-1.1356089362786742e-08,2.7067725808074106,0.011979204641738956,0.0,0.009112220046809625,1.0249654006597596e-08,2.1918872787362447e-12,0.00038579992578457567,0.0011757155332135436,0.999999993611402,0.0,7.268043929975741e-13
1000,9.899819854286673e-07,1.0697614815765525e-14,1.1990824153350471e-05,-1.990847681731257e-07,-1.362139536328252e-08,2.779050631388656,0.011261335088695649,0.0,0.008737338924487656,1.0068654363781834e-08,3.695561393750019e-12,0.0005229659714711494,0.001216760369011492,1.0000000121213548,0.0,1.003999338716285e-12
1100,9.88500694065993e-07,1.0867652559796144e-14,1.0965959474295878e-05,-8.858393532414683e-08,-5.946193946498255e-09,2.7441165752313053,0.009574104940253268,0.0,0.011404241031806883,1.0355510359531535e-08,3.114762280268465e-12,0.0005839324235631405,0.0012275177877407511,0.9999999926599072,0.0,1.1802532571689926e-12
1200,9.887980527746456e-07,1.0865607574235862e-14,1.1952971904411575e-05,7.876259772685114e-08,-1.354070430807275e-09,2.8534777928973716,0.009372410868272098,0.0,0.010166887499879899,1.0285137938017742e-08,4.1218153326886386e-12,0.0006133761220599228,0.001229789214310074,1.0000000120733246,0.0,1.2766845564060057e-12
