milliseconds,Cdc25_active,Cdc25Ps216_active,Cdc25_inactive,Cdc25Ps216_inactive,Chk1P,protein_14_3_3,Cdc25Ps216_14_3_3_inactive,p53,p21,MPF,p21_MPF,preMPF,Wee1,Chk1,Rad3_ATM,Wee1_phosphorylated
0,1.0001658458513317e-06,4.983899039342983e-17,-3.998789072131203e-08,1.972176465381763e-05,1.0032303278725811e-06,1.9425439382577352,0.030026801557356358,0.0,-0.0006010564902686707,1.0165686664349013e-08,-6.150397912134972e-13,-3.9461493959746336e-05,0.0009746475883378191,0.999998998321847,0.0,8.114201324587816e-14
100,9.985279114207208e-07,7.165136507738567e-15,3.1150615189208226e-06,1.8508851407626468e-07,3.803474051360099e-07,2.134118982470156,0.027139667254487524,0.0,0.0005049618912865791,9.981788594940204e-09,-5.663536518974712e-13,0.00011938496322007631,0.0009962580869692175,0.9999996356763489,0.0,-8.115669454136386e-14
200,9.968590835356055e-07,9.471386462421443e-15,3.1979653649746544e-06,-8.723130992274237e-08,1.4001314836233608e-07,2.17788482934195,0.024662572826216707,0.0,0.002511777130224286,9.916435148667473e-09,1.2822035024776793e-12,8.333052599876545e-05,0.0010363534118551163,0.9999998649196652,0.0,2.2506874436320614e-13
300,9.966795216017005e-07,1.0515587200705532e-14,5.114027264438502e-06,-1.9570844889215933e-08,4.043548999101537e-08,2.2229132297654006,0.022402874525076732,0.0,0.003516623836000264,9.903232590963451e-09,1.7837411933016838e-13,0.00011856656043599274,0.0010459369642790537,0.9999999579495558,0.0,2.253475064482273e-13
400,9.961850281410045e-07,1.0820168287858572e-14,5.4900512184780315e-06,-2.1097953740587533e-07,7.662042074011722e-09,2.3089871513167894,0.019450281800314956,0.0,0.004121647168277015,9.999950936030961e-09,6.843145259897096e-13,0.00014964720366388083,0.0011032933638944822,0.999999993797324,0.0,5.548159968948146e-13
500,9.93975600694778e-07,1.0877964668401103e-14,5.776701453401495e-06,1.6334521357758903e-07,-2.251264592422447e-09,2.431310183353659,0.018952713991365597,0.0,0.0059803879362010665,1.0014372754553927e-08,1.7918240436403192e-12,0.00018593880199443237,0.0010893489511592084,1.0000000052787175,0.0,2.987718912387668e-13
600,9.937947307826587e-07,1.0871287353047525e-14,8.47111015885248e-06,1.2731243234334486e-07,5.106742475329708e-09,2.381513408863345,0.01664031393462595,0.0,0.00684364509406404,1.0042346517066059e-08,1.3396856645764451e-12,0.0002772684725385932,0.0011122655183369939,1.0000000043184387,0.0,6.442721390607305e-13
700,9.923292471955415e-07,1.0725369048890304e-14,7.130948793135102e-06,2.0073588149194535e-07,-4.548603274532978e-09,2.5869448075791386,0.014995321176141696,0.0,0.006825272896044446,9.977586121868538e-09,3.2903332380022986e-12,0.00030065643021254533,0.0011388898412225607,1.0000000099483404,0.0,7.934767558819379e-13
800,9.911062343070582e-07,1.0875805577935483e-14,9.943642166932988e-06,6.794315512083862e-08,4.630017629541879e-09,2.674933503209106,0.013251499786576247,0.0,0.0074939484953603,1.0330926673612665e-08,3.285059137278137e-12,0.0004479437609047316,0.001169153835647013,1.000000009454393,0.0,8.467299315870669e-13
900,9.898674353232548e-07,1.0878938795761594e-14,9.235406326091299e-06,1.056547112860888e-07,-6.7700671510495345e-09,2.621200979860973,0.011583080545945172,0.0,0.009378674847266141,1.0279816341299185e-08,2.8792460662721036e-12,0.00043123473185660246,0.0011537543128108299,1.0000000046938073,0.0,1.0455139535586973e-12
1000,9.891434349984852e-07,1.0801571296315142e-14,1.2121868137801284e-05,-9.258006022026019e-08,-1.310993799550109e-08,2.8292701967516076,0.011045078109850379,0.0,0.010246775663974961,1.0410570252421516e-08,2.3474038995227912e-12,0.00046838140577174344,0.0012032432918013453,0.9999999906337615,0.0,1.0483967666078658e-12
1100,9.882750309552244e-07,1.0638633748021408e-14,1.1109812817669687e-05,1.0983516967218578e-07,-7.63928647468015e-09,2.875540254567473,0.009841963488760982,0.0,0.011426514199663047,1.0289183134125716e-08,5.665977445599783e-12,0.0006069611136357945,0.0012074770538154952,0.9999999945065478,0.0,1.1982258643919764e-12
