milliseconds,alpha,beta,gamma
0,0.45733607647713975,0.20173814857300643,0.34238405008668105
100,0.43519687705708576,0.25081452976919505,0.31558148528125707
200,0.4096228591592962,0.2765894415949705,0.309800934152144
300,0.39531502649163447,0.2978157730653062,0.29660286693776167
400,0.39245005485741663,0.3078432452997595,0.304141076589769
500,0.37813015994440635,0.3161698489923324,0.29923984215627614
600,0.37484738558830233,0.324908689653403,0.304499911521184
700,0.37049020748534917,0.3261158605068983,0.30808615401061074
800,0.3562806759207968,0.33117471566719753,0.3055595590066955
900,0.3510249501464862,0.32943266576349467,0.3167350243828152
1000,0.35666188965625195,0.3327649362391599,0.31619731371542653
1100,0.3488350201438263,0.33063681841446896,0.32351645349583213
1200,0.34571496526561224,0.3337336280657122,0.3262930359490519
1300,0.33440940232646826,0.3318903009192892,0.33485516940813836
1400,0.3262402055700865,0.33269566106084936,0.3407536303306141
1500,0.3341604027789322,0.33113753344728153,0.33685404479701364
1600,0.3234816576913173,0.3316627633676166,0.3444221017996222
1700,0.3252281249997971,0.33128759037041855,0.3471377476085282
1800,0.31918160550078517,0.3330816417654784,0.35336260894090404
1900,0.3099915356297037,0.33377748281237096,0.35357211792085275
2000,0.3103760251081719,0.333738602120139,0.3561960676286506
2100,0.30708080832938717,0.33055944473577387,0.37130936894387934
2200,0.291435482343859,0.33009913323232776,0.37069297912266885
2300,0.2978805420916974,0.33335937890243716,0.38174918600381125
2400,0.29403429647036294,0.3308650011046451,0.37730954425481505
2500,0.28851864947710193,0.32887281616823333,0.3889386783521663
2600,0.27524583389968843,0.32782831308900023,0.3834255696454711
2700,0.2808129205713742,0.32891158854178365,0.39276729587244946
2800,0.27392696135617234,0.3308015326446299,0.39466574148495814
2900,0.26858021898016804,0.32788272603035634,0.39945989133643695
3000,0.25962626471298667,0.3277063731283279,0.40404027811386256
3100,0.2576052278346521,0.3260523627960568,0.41153439820329174
3200,0.257025723921926,0.3281773257033431,0.41695344082637265
3300,0.2585199312621948,0.3273910368935772,0.416510121815568
3400,0.24699086309566104,0.3262505306825653,0.4329245976864952
3500,0.25137282892812457,0.32241800507188956,0.4367932777521651
3600,0.24586564914393624,0.3230984796363406,0.438470262420939
3700,0.23569747660469514,0.32413997965662766,0.4438765079457799
3800,0.2377151435235088,0.3202127874440436,0.44098134718331355
3900,0.22491493325570922,0.32104754838482713,0.450398962467284
4000,0.22018220977580308,0.3172730617264169,0.44944539691066193
4100,0.22750246644088273,0.31661070332601027,0.46476556182706563
4200,0.21564204213609361,0.31490660412663257,0.4679249805333293
4300,0.20922814512471138,0.3153577080291616,0.46474642393247
4400,0.21494713442851796,0.315119300441533,0.4706361163369714
4500,0.21012255300079882,0.31190211892843916,0.47579830590790295
4600,0.20436282093023336,0.3137993784286115,0.48456809649022975
4700,0.1996774080382917,0.31092354421572016,0.4877976279489588
4800,0.19021436351777726,0.30963672968516076,0.4983196634301919
4900,0.1932016339006242,0.3090519694738595,0.503716335161692
5000,0.1869072646162734,0.30856136668770595,0.5058187316614625
