milliseconds,alpha,beta,gamma
0,0.46176936373666855,0.19827154138599226,0.34075632651057214
100,0.4356017800472186,0.2493434526240354,0.32268900689876834
200,0.4196569476710929,0.2769456690176339,0.3017761106332141
300,0.3988989559808415,0.2980732355746366,0.30718231734655216
400,0.39267590452199524,0.311899086224107,0.30151864039828913
500,0.3845405559391511,0.31640865424939507,0.3069541007225989
600,0.3677768601433627,0.3224374172375266,0.3056793747718883
700,0.36561729983959934,0.3279799000054306,0.30950058639665057
800,0.36475768665231434,0.33078506261054313,0.3146251429008712
900,0.35525274118033295,0.32903074775201685,0.31952861056375464
1000,0.3550297258822896,0.3329137976304775,0.32040891357762313
1100,0.3410323529364716,0.33008851366202085,0.32425007282768387
1200,0.33950452923771396,0.3342219415943038,0.32759006684786257
1300,0.33338768830182464,0.3338970522049998,0.33700267407903955
1400,0.3257086714913353,0.33112436614343344,0.34081157103424775
1500,0.3225988992149494,0.33249643212415453,0.3354067943533193
1600,0.31616617205334024,0.3338033653530511,0.34834797014007174
1700,0.318371566476473,0.3338604585429295,0.3484829711532482
1800,0.31495533578273477,0.3305893794417049,0.3500135729120527
1900,0.30846948042436856,0.3324486516697976,0.3589065523662482
2000,0.3071219075671896,0.333659025568722,0.36040161769225
2100,0.3036286419611062,0.3305137196169946,0.36464221728041046
2200,0.29864486993735834,0.3324566119483361,0.3710296501725927
2300,0.2902474402257826,0.3304274607621327,0.3707593036009907
2400,0.2934276633075747,0.333008743908401,0.3809655463770472
2500,0.2855766639112785,0.3285509814349446,0.38701553905340885
2600,0.27584670776995,0.33208272799411515,0.3922435930113927
2700,0.27068961055754287,0.3295446245943507,0.4005967339504168
2800,0.273894885391234,0.3297343610991226,0.4043043116165916
2900,0.2681135846028005,0.3281103481991489,0.4027091646026146
3000,0.26647810914092485,0.3275001411247131,0.40511916673884746
3100,0.2580960288926952,0.32655840862089375,0.40714194959635097
3200,0.25376259944508245,0.3259327182106402,0.4190510767207704
3300,0.2557111379706405,0.3241233410833032,0.4167369801377038
3400,0.24534370865421934,0.323711570541846,0.4240589881293178
3500,0.24552405972866098,0.3249444179374988,0.43633836853588415
3600,0.24382782389398125,0.3228562861772826,0.44023375035546475
3700,0.23117873337808617,0.32375523575632126,0.43680191923924655
3800,0.23199316561316,0.3220137782903926,0.4407897742811814
3900,0.22403386963894906,0.31859459516484057,0.4456748367616235
4000,0.23069872514578638,0.3192520570288381,0.4599289147840711
4100,0.21641069829107534,0.317368979728435,0.4611327984553906
4200,0.21943138943684565,0.31466025759402033,0.46252120888178627
4300,0.2145123002497011,0.3160606387719228,0.4747091273520078
4400,0.21769967436403304,0.31366467178314783,0.4735115950202481
4500,0.20725502815085392,0.3155996579893697,0.4824810911604817
4600,0.19769160469290178,0.3142548972785417,0.47834735368180126
4700,0.2029898944246622,0.3115527170641515,0.48718153519818735
4800,0.19972586243495577,0.3109574049530792,0.49677287813898796
4900,0.19472556718469203,0.30806872067484803,0.5019859392612358
5000,0.18370029021197712,0.3078397092281475,0.5006699839473662
