milliseconds,alpha,beta,gamma
0,0.4643651598386082,0.19813001948117412,0.3373969641237601
100,0.4329756920383468,0.250327132610192,0.32146672193120684
200,0.4194197678995394,0.27688454677305546,0.30723070679086817
300,0.4059268881520232,0.2971853938478075,0.3068742677473597
400,0.3951677618646149,0.31100341519705,0.29764078655017945
500,0.37478014650407,0.3162621584696409,0.3003709411831263
600,0.3666389665665154,0.32292384535280966,0.30119705795847
700,0.3685308872370852,0.32885244217192083,0.30089286688158484
800,0.36095391121029774,0.3269779409562711,0.3143830006974956
900,0.36230567027497307,0.3324692402177928,0.3139533860398967
1000,0.3542033091735125,0.33264389154451635,0.3159740874099501
1100,0.3492882793552944,0.33187206576035744,0.32085115150623644
1200,0.34198801993189226,0.3348699239100743,0.3307443958783986
1300,0.3342441936494395,0.33480242011958306,0.33325436421932936
1400,0.3367192039264361,0.3316370940206374,0.334471553361379
1500,0.32466347911095395,0.33494341635928865,0.3440066747254119
1600,0.3257150026647777,0.3338572472763885,0.3411981842892986
1700,0.3170003589416821,0.33344205091273815,0.34236122084792675
1800,0.30813154497542466,0.3329388931812202,0.3512235020047727
1900,0.3147572091306109,0.33434582041393757,0.3549083979786865
2000,0.30700854993383625,0.3314593153455382,0.36486499909206715
2100,0.3076459791004999,0.33054293968197,0.36632219951553613
2200,0.30382568048360714,0.33117965422771173,0.37113127104091265
2300,0.29487718529401136,0.3306395550189057,0.3750256896502647
2400,0.2885295156759969,0.3290057320478847,0.37997018173797786
2500,0.2887876101961619,0.33216528456127353,0.3834438535247007
2600,0.279204555108677,0.32876965794602353,0.3833700016108213
2700,0.2741736097023441,0.32710645738074934,0.3924706276360245
2800,0.27289187755110267,0.32981492120639705,0.39266811034453636
2900,0.2647431090602197,0.32735695980920004,0.4021495082827906
3000,0.2665771344627545,0.32866733304574525,0.41230881348253146
3100,0.26422778285769055,0.3263041497703586,0.4155743751604728
3200,0.25484836445307196,0.32658572407010633,0.423398788172611
3300,0.25125408178646974,0.32403912064825136,0.41718915473045826
3400,0.24887149240746828,0.3263589733401627,0.42269468147751804
3500,0.249523575092553,0.3218484472988447,0.4335502423710472
3600,0.2384578700197935,0.3223537603810181,0.43550734397926677
3700,0.2405251428864128,0.32330748153114486,0.44324286636254123
3800,0.23481746629978523,0.3204648071120684,0.4450859221711581
3900,0.22449058244992467,0.3215395930914736,0.45622173217290163
4000,0.2193966654345039,0.31759610201174193,0.4563461430423527
4100,0.22036637461150757,0.3179014293785297,0.4559401675349659
4200,0.21158395337245695,0.3169044785119169,0.4620889510651287
4300,0.22140487591042718,0.31367321651174523,0.46749070129248804
4400,0.20457872409327882,0.3161377189307585,0.47311264253937646
4500,0.20946974054736592,0.31544386133608493,0.48289476441048895
4600,0.19897772003236502,0.3120470695596827,0.4872049322118417
4700,0.19387252541490899,0.3126198489598966,0.48493082286933326
4800,0.19132212692428768,0.30927579784221126,0.49046937050501516
4900,0.19188728168055813,0.3073926575969321,0.4961806014133129
5000,0.19131684286877168,0.30832284486819445,0.507893615876724
