milliseconds,B0,S0,B1,S1,B2,S2,B3,S3,B4,S4,M0,M1,M2,M3,M4,L0,L1,L2,L3,L4,glu
0,0.00016227645027134413,-2.1839235452295663e-07,8.81182969901174e-05,-1.2257328386006972e-06,6.431974227802273e-07,3.4732001030130474e-06,-1.2401916801635562e-07,9.575213713246473e-07,-1.6001150191734597e-08,2.2658896323785944e-09,-2.8649939997276736e-10,1.525173559469e-07,-5.683065701164003e-07,-2.5627856262388243e-11,-5.967407421250616e-06,-3.707540586275016e-13,-2.8826368398532977e-09,1.6399099640621401e-07,-8.658132804082171e-07,-0.00042074606992341536,-0.005862418149452389
100,-0.00019981866610235761,-9.005242885928754e-07,9.234994326167343e-05,2.0375033689565407e-06,2.701651039690037e-07,1.726599551157783e-06,-7.434694618921339e-07,-1.9572322206051335e-06,-2.0303132066911307e-08,-2.566369010262457e-07,7.279275777779197e-10,2.308428414472243e-07,2.7443806608166026e-07,-3.48535514974033e-11,8.367850751425209e-07,8.250211800353211e-13,2.600255788268131e-09,8.424885077099068e-08,-6.357396564515436e-07,-0.00014647761994791465,-0.004891081393787443
200,-8.217035378624632e-05,1.334422404878881e-07,0.0003000249058617783,6.832175235613923e-06,6.342869178445478e-08,-2.4278519380744085e-06,-3.69382505542311e-07,-6.868916399566589e-08,-8.65457574166815e-09,-1.9308020731754917e-07,3.720712718720168e-10,2.397382373621722e-07,8.29981496060597e-07,-2.279322136874719e-11,-5.727792909569561e-06,4.610815051164205e-13,5.622516235999582e-09,2.692711418896499e-07,-8.860534124396174e-07,-0.0005053344510219013,0.0057698428484776005
300,-0.00023526023832758265,-7.926757471122645e-07,7.031398935152046e-05,4.165502589103762e-06,4.6823475092197273e-07,-1.4817794214351993e-07,-1.6369637488301988e-07,-1.7279330740279988e-06,9.529221221777449e-09,-1.2204000474801507e-07,6.25190064042382e-11,7.912942978561918e-09,1.190698004632764e-06,-2.858876022845309e-11,-2.7443781437504296e-06,-7.013236586756322e-13,1.0956360472218107e-09,3.368575523656465e-07,8.470923205387061e-07,1.760387817152729e-05,-0.007026013764918381
400,7.633374334948391e-05,2.5796619881189685e-07,0.00014041924085091736,2.3260176355058006e-06,2.8914022610834105e-07,7.305030553019867e-06,-2.0872917498469614e-07,-8.511118631597927e-07,1.4814871156714298e-08,-8.374489362576672e-08,-3.1892167634482914e-10,3.0312256393022197e-07,8.59107517058646e-07,-1.187258970192065e-10,-6.57442809773843e-07,-1.3396779749380645e-13,5.066618630262695e-09,3.7163424969073923e-07,1.5348404529047934e-07,-0.0005005775414775747,-0.01020301330998509
500,-0.00026343662591586295,-1.598520508716661e-07,0.0002473102148656947,1.6803059119475444e-05,8.597041175998673e-07,2.553591421453867e-06,-1.7789188185519674e-07,-8.431249629199042e-07,2.5885116069267066e-08,-6.779530272392293e-08,-1.2999601261146798e-09,4.5925559836102653e-07,1.920158713206568e-06,-2.6037231548961224e-11,2.2430543151292432e-07,-6.805354744423472e-13,9.747946919913722e-09,5.290070164677478e-07,1.3546625719140974e-06,-0.00018121259302009496,-0.010567355170367602
600,-0.0005032556381311525,-8.689017785825697e-07,0.0006918236439307668,2.337370324954388e-05,1.2638635573088432e-06,1.472719549911012e-05,-1.795505158578935e-07,-2.2395564391077402e-06,3.3707076626373363e-08,-1.1371281102576508e-07,-6.192276088038543e-10,3.838507836966087e-07,3.4243287160389745e-06,8.216712891905441e-12,3.1485011020298113e-06,-1.2460590685459428e-12,1.2114857933612511e-08,6.492366843483594e-07,2.168131224842703e-06,0.0005607187556797694,-0.01532625620915964
700,-0.0006573865534642009,-2.392897147726187e-06,0.0005264919669178052,4.1027685987784594e-05,2.648813262485476e-06,1.3507446325640115e-05,-3.113606027425313e-07,-5.1347199594639236e-06,3.5504802027612476e-08,-1.0336662890112401e-07,-9.770376461467696e-10,7.528020233826242e-07,2.9600053233410396e-06,3.3085564087307683e-10,1.144521226257321e-05,-1.4751500150804701e-12,9.240747609260256e-09,7.845819150585879e-07,3.274599137567177e-06,0.0007408825098856834,-0.03294138542887851
800,-0.0004428777387843255,-1.8420093890993197e-06,0.0008945488525188811,6.159152037291773e-05,3.637104276329975e-06,1.8030685903804608e-05,-4.830867294175416e-07,-3.694529926536409e-06,6.743528038397735e-08,-9.098666944167879e-08,-1.8138612198936217e-09,7.313644268255162e-07,3.84709948962068e-06,3.641113505841214e-10,2.1248161896788473e-05,-1.53883549333965e-12,1.2448470104777561e-08,7.257604432527216e-07,2.4311817239082323e-06,0.0012437259099953198,-0.044779842429538655
900,-0.0008065733890458883,-2.679252800009117e-06,0.0010731323177712395,7.073047725906275e-05,3.1850597911303217e-06,2.3621582971371816e-05,-7.326448682889967e-07,-5.603950303348296e-06,6.31814046207175e-08,-1.2961055841580113e-07,-2.928052505290993e-09,7.955348105029327e-07,4.685594022309467e-06,3.9822052127929674e-10,2.785685256113712e-05,-2.584348435895128e-12,1.7362741674388424e-08,1.0883578441191077e-06,4.7873684658084256e-06,0.0014726391778762038,-0.05316393978632919
