milliseconds,B0,S0,B1,S1,B2,S2,B3,S3,B4,S4,M0,M1,M2,M3,M4,L0,L1,L2,L3,L4,glu
0,0.00013086327794820384,4.779530564673496e-07,8.289348697855252e-05,-1.3182590624578882e-05,5.753728282043184e-07,-5.566075331461782e-06,1.2438725673931083e-07,9.64434108462608e-07,1.7210525839266762e-08,-1.3397789534376942e-09,4.036734318818264e-10,1.241028279746893e-07,9.62210546786093e-07,1.9681528671787083e-11,-6.444619270322637e-06,-1.6580067915468613e-14,3.5720407837190294e-09,1.9382316999074448e-07,1.3288213777288828e-08,-9.315826298226786e-05,-0.002253686606748579
100,-7.680090398835856e-05,-7.713057032034778e-07,0.0002837318931346325,7.032361853410514e-06,1.883817690945767e-06,2.249143257164594e-06,-6.6482613083781e-07,1.0278146299839676e-07,-2.4420891601166565e-08,-2.680742422208365e-07,7.680523811882031e-10,1.8333834826196703e-07,1.8034597281883257e-08,-3.748918097973108e-11,-8.164832158322697e-06,4.1954650440609033e-13,2.2930034621071685e-09,3.0507328333256326e-07,9.258300916900026e-07,-0.0006149981167415862,-0.0013285239827615942
200,-0.00018789945779921875,-8.197240251337547e-07,-6.516164551152772e-05,2.0265793218886262e-05,1.710534851752379e-06,2.423530005463942e-06,-3.9986323165229626e-07,-6.392886628985158e-07,-3.830573729748412e-09,-2.168899248188452e-07,-1.0697481472107662e-10,2.191822415792418e-07,1.322981834356541e-06,1.5333361313058058e-10,1.1434649461821195e-06,1.631830576867247e-13,6.3114162507257804e-09,3.858893739575452e-08,1.927095815683948e-08,-0.0001837900033169462,-0.005015415444117166
300,-0.00010817698339035876,2.7481340539820334e-07,0.0003064018325678274,1.4281159019180349e-05,1.3922721838737935e-06,-2.655009740896621e-06,-1.4790800465521463e-07,-1.659196305453949e-07,-5.3999320052598804e-09,-1.2499457850089404e-07,3.000745257950594e-10,-4.937086211335027e-08,1.1241310184053138e-06,8.77213439970774e-11,-4.907739289817668e-06,8.037222826229279e-14,3.878896716319071e-09,-2.210175023210708e-08,4.093773188463072e-07,-0.0002693654331188358,-1.4664328698359933e-05
400,-5.9711868716244866e-05,-6.959174267349686e-08,0.00020199681085852108,1.2561231648455423e-05,9.397481406473151e-08,-2.50216506873634e-06,-1.4503413732431562e-07,-2.1244007971423784e-06,-3.422615059900398e-09,-9.687496334740994e-08,-4.508342006946404e-11,5.949683540298564e-08,4.254555241965843e-07,-2.562068654584431e-10,-1.1177544761366569e-05,-3.898730418818883e-13,1.4663429582643212e-09,-4.4162629829299096e-09,1.5501595781647729e-07,-0.0004225664494309754,-0.00041960230979336445
500,-0.00014537642212780478,-8.870202290068899e-07,0.00036544448510598764,3.5301303673282646e-05,1.5469828829889598e-06,1.0073389806745047e-05,-1.0034561200797843e-07,-2.149201286580026e-06,1.0794603485058714e-08,-8.661534913497292e-08,-2.1399563042043177e-10,4.93367967295363e-07,1.4827438172182938e-06,7.421950075328143e-11,7.921440454406972e-07,-1.4205191000987552e-12,9.656990942152244e-09,5.241032337289364e-07,3.8585917257377684e-07,7.583991244929919e-05,-0.01646417570893134
600,-0.0002578566210290946,-1.7106479341074612e-06,0.0006876958183551578,2.7597494685451605e-05,1.3728671134614647e-06,1.868682140768602e-05,-3.999572677192125e-07,-2.0375697471257016e-06,1.9470882415855575e-08,-7.173333392298397e-08,-1.3194997698113508e-09,6.68865738722201e-07,2.5316609858144616e-06,8.12970087755682e-11,1.3475409008271598e-06,-9.784852103237977e-13,8.178118762645442e-09,6.524471586250454e-07,1.5582866113057732e-06,0.00011495295982185419,-0.018518811906997633
700,-0.0006548909998818765,-1.8208707838311447e-06,0.0005693086008786382,6.0913388169472684e-05,2.7931025233627494e-06,1.9690993922348602e-05,-3.1920802171346536e-07,-2.6837444609765995e-06,3.832863207715529e-08,-1.0238983559403372e-07,-1.4472150906510343e-09,6.581527485905627e-07,3.749155452302947e-06,3.7998579016006473e-10,1.6151353364354706e-05,-1.0718713630199536e-12,1.6257879807670314e-08,5.825763742432228e-07,2.1949066003274216e-06,0.0006243845697119714,-0.024782383861351325
800,-0.0005192458390824733,-2.9066424592528603e-06,0.0009356457755639244,4.860244947276109e-05,3.930023304290017e-06,2.0386137583058398e-05,-4.768196290591464e-07,-4.163132190870526e-06,6.085261878152313e-08,-1.007511807815022e-07,-1.8342255297764184e-09,7.29093841171315e-07,2.9363334657056186e-06,4.2743290227925506e-10,1.8394220667004062e-05,-2.4185518275255014e-12,1.2530841091815212e-08,7.169829328541674e-07,2.6069955668225893e-06,0.0013400413134994388,-0.027433597413825925
900,-0.0006015599878061147,-3.590123814114298e-06,0.0007865404614597909,7.127916829749239e-05,3.8523947513089916e-06,2.6159890671914624e-05,-7.408416799327575e-07,-5.593981291075141e-06,7.262709940886537e-08,-1.1094289190224466e-07,-2.2979274635917435e-09,9.552585325653148e-07,3.875205733465992e-06,5.793261430001137e-10,2.0666788307778634e-05,-2.4154247370922372e-12,2.0895950430366404e-08,1.0696067645517982e-06,4.6292561074759055e-06,0.0017999074681973697,-0.041868952385462954
