milliseconds,B0,S0,B1,S1,B2,S2,B3,S3,B4,S4,M0,M1,M2,M3,M4,L0,L1,L2,L3,L4,glu
0,-2.55263855480648e-05,1.3563087698821685e-07,-0.00016629994281386058,-6.98065407487057e-06,-5.669063799151541e-07,-9.009094988127457e-07,-1.0279171113261616e-07,-1.2401577689906615e-06,1.0522810721827846e-08,1.5785662277773266e-08,-1.3487005256308102e-10,-1.0115615228918736e-07,1.1311464938665643e-06,-8.799884249973081e-11,3.6010153238927656e-06,2.828415634432807e-13,2.9847408814000106e-09,6.643245717482066e-09,7.668101412359407e-07,-0.00011710865708199678,-0.0014724241092842327
100,-0.0002041197776775057,4.16445638510502e-07,0.0002424550859778572,2.6289917513868526e-05,1.2768743703991694e-06,6.557212552548418e-06,-5.48540179087632e-07,8.114258828015727e-08,-5.148578768879068e-09,-2.681748724212001e-07,7.527861771983872e-10,3.742814405130184e-07,1.5512709076190186e-06,2.4789497100643993e-10,-5.4255724756560494e-06,1.0185915073945638e-12,3.225118168280221e-09,-2.0623172421884454e-09,-9.31744487427889e-07,-0.00041102427412775724,-0.004874308114314292
200,-8.014171416670268e-05,3.7458929533581135e-07,0.00034271978238019287,1.3629934748122734e-05,1.8139165398993881e-06,6.841896585605454e-06,-4.0921236875099186e-07,-1.1813229419744997e-06,-1.4538107327965772e-08,-1.9464750948843822e-07,3.267144581544256e-10,2.0475538073706894e-07,2.1600624594364618e-07,9.311052632199966e-11,-1.0306146304867917e-05,6.538792859910839e-13,1.9353702122988483e-09,1.0225422862996989e-07,5.390042475495802e-07,2.6099638560680267e-06,0.0092577081092179
300,0.00010422784475962211,-1.8787706635249653e-07,0.00013948592644432488,1.4718447199972776e-05,-1.516354753155743e-07,-2.535435748982692e-06,-1.2736570619741047e-07,-4.0026738259294377e-07,-5.853014861462032e-09,-1.1897531701206751e-07,-5.617519783474337e-10,-8.20530259172467e-08,-4.7091384676527484e-07,-1.1648300820025228e-10,-1.562841499303328e-06,1.1768805413705244e-14,2.5458175518296274e-09,2.457259711016406e-07,-5.627064106792748e-07,-3.255339875518837e-05,0.0015396384892388
400,2.396219676289649e-05,-6.893431767967624e-07,0.00013530479715985252,1.7348677021417654e-06,2.017564529552248e-08,2.9919036318526118e-06,8.285092614096803e-08,-1.425980966906224e-06,-8.558994890566863e-09,-8.550730341820703e-08,-8.005159745467356e-10,-1.0098589521084036e-08,1.4098493736028927e-07,-3.7754502930421684e-11,-9.627695318937646e-06,-5.247628223182743e-13,2.7198923297336764e-09,1.6882621518363835e-07,-8.132449675795508e-07,-7.7467677579274e-05,0.005588395162591839
500,-0.0003502375382946248,-1.1700410110513647e-06,0.00022871428660752534,2.5000389263381956e-05,2.033896971917392e-06,1.1310876732101513e-05,-3.316970873013244e-07,-2.4831656123881253e-06,2.0658469926452006e-09,-1.028816897252551e-07,-6.000178612141913e-10,1.959214676731926e-07,1.185203703343405e-06,-7.704962080937624e-11,3.6501221612590746e-06,-1.219661338767978e-12,6.146650458355968e-09,1.5061678560662688e-07,7.841444981000582e-07,-0.00028908469289240214,-0.004325294353582912
600,-0.0001743158918548178,-1.6202008639498666e-06,0.0006644382208978704,3.2703337364497566e-05,2.2602155018530073e-06,1.0863428731658483e-05,-4.3410973580072217e-07,-2.928627512739031e-06,1.4399038858834678e-08,-6.623258129499587e-08,-1.337789391273607e-09,2.977441014383693e-07,1.92174253657073e-06,2.5349915748358556e-10,7.35237379010283e-06,-1.0638752284633222e-12,5.693295418443274e-09,5.653233593531043e-07,7.289488042239671e-07,0.0004801726489091704,-0.01242469981772299
700,-0.00048010396164522456,-2.0500467469654607e-06,0.0005569153562182949,2.9445382671174723e-05,2.692342310322985e-06,1.7369256480122486e-05,-3.068117278485271e-07,-4.72697289217914e-06,4.6560802424882386e-08,-1.1909009711480077e-07,-1.0248680042910375e-09,6.865012129116606e-07,4.2165633171170255e-06,4.0280385530815094e-10,1.6905175835580866e-05,-1.2574432719401436e-12,8.651137650170989e-09,6.806495762770968e-07,1.6516761449501997e-06,0.0010712428056980899,-0.03628974351753709
800,-0.000583419301416916,-3.0057553844314223e-06,0.0006418878437830242,4.456925889290956e-05,2.8615801592205034e-06,2.030195673826501e-05,-3.78163649500466e-07,-4.079797709830668e-06,4.339115036200679e-08,-9.204878968490428e-08,-1.4262313833559233e-09,7.916648137373173e-07,4.825370880935244e-06,3.857907899899651e-10,1.1579889548806108e-05,-2.1442399756478995e-12,1.8761155416116507e-08,8.142168016134291e-07,3.0873006139603703e-06,0.001508896020728251,-0.04206290407652913
900,-0.0006864070814421992,-2.4773059166612865e-06,0.0009761446216148092,7.20334479696946e-05,4.175349929167127e-06,2.617850716356001e-05,-5.510738033777024e-07,-6.41400659626421e-06,6.686407575342154e-08,-9.961439682725318e-08,-1.8580923368339094e-09,9.9135614003793e-07,3.601995991099572e-06,5.445712868789974e-10,2.1998952326927585e-05,-2.2147316207556784e-12,1.3918671180335996e-08,8.064843285941437e-07,4.300533876830107e-06,0.0016019191421890978,-0.05235736398360229
1000,-0.0007612744187379689,-3.987035851460341e-06,0.0013266531012235175,9.290670206937083e-05,5.065522091615838e-06,2.6688880637883223e-05,-7.915490262418796e-07,-5.928086333784539e-06,7.74025178840044e-08,-1.4755671950873097e-07,-3.2461596494205895e-09,9.517619403377402e-07,4.599496269212027e-06,6.452171089416837e-10,3.0106162124890057e-05,-2.618779591407268e-12,2.1770125431840467e-08,1.0404012910796437e-06,6.000756107496168e-06,0.0018613475669483198,-0.0442391025206859
1100,-0.0010472540769358464,-4.127089843368435e-06,0.0013986307781730465,0.00010185934250087849,4.339934324723454e-06,4.144246222661347e-05,-8.603779549094095e-07,-7.690133518212627e-06,9.715402820457994e-08,-1.439316613397268e-07,-3.16865398874471e-09,1.277234590692219e-06,7.148929719872787e-06,6.92200649365628e-10,3.0577875929532075e-05,-3.770361258226654e-12,2.464286134335754e-08,1.355400913275944e-06,5.496833137115429e-06,0.002467431522245223,-0.06968332771148127
1200,-0.0011861023201045616,-3.98708767855416e-06,0.001470796803196912,0.00010799439491527581,6.409964501591083e-06,4.905773426320894e-05,-8.930991373052395e-07,-7.84072222589131e-06,1.1399806089438943e-07,-1.453178293027779e-07,-3.6020390242762527e-09,1.4577612781054033e-06,7.294519296962559e-06,8.975572445767302e-10,4.257164443434577e-05,-3.7232894764068235e-12,2.998585294043423e-08,1.1899794240146909e-06,6.265896349049012e-06,0.0031294592637591736,-0.06470967315021689
1300,-0.0012997626010079625,-5.466471833131867e-06,0.0015668029718271497,0.00010515670936686112,6.558065184881296e-06,5.0303881979557526e-05,-1.0470407574038084e-06,-1.0567720339106549e-05,1.285495472455018e-07,-1.700263543687153e-07,-4.261220678990802e-09,1.5755719268997584e-06,8.663082646002604e-06,8.460045527392657e-10,4.472957495863576e-05,-4.2187078820188956e-12,3.337621611158349e-08,1.4075490936780672e-06,7.169498336092873e-06,0.0028726103088348646,-0.08664669928728057
