milliseconds,B0,S0,B1,S1,B2,S2,B3,S3,B4,S4,M0,M1,M2,M3,M4,L0,L1,L2,L3,L4,glu
0,0.00018354362210463515,-6.576350995037818e-07,6.49491566610012e-05,1.1675699786291979e-05,-1.741401067121506e-07,2.6455839545546805e-06,-1.2217707548600369e-07,6.579297562607721e-07,5.8977707316974335e-09,2.2687375818800307e-08,-2.1803280097033141e-10,7.394956311654171e-08,-8.273718521375066e-07,2.731711353210228e-11,-2.050986553246106e-06,-3.6832075575456473e-13,5.369302407068858e-10,1.768944227354265e-07,-7.610779404497609e-07,0.00014576685460182596,0.008254430700762972
100,-6.447190878570355e-05,-4.3347573781246763e-07,9.212282053920388e-05,2.1406507503187232e-05,2.771472402679951e-07,-8.041148022902331e-07,-5.941952174497768e-07,3.762044887930154e-07,4.834850105793431e-10,-2.6837984051805845e-07,3.961008150468406e-10,3.15633620977824e-08,1.1629430679917212e-06,-3.612467821828291e-11,-2.687272285867314e-06,9.543197867105694e-13,2.431014229660305e-09,4.617879507838238e-08,8.130992874961121e-07,0.00020033492795644864,-0.005188011716203099
200,-9.528560673209805e-05,1.488290385738169e-07,0.00020402398701990326,2.5538033985185145e-06,1.0635548237274615e-06,3.210565919903457e-06,-3.7708189882911575e-07,4.495533810056659e-07,-1.0123863813053196e-09,-2.1857420424954875e-07,-3.7367639517431913e-10,2.513506109862369e-07,1.0479375557003155e-06,1.246887578946448e-10,-2.8370997408104833e-06,3.277902994919452e-13,2.709387397805325e-11,1.1793307321915018e-07,6.56425085042487e-07,-0.00013166504973531894,0.005341757158937945
300,8.194367196398088e-05,5.135948833033408e-07,0.00019321984419954188,2.4400837767993982e-05,1.1494847213438093e-06,7.751122253525321e-06,-8.755917524676575e-08,-5.498703030913662e-07,-9.847186536971159e-09,-1.485850823811088e-07,-6.781148988398775e-11,3.8480028165516936e-07,9.460181626409089e-07,-1.8880143394845176e-10,-1.2165177333397135e-05,-3.7398913405178055e-13,2.142747851627829e-09,-1.920613409980481e-08,-9.128596484208526e-07,-5.716940928045109e-05,0.010282949799933086
400,-0.00011288850694350906,-8.972879265686232e-07,5.830222169878799e-05,2.4095108200636316e-05,1.822838735828372e-07,-3.644624637815678e-06,-8.279656970676413e-09,-7.250192375845858e-07,9.62500580704079e-09,-7.769764924976301e-08,-4.03949863727368e-10,3.4427435880765034e-07,-2.511571275672039e-07,-7.403297049999825e-11,-1.471641088287463e-06,-6.258964064644229e-13,1.7751312196787134e-09,1.4177988201297023e-07,-4.2510352626412705e-07,1.2480811861836103e-05,-0.010510035048716927
500,-0.00030391642855260063,-6.889115550200578e-07,0.00047036164953068437,1.7578648331004646e-05,1.5824363418307895e-06,1.3944723483841134e-05,-1.2695521260657238e-07,-2.813703806331562e-06,1.9182411582803062e-08,-1.0491062267653319e-07,-8.292979067783245e-10,2.0423985406360715e-07,1.6827916816721298e-06,-1.585018111260633e-11,-5.593232801801496e-06,-1.326523308383886e-12,2.9027162191184813e-09,4.7207320232450297e-07,1.8484697640415857e-06,0.00024035574425131274,-0.01780097104506178
600,-0.0004383028045086702,-1.4923098675198887e-06,0.0004824679455171288,2.564913285442801e-05,1.6136364001200851e-06,1.7645186039519752e-05,-3.9939108434780173e-07,-1.6181536385205767e-06,1.5834124603349414e-08,-1.0313289318483388e-07,-1.3449563649459563e-09,7.223582678493959e-07,2.0066139039289445e-06,1.9864417485744854e-10,6.979033805011804e-06,-1.3646523126925236e-12,1.3433776181402705e-08,3.931450648607385e-07,2.6259021710838733e-06,9.645575228201003e-05,-0.015758946850025265
700,-0.000596906348294884,-1.5281235960734507e-06,0.0004620938761759959,5.685908255863215e-05,2.4393774114245623e-06,2.239239084518621e-05,-5.802113623660115e-07,-4.500814892574866e-06,5.8057929794798725e-08,-9.49234987752856e-08,-1.7614236823280868e-09,8.588485645958643e-07,3.1249452548844883e-06,3.423166355650828e-10,1.1087681145075978e-05,-2.0900249534618866e-12,1.3378576507455206e-08,4.035990687895083e-07,2.644111570018844e-06,0.0005295102022099012,-0.025135446413106142
800,-0.0006660652058910923,-2.5955033894115524e-06,0.0007632662567658817,6.869096073716817e-05,3.819943842250908e-06,1.784411465711084e-05,-6.025933358371067e-07,-4.583289107053315e-06,6.733517598807798e-08,-1.0157091238398807e-07,-1.6305678027569386e-09,8.775160984381541e-07,3.457249461406074e-06,2.3400153428745466e-10,1.9822848509733708e-05,-2.0083086389942484e-12,1.4511096416171215e-08,8.231860762212142e-07,3.088132135398914e-06,0.0009462116380795689,-0.03580668646484027
900,-0.0007980793803421536,-3.443694605038528e-06,0.0007688035685804235,8.057070088192422e-05,4.239579687465056e-06,2.3724103141588798e-05,-6.755888903410847e-07,-6.1219969701744395e-06,7.981637000520216e-08,-1.3214136289366643e-07,-2.898030511478462e-09,8.218588591701152e-07,3.6054053154851522e-06,4.728221691352702e-10,2.3540025492654498e-05,-2.5786991921753672e-12,1.8264003425021712e-08,7.929090183185354e-07,4.004225021662672e-06,0.001371381849745084,-0.04533050972352355
1000,-0.0007727138407354814,-2.8996665576961942e-06,0.0009144599714213563,9.372178598786608e-05,4.627572352948236e-06,3.696531686612148e-05,-8.897453829376416e-07,-6.260048325769142e-06,8.513063588878354e-08,-1.3632840169853423e-07,-2.545071812564702e-09,1.055907446196533e-06,5.693295653930918e-06,4.786049861606994e-10,3.2377709851919085e-05,-3.312324029846372e-12,2.3081175864608437e-08,1.015314757093389e-06,4.435089905808398e-06,0.0022089414042721113,-0.05714987529055986
1100,-0.001147380362091096,-4.8161373845581604e-06,0.0014806510834748483,7.658251548621885e-05,5.238126469911596e-06,4.344491940598797e-05,-8.013564219278261e-07,-7.92688219585585e-06,9.41361365766874e-08,-1.4245012959013474e-07,-3.7119489981377657e-09,1.193101915187848e-06,6.1128048239590975e-06,7.869744063242642e-10,3.661013626540386e-05,-3.5551591347156934e-12,2.049378558674636e-08,1.4097688322434138e-06,6.814615380629552e-06,0.0019231734652428688,-0.0660668920609395
1200,-0.0010837427929825724,-5.084446783714892e-06,0.0014302093935070937,9.73784398843369e-05,5.167294540435431e-06,4.225584134219188e-05,-1.0108820661439572e-06,-7.804923414840285e-06,1.0695514421174378e-07,-1.546222108246756e-07,-3.2751868532646366e-09,1.5522048084275219e-06,7.98371909248714e-06,7.815378549745117e-10,3.167323439249762e-05,-3.707053202102524e-12,2.2597934250940244e-08,1.4498023563704271e-06,7.783407411449767e-06,0.0026872791063369764,-0.07822056360466847
1300,-0.0011978683394925868,-5.976494655870841e-06,0.0015140289786282014,0.00012666508156700156,6.3669671090892995e-06,4.577048585525866e-05,-1.0428104780038414e-06,-9.73099828509687e-06,1.0124193777807413e-07,-1.8810820519844556e-07,-3.6903684093809745e-09,1.707165734725298e-06,8.525987537660605e-06,1.1420579863897421e-09,3.6859644022785155e-05,-3.968319588626917e-12,2.6422424182154342e-08,1.579444369875291e-06,6.866691364044773e-06,0.0031160970762582063,-0.07621403740009658
1400,-0.0013910808963777336,-6.120050314907286e-06,0.0019493043838749843,0.00011546038385707321,7.182663439443084e-06,4.7365221686772886e-05,-1.3604890993865493e-06,-1.190542855832936e-05,1.3364770732995602e-07,-2.0584492747395623e-07,-5.009018804539728e-09,2.015196540034607e-06,8.557430360236898e-06,9.459792661725403e-10,4.655086113905753e-05,-4.976623679059005e-12,3.021718572964818e-08,1.4355667064924177e-06,7.254770639876655e-06,0.0034217332716812723,-0.09469583314019252
1500,-0.0015229814677437845,-6.8993548380393805e-06,0.0018404674320948418,0.00013750663007748107,7.839385268725042e-06,5.5913134575026414e-05,-1.462945958550453e-06,-1.2908671393587679e-05,1.5145164710645416e-07,-2.0423722813090437e-07,-4.769836987305767e-09,1.929183234561141e-06,9.983163033496114e-06,1.3083772901735918e-09,5.542192941070154e-05,-5.350969957320046e-12,3.4221476983412325e-08,1.705008183403662e-06,8.958003004606608e-06,0.004172701569968363,-0.10094968988258754
1600,-0.001623279896836296,-7.712337487956337e-06,0.002349560836317404,0.0001493373143993947,7.55578863703929e-06,6.228932681379732e-05,-1.3972165755312409e-06,-1.326264116819293e-05,1.4817173089622588e-07,-1.8925703548706994e-07,-5.516103660179423e-09,1.964090516788554e-06,1.0253164066795985e-05,1.4189636608599566e-09,6.580078753238135e-05,-5.927637686626291e-12,3.643839156402064e-08,1.9044277431828984e-06,8.836325401702098e-06,0.004570802100222564,-0.09635768533801976
1700,-0.0017288769113860218,-7.387657330518272e-06,0.0024478947967545538,0.0001447529543369231,8.620473562778485e-06,7.302965214465758e-05,-1.6030773300726145e-06,-1.3131748425724973e-05,1.672932243590069e-07,-2.0887944585846183e-07,-5.2191661964981105e-09,2.3696188141125194e-06,1.074657400969592e-05,1.598186977125395e-09,6.957468997866568e-05,-5.450531560006414e-12,4.4671956132188085e-08,1.9976310283471866e-06,1.1035483061352561e-05,0.004723036515849242,-0.1041655500750135
1800,-0.0018197869600708593,-8.528044332346945e-06,0.002398692347375281,0.0001593948457719046,1.0151027152288593e-05,7.804453662300276e-05,-1.6541634799770846e-06,-1.354811098735408e-05,1.6243732803384298e-07,-2.3262869959734109e-07,-5.6573161722369e-09,2.663305165718836e-06,1.1560068235541172e-05,1.6184449032272435e-09,7.168141770164222e-05,-6.052788626425827e-12,4.470013371556926e-08,2.2307646672094845e-06,1.2480060965759833e-05,0.005140066992742395,-0.11528949909107913
1900,-0.002127399018397225,-8.378298689899239e-06,0.0028074356245755493,0.00019302809078827174,1.0370213934065564e-05,8.179443057516402e-05,-1.7229746876554288e-06,-1.5011712652422828e-05,1.7305593140668296e-07,-2.476151535102518e-07,-5.953176614366298e-09,2.662743813278948e-06,1.3600630324281699e-05,1.5827304340705856e-09,7.648201628630667e-05,-7.294266648520095e-12,4.3137514398903783e-08,2.447789083473163e-06,1.193014755967863e-05,0.0059197982131591895,-0.1359173632826065
2000,-0.002151126039545861,-9.013967643204577e-06,0.0027035485552069018,0.00018482224485872172,1.1320669796220335e-05,8.151097327748852e-05,-2.0334952987763982e-06,-1.7789965987759355e-05,2.1003239364517264e-07,-2.4886382752282577e-07,-6.935750740360476e-09,2.938176800861105e-06,1.254348054772399e-05,1.7005389912378721e-09,7.885792537306056e-05,-6.965095438622759e-12,4.708060320130823e-08,2.585989934164038e-06,1.231289922242641e-05,0.005954241550798972,-0.1270255138926301
2100,-0.0022708303683729647,-1.0427077158245383e-05,0.0030437280321336086,0.0002069077212388494,1.1603686035425136e-05,8.442940921001237e-05,-2.161361986057022e-06,-1.708061945753759e-05,2.220081677040204e-07,-2.5457749143600767e-07,-7.806571733963595e-09,2.8461722943805038e-06,1.4608037454935127e-05,2.0765761233435194e-09,8.523670898566477e-05,-7.215289179052017e-12,4.9826958355683805e-08,2.616531268158868e-06,1.4748658892882117e-05,0.006103702115625848,-0.14094844487740646
2200,-0.0024763746992922386,-1.0877943933005257e-05,0.003388232611488253,0.00022212752519564985,1.2505195669870673e-05,8.986916541370865e-05,-2.071763233959561e-06,-1.9394988334924346e-05,2.3103517069618875e-07,-2.9111375847824803e-07,-8.056013406676873e-09,3.0265930338186806e-06,1.4565971602668338e-05,1.9298560329965835e-09,9.561341440947907e-05,-8.620552860011397e-12,5.41229804029509e-08,2.8227605477134533e-06,1.384181483496313e-05,0.006277220489937871,-0.14739588462063896
2300,-0.0028162514956848444,-1.0118041855956715e-05,0.003352337847361493,0.00022636500087309084,1.2269837728257317e-05,9.112185158639836e-05,-2.2781784324457517e-06,-1.957005936195086e-05,2.5406794052655516e-07,-3.0986232907977296e-07,-7.636286453323967e-09,3.226335566026533e-06,1.6202955349318912e-05,2.0971425678988836e-09,9.825432525801612e-05,-8.785355776583315e-12,5.642148254218922e-08,3.0372177830601395e-06,1.479828479333716e-05,0.007450201775010692,-0.15563070677524193
2400,-0.002700317930525589,-1.1907366938397678e-05,0.0033119812669069174,0.00022409843373383156,1.395616649876295e-05,0.00010481767518524738,-2.465445100881157e-06,-2.1341220759037174e-05,2.619545703204508e-07,-3.001898909512801e-07,-8.350032633720607e-09,3.4509760761995564e-06,1.7293601316370586e-05,2.1590299028611066e-09,0.00010082244772959761,-9.469010553519763e-12,5.980089157069866e-08,3.1771765266507267e-06,1.703573875025902e-05,0.007077958153704348,-0.17983393187552033
2500,-0.002729722338005233,-1.198458517987164e-05,0.0037298132202381986,0.0002618156526159188,1.442823969494686e-05,0.00010743451822855741,-2.6644077302089877e-06,-2.2809010689448575e-05,2.5154355375453103e-07,-3.288331738990141e-07,-9.152949792569154e-09,3.5263298669326423e-06,1.7177630223318006e-05,2.523115393946973e-09,0.00010692962468607468,-9.321172686701362e-12,6.128287113692515e-08,3.3918167315193715e-06,1.7645445565609326e-05,0.007735903795965106,-0.18731683797770554
2600,-0.003018114351776309,-1.2147575107489484e-05,0.003783831909935086,0.0002776174405619527,1.459966016406286e-05,0.00010412824134906206,-2.527565740537276e-06,-2.295677321273966e-05,2.9106865470527294e-07,-3.393922020432927e-07,-9.070709474082271e-09,3.84001664080794e-06,1.721750389194016e-05,2.71661380355997e-09,0.00012017935767669062,-9.758442260459637e-12,6.279872986275115e-08,3.5568080739712617e-06,1.7942964222523676e-05,0.00799329605828294,-0.18827878798451897
2700,-0.0029942902657973916,-1.3488919510297116e-05,0.004130132851329977,0.00026743171161593506,1.4102941779925069e-05,0.00011162568424202939,-2.8472139669964136e-06,-2.2899178669618768e-05,2.9440526991815327e-07,-3.401921790112046e-07,-1.0202344028592317e-08,3.842327992961167e-06,1.9576874477445572e-05,2.6395391850824738e-09,0.00012139317749857917,-1.0089490989708165e-11,7.249235427762206e-08,3.3629262359289936e-06,2.031662105190318e-05,0.009045516963793254,-0.20477265440679226
2800,-0.003388250573785467,-1.4196724925821238e-05,0.004031285883586251,0.0002874372869754536,1.5501898089142787e-05,0.00012429370947564673,-2.9889372531918663e-06,-2.3674639300516663e-05,3.1453206868549935e-07,-3.400052961995424e-07,-1.0657625929964026e-08,3.920692198448037e-06,1.930916214804752e-05,2.7023324199544738e-09,0.00012751415849412745,-1.0959209996832163e-11,7.350504753674918e-08,3.856881524449337e-06,2.062332020511241e-05,0.00928979247778166,-0.2168477204441817
